trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_low_000005,mc_v2_20260811_low/task_0001,5,low,Nygaard_TurboGaussian,7381.2717615046495,6580.6768467143465,10.846,6548.8,11.278,10
mc_v2_20260811_low_000005,mc_v2_20260811_low/task_0001,5,low,SuperGaussian,7552.706288499338,6855.128420894669,9.236,6834.17,9.514,10
mc_v2_20260811_low_000005,mc_v2_20260811_low/task_0001,5,low,Bastankhah_PorteAgel_2014,7928.647410090731,7449.445624805128,6.044,7432.9,6.253,10
mc_v2_20260811_low_000006,mc_v2_20260811_low/task_0001,6,low,Nygaard_TurboGaussian,9070.009876235828,8272.15010099111,8.797,8258.97,8.942,4
mc_v2_20260811_low_000006,mc_v2_20260811_low/task_0001,6,low,SuperGaussian,9235.359258642913,8481.729585640176,8.16,8471.57,8.27,4
mc_v2_20260811_low_000006,mc_v2_20260811_low/task_0001,6,low,Bastankhah_PorteAgel_2014,9616.477457727651,9131.972229625653,5.038,9127.06,5.089,4
mc_v2_20260811_low_000007,mc_v2_20260811_low/task_0001,7,low,Nygaard_TurboGaussian,8310.93779518445,7407.443094407817,10.871,7403.49,10.919,7
mc_v2_20260811_low_000007,mc_v2_20260811_low/task_0001,7,low,SuperGaussian,8408.455571808594,7554.5981852840505,10.155,7551.32,10.194,7
mc_v2_20260811_low_000007,mc_v2_20260811_low/task_0001,7,low,Bastankhah_PorteAgel_2014,8757.538682644354,8204.1120152898,6.319,8202.26,6.341,7
mc_v2_20260811_low_000008,mc_v2_20260811_low/task_0001,8,low,Nygaard_TurboGaussian,7468.898550522322,6584.505592473684,11.841,6580.64,11.893,9
mc_v2_20260811_low_000008,mc_v2_20260811_low/task_0001,8,low,SuperGaussian,7689.903036567191,6888.591993049848,10.42,6884.86,10.469,9
mc_v2_20260811_low_000008,mc_v2_20260811_low/task_0001,8,low,Bastankhah_PorteAgel_2014,8091.772655598775,7564.764136209513,6.513,7562.24,6.544,9
mc_v2_20260811_low_000009,mc_v2_20260811_low/task_0001,9,low,Nygaard_TurboGaussian,8271.963614655522,7539.759159415009,8.852,7539.76,8.852,3
mc_v2_20260811_low_000009,mc_v2_20260811_low/task_0001,9,low,SuperGaussian,8367.951988523597,7659.0920286211995,8.471,7659.08,8.471,3
mc_v2_20260811_low_000009,mc_v2_20260811_low/task_0001,9,low,Bastankhah_PorteAgel_2014,8716.239432878463,8232.557862998334,5.549,8232.52,5.55,3
