trial_id,run_id,seed,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,0,0.0,0.154,0.154,0,8290.836860972791,7425.828211034235,7425.828211034235,10.433
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,1,0.154,0.9,0.746,1,8290.836860972791,7425.828211034235,7408.764270822368,10.639
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,2,0.9,1.888,0.989,2,8290.836860972791,7425.828211034235,7404.777721224878,10.687
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,3,1.888,6.552,4.664,3,8290.836860972791,7425.828211034235,7400.740358897334,10.736
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,4,6.552,7.076,0.524,4,8290.836860972791,7425.828211034235,7400.723114043551,10.736
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,5,7.076,10.528,3.452,5,8290.836860972791,7425.828211034235,7399.758749343859,10.748
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,6,10.528,11.477,0.949,6,8290.836860972791,7425.828211034235,7389.652578081083,10.87
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,7,11.477,11.777,0.299,7,8290.836860972791,7425.828211034235,7388.443063341217,10.884
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,8,11.777,12.42,0.643,8,8290.836860972791,7425.828211034235,7363.569525514774,11.184
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,9,12.42,15.217,2.797,9,8290.836860972791,7425.828211034235,7360.967342815144,11.216
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,10,15.217,16.992,1.775,10,8290.836860972791,7425.828211034235,7338.930537130009,11.481
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,11,16.992,17.141,0.149,11,8290.836860972791,7425.828211034235,7325.684463730764,11.641
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,12,17.141,17.522,0.382,12,8290.836860972791,7425.828211034235,7311.75884230138,11.809
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,13,17.522,20.159,2.637,13,8290.836860972791,7425.828211034235,7310.693250554542,11.822
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,14,20.159,20.75,0.591,14,8290.836860972791,7425.828211034235,7310.693250554542,11.822
shakedown001_000000,shakedown001/task_0000,0,Nygaard_TurboGaussian,15,20.75,25.0,4.25,15,8290.836860972791,7425.828211034235,7304.2422959415035,11.9
