trial_id,run_id,seed,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,0,0.0,0.412,0.412,0,7468.898550522322,6584.505592473684,6584.505592473684,11.841
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,1,0.412,2.984,2.573,1,7468.898550522322,6584.505592473684,6583.1548848418515,11.859
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,2,2.984,3.321,0.337,2,7468.898550522322,6584.505592473684,6576.624992955082,11.947
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,3,3.321,5.426,2.105,3,7468.898550522322,6584.505592473684,6573.242647333294,11.992
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,4,5.426,5.53,0.104,4,7468.898550522322,6584.505592473684,6573.242647333294,11.992
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,5,5.53,8.941,3.411,5,7468.898550522322,6584.505592473684,6533.284937427899,12.527
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,6,8.941,8.984,0.043,6,7468.898550522322,6584.505592473684,6532.394140199436,12.539
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,7,8.984,14.068,5.084,7,7468.898550522322,6584.505592473684,6516.56901129182,12.751
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,8,14.068,15.622,1.554,8,7468.898550522322,6584.505592473684,6514.479720090884,12.779
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,9,15.622,18.491,2.868,9,7468.898550522322,6584.505592473684,6499.8711618313355,12.974
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,10,18.491,19.133,0.643,10,7468.898550522322,6584.505592473684,6499.85490753662,12.974
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,11,19.133,19.884,0.75,11,7468.898550522322,6584.505592473684,6497.758421684172,13.002
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,12,19.884,20.886,1.002,12,7468.898550522322,6584.505592473684,6492.247166883824,13.076
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,13,20.886,23.709,2.823,13,7468.898550522322,6584.505592473684,6490.941000055436,13.094
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,14,23.709,24.163,0.454,14,7468.898550522322,6584.505592473684,6489.715946732043,13.11
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,15,24.163,24.37,0.208,15,7468.898550522322,6584.505592473684,6488.577919369163,13.125
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,16,24.37,24.721,0.35,16,7468.898550522322,6584.505592473684,6485.331309002213,13.169
shakedown001_000008,shakedown001/task_0004,8,Nygaard_TurboGaussian,17,24.721,25.0,0.279,17,7468.898550522322,6584.505592473684,6485.2518301845375,13.17
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,0,0.0,0.412,0.412,0,7689.903036567191,6888.591993049848,6888.591993049848,10.42
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,1,0.412,2.984,2.573,1,7689.903036567191,6888.591993049848,6883.9419007675615,10.481
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,2,2.984,3.321,0.337,2,7689.903036567191,6888.591993049848,6881.924008132861,10.507
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,3,3.321,5.426,2.105,3,7689.903036567191,6888.591993049848,6881.80508715113,10.509
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,4,5.426,5.53,0.104,4,7689.903036567191,6888.591993049848,6882.013468739397,10.506
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,5,5.53,8.941,3.411,5,7689.903036567191,6888.591993049848,6850.443609011938,10.916
shakedown001_000008,shakedown001/task_0004,8,SuperGaussian,6,8.941,8.984,0.043,6,7689.903036567191,6888.591993049848,6849.7745777785785,10.925
