trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000095,mc_20260807_0627_high/task_0019,95,high,2026-08-07T06:29:22.684,2026-08-07T06:29:53.057,2026-08-07T06:29:22.689,2026-08-07T06:29:29.603,2026-08-07T06:29:29.611,0.01,6.91,0.01,23.45,30.37,24,11,1550,23616.0,6967.0,29.5,1.0,,8.983,7,0.153
mc_20260807_0627_high_000096,mc_20260807_0627_high/task_0019,96,high,2026-08-07T06:29:53.060,2026-08-07T06:30:17.370,2026-08-07T06:29:53.063,2026-08-07T06:29:59.749,2026-08-07T06:29:59.750,0.0,6.69,0.0,17.62,24.31,23,10,1405,23616.0,6236.2,26.41,1.0,,9.471,7,0.1449
mc_20260807_0627_high_000097,mc_20260807_0627_high/task_0019,97,high,2026-08-07T06:30:17.370,2026-08-07T06:30:45.463,2026-08-07T06:30:17.373,2026-08-07T06:30:24.404,2026-08-07T06:30:24.405,0.0,7.03,0.0,21.06,28.09,22,9,1539,23616.0,4820.0,20.41,1.0,,9.211,9,0.1336
mc_20260807_0627_high_000098,mc_20260807_0627_high/task_0019,98,high,2026-08-07T06:30:45.463,2026-08-07T06:31:04.614,2026-08-07T06:30:45.466,2026-08-07T06:30:52.177,2026-08-07T06:30:52.178,0.0,6.71,0.0,12.44,19.15,22,9,1193,23616.0,5305.0,22.46,1.0,,8.692,7,0.1581
mc_20260807_0627_high_000099,mc_20260807_0627_high/task_0019,99,high,2026-08-07T06:31:04.614,2026-08-07T06:31:23.328,2026-08-07T06:31:04.617,2026-08-07T06:31:11.733,2026-08-07T06:31:11.733,0.0,7.12,0.0,11.59,18.71,24,11,1162,23616.0,4338.5,18.37,1.0,,8.789,8,0.1409
