trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct,pd_level
mc_20260807_0627_low_000006,mc_20260807_0627_low/task_0001,6,Nygaard_TurboGaussian,13.81,3749.947048348808,3691.6426853768703,1.555,3266.4666951161903,12.893,low
mc_20260807_0627_low_000006,mc_20260807_0627_low/task_0001,6,SuperGaussian,6.44,3798.47810407859,3794.212206528515,0.112,3415.2748619452823,10.088,low
mc_20260807_0627_low_000007,mc_20260807_0627_low/task_0001,7,Nygaard_TurboGaussian,10.5,3327.603340328542,3266.9967804177886,1.821,2872.4842637861348,13.677,low
mc_20260807_0627_low_000007,mc_20260807_0627_low/task_0001,7,SuperGaussian,4.75,3378.34204085474,3373.8947012828407,0.132,3025.903888623477,10.432,low
mc_20260807_0627_low_000008,mc_20260807_0627_low/task_0001,8,Nygaard_TurboGaussian,7.74,3021.6722788028183,2975.0774669248385,1.542,2635.1737078437964,12.791,low
mc_20260807_0627_low_000008,mc_20260807_0627_low/task_0001,8,SuperGaussian,2.67,3069.3350289704017,3065.916882266639,0.111,2773.131822088198,9.65,low
mc_20260807_0627_low_000009,mc_20260807_0627_low/task_0001,9,Nygaard_TurboGaussian,4.24,3314.8415811345617,3256.430713581478,1.762,2973.4917887722854,10.298,low
mc_20260807_0627_low_000009,mc_20260807_0627_low/task_0001,9,SuperGaussian,1.56,3363.9995728981103,3359.822537737593,0.124,3107.1152153496314,7.636,low
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Nygaard_TurboGaussian,8.22,3182.2353945893155,3131.74677731879,1.587,2827.5067115155844,11.147,low
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,SuperGaussian,2.02,3231.3904541850184,3227.7046470320493,0.114,2952.307783730057,8.637,low
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,Nygaard_TurboGaussian,10.61,3338.4774768736515,3267.1534038889813,2.136,2914.5799484385298,12.697,low
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,SuperGaussian,3.01,3394.2980895590235,3389.127692273743,0.152,3082.635295014148,9.182,low
mc_20260807_0627_low_000012,mc_20260807_0627_low/task_0002,12,Nygaard_TurboGaussian,9.31,3283.7280079311176,3209.588180224476,2.258,2851.8797834807333,13.151,low
mc_20260807_0627_low_000012,mc_20260807_0627_low/task_0002,12,SuperGaussian,3.54,3339.5739019723856,3334.287982421369,0.158,3013.453695904698,9.765,low
mc_20260807_0627_low_000013,mc_20260807_0627_low/task_0002,13,Nygaard_TurboGaussian,5.77,3105.538522613575,3056.1779839706037,1.589,2712.57882138528,12.654,low
mc_20260807_0627_low_000013,mc_20260807_0627_low/task_0002,13,SuperGaussian,1.52,3154.9022158393564,3151.3100642507625,0.114,2846.5900941412533,9.772,low
mc_20260807_0627_low_000014,mc_20260807_0627_low/task_0002,14,Nygaard_TurboGaussian,8.77,3344.929240512704,3298.716892131046,1.382,2960.005201008805,11.508,low
mc_20260807_0627_low_000014,mc_20260807_0627_low/task_0002,14,SuperGaussian,2.24,3394.8591957867648,3391.4564854237633,0.1,3091.7309118799567,8.929,low
mc_20260807_0627_low_000015,mc_20260807_0627_low/task_0003,15,Nygaard_TurboGaussian,10.25,3060.859893111301,3014.6187589429874,1.511,2676.0192451384937,12.573,low
mc_20260807_0627_low_000015,mc_20260807_0627_low/task_0003,15,SuperGaussian,2.56,3109.821723781434,3106.392593518043,0.11,2812.987331080255,9.545,low
mc_20260807_0627_low_000016,mc_20260807_0627_low/task_0003,16,Nygaard_TurboGaussian,7.94,3254.654665675072,3193.9206833356084,1.866,2849.8345561035935,12.438,low
mc_20260807_0627_low_000016,mc_20260807_0627_low/task_0003,16,SuperGaussian,2.16,3307.1364022857138,3302.8177674180724,0.131,2999.1004497299054,9.314,low
mc_20260807_0627_low_000017,mc_20260807_0627_low/task_0003,17,Nygaard_TurboGaussian,8.19,3358.791346353927,3285.2346715790445,2.19,2985.425489723972,11.116,low
mc_20260807_0627_low_000017,mc_20260807_0627_low/task_0003,17,SuperGaussian,2.59,3415.0075954684426,3409.750178662257,0.154,3151.145473002867,7.727,low
mc_20260807_0627_low_000018,mc_20260807_0627_low/task_0003,18,Nygaard_TurboGaussian,11.42,3188.5407430247233,3135.1204102755764,1.675,2745.9152946767836,13.882,low
mc_20260807_0627_low_000018,mc_20260807_0627_low/task_0003,18,SuperGaussian,3.1,3240.424272178102,3236.524532074781,0.12,2900.640703845095,10.486,low
mc_20260807_0627_low_000019,mc_20260807_0627_low/task_0003,19,Nygaard_TurboGaussian,7.23,3349.8493511430424,3276.3416909114203,2.194,2914.2885174854846,13.002,low
mc_20260807_0627_low_000019,mc_20260807_0627_low/task_0003,19,SuperGaussian,1.59,3405.217953469226,3399.924244621983,0.155,3087.550091715645,9.329,low
mc_20260807_0627_low_000020,mc_20260807_0627_low/task_0004,20,Nygaard_TurboGaussian,10.59,3231.2506729391516,3158.6918773914986,2.246,2812.293829919313,12.966,low
mc_20260807_0627_low_000020,mc_20260807_0627_low/task_0004,20,SuperGaussian,3.24,3287.527186526361,3282.349316512162,0.158,2987.768093404796,9.118,low
mc_20260807_0627_low_000021,mc_20260807_0627_low/task_0004,21,Nygaard_TurboGaussian,8.94,3389.39021556213,3318.0999442140424,2.103,2957.504778292333,12.742,low
mc_20260807_0627_low_000021,mc_20260807_0627_low/task_0004,21,SuperGaussian,3.75,3441.79599197969,3436.7003094787897,0.148,3113.8000381795473,9.53,low
