year,mean_speed,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct,isolated_cf_pct,real_neighbors_cf_pct,full_cluster_cf_pct
2000,9.172757148742676,3482.3539015146725,3484.932448142193,-0.0740460820595819,3308.098611649888,5.0039512006229785,49.32121391950033,49.35773434603195,46.85320444341367
2001,8.732588768005371,3251.205751139249,3254.1763387868054,-0.0913687989914347,3047.6608720117474,6.260596674208572,46.04742047570234,46.08949345075752,43.16457720084168
2002,9.337318420410156,3627.100844525624,3629.7257637780704,-0.0723696242526114,3423.242112948562,5.620431863226122,51.37129129312156,51.40846850360411,48.484002868732254
2003,9.231155395507812,3500.423213140529,3503.1875815994135,-0.0789724067794818,3321.482201714962,5.111982195576395,49.57713287813613,49.61628513318226,47.04275867232856
2004,9.09780979156494,3462.961747603083,3465.517602899935,-0.0738054729776012,3276.684179436696,5.37914021993805,49.04655930412153,49.082758349195174,46.40827610609776
2005,9.046375274658203,3378.7665603328674,3381.641918750473,-0.0851008309174921,3194.3379224569435,5.458460493871895,47.85408749919082,47.89481172528061,45.2419910383446
2006,9.199542045593262,3514.836102944029,3517.6433411227586,-0.0798682526442223,3320.4773899255024,5.529666457441117,49.78126526711803,49.82102469383106,47.02852733955242
2007,9.234014511108398,3521.0608452424567,3524.3664896166947,-0.0938820576958923,3328.3791573407216,5.47226237689361,49.86942742845407,49.91624587308506,47.140441513714514
2008,8.947327613830566,3281.966080981094,3284.4285864531166,-0.0750314113937028,3107.0319567835027,5.330162466069647,46.48308464174363,46.517961556209656,44.005460711098024
2009,9.14170265197754,3428.1922085413403,3430.4551618484707,-0.0660101058946527,3257.889327239882,4.967716829795857,48.55411197612286,48.58616259685451,46.142081183927075
2010,9.39858627319336,3587.537092358173,3591.0444927231492,-0.0977662467224999,3394.262580719509,5.38738713114239,50.810942649848926,50.860618601401995,48.073560464318824
2011,8.814335823059082,3236.668894326084,3238.870778209253,-0.0680293213503868,3055.236061687286,5.605541949528771,45.84153231933563,45.87271800266909,43.27186599486848
2012,8.527665138244629,3111.6838303350587,3114.3033035646727,-0.0841818569122397,2928.9677778229748,5.8719350189382675,44.071346045286184,44.10844612275333,41.48350524353556
2013,9.252657890319824,3545.628610942556,3549.2238812720957,-0.1014000822997643,3341.825286501092,5.748016693358244,50.21738517826569,50.26830564816523,47.330881495250964
2014,8.929601669311523,3315.8289406818235,3318.96643703176,-0.0946217795327946,3137.4529625824116,5.379528959136626,46.96269050446173,47.00712743793353,44.436318968784505
2015,8.93406867980957,3354.826350062989,3357.9432972132117,-0.0929093438819586,3162.530102578783,5.7319284940216235,47.515017931481204,47.55916382288674,44.791491079727145
2016,9.208977699279783,3470.507881770729,3473.152970083858,-0.0762161736333299,3294.856670043297,5.061253790837404,49.15343657968672,49.19089944825705,46.665656407470465
2017,9.363924980163574,3560.065086177176,3563.164124909161,-0.0870500582704961,3374.576963796764,5.210245259296378,50.421851612013434,50.465743863222755,47.79474947874905
2018,9.401718139648438,3581.563747083811,3583.9359452240888,-0.066233586996987,3402.045482007811,5.012287306687421,50.72634107045065,50.759938945693946,48.18379111582949
2019,9.246465682983398,3476.3079658367433,3478.871756995357,-0.0737504036986705,3302.124150247284,5.010597947628425,49.235584228966864,49.27189567109913,46.76858705608739
2020,9.166474342346191,3469.931926934678,3472.2367700466484,-0.0664232947649379,3286.0688189092134,5.2987525950657,49.145279226218285,49.17792313990177,46.54119246786676
2021,8.870331764221191,3321.0853838078156,3323.9162060378894,-0.0852378636175912,3130.8344823486314,5.728576036821149,47.03713846788095,47.07723191981783,44.34258022520354
2022,9.21852684020996,3511.4541565883183,3513.9307145442494,-0.0705279877080148,3319.26780243138,5.473127245484644,49.73336614359651,49.768442085957055,47.011395731094694
2023,8.53316593170166,3085.985733280423,3088.7841045638115,-0.0906799812199299,2905.4356209180223,5.850646372576546,43.70737920618794,43.74701304944384,41.15021501011283
