year,model,real_neighbors_aep_gwh,full_cluster_aep_gwh,cluster_impact_pct
2000,Nygaard_TurboGaussian,3101.9667934942054,2605.230021541888,16.01360701198122
2001,Nygaard_TurboGaussian,2875.2919591708414,2303.195624966974,19.896982370056264
2002,Nygaard_TurboGaussian,3217.9355054831058,2618.0501577101695,18.641931970071475
2003,Nygaard_TurboGaussian,3078.5202572028315,2554.0991000320914,17.034845099484045
2004,Nygaard_TurboGaussian,3054.361435418892,2521.574430500754,17.44348258001984
2005,Nygaard_TurboGaussian,2968.4819032161554,2440.8461406157635,17.77459926667342
2006,Nygaard_TurboGaussian,3135.2746230888415,2583.000934879988,17.614842544949344
2007,Nygaard_TurboGaussian,3091.8281817334073,2523.723282392143,18.374400708863483
2008,Nygaard_TurboGaussian,2902.584749751547,2404.4290540709044,17.162485805910862
2009,Nygaard_TurboGaussian,3042.1939599632587,2548.145715313122,16.23986672618677
2010,Nygaard_TurboGaussian,3135.508722928722,2577.8352556732134,17.785741215690624
2011,Nygaard_TurboGaussian,2871.890794946322,2358.6900380141537,17.86978661706948
2012,Nygaard_TurboGaussian,2748.183803974057,2243.1080617506304,18.378528448244737
2013,Nygaard_TurboGaussian,3095.4982327411008,2508.718102134034,18.955918772645074
2014,Nygaard_TurboGaussian,2935.955351286727,2439.4350600354583,16.911711243621642
2015,Nygaard_TurboGaussian,2961.020659763939,2417.592727054596,18.352723440729616
2016,Nygaard_TurboGaussian,3028.3140771879544,2508.4005558215285,17.16841477186572
2017,Nygaard_TurboGaussian,3111.2646725940626,2569.675460232025,17.407365472076005
2018,Nygaard_TurboGaussian,3199.108635620907,2677.932720180388,16.29128531733544
2019,Nygaard_TurboGaussian,3073.106402556219,2565.9822999853254,16.502002734076058
2020,Nygaard_TurboGaussian,3087.820734745185,2558.239453678957,17.15064851748689
2021,Nygaard_TurboGaussian,2922.765645359597,2380.664242134379,18.547549444680893
2022,Nygaard_TurboGaussian,3134.8009794276168,2590.5392616023983,17.361922539803317
2023,Nygaard_TurboGaussian,2691.3739786968936,2196.236588233238,18.39719765379432
2000,SuperGaussian,3484.932448142193,3308.098611649888,5.074240006763252
2001,SuperGaussian,3254.1763387868054,3047.6608720117474,6.3461670565784205
2002,SuperGaussian,3629.7257637780704,3423.242112948562,5.688684607803149
2003,SuperGaussian,3503.1875815994135,3321.482201714962,5.1868584154289685
2004,SuperGaussian,3465.517602899935,3276.684179436696,5.448924088719781
2005,SuperGaussian,3381.641918750473,3194.3379224569435,5.538847719356959
2006,SuperGaussian,3517.6433411227586,3320.4773899255024,5.605058048162578
2007,SuperGaussian,3524.3664896166947,3328.3791573407216,5.560923724969602
2008,SuperGaussian,3284.4285864531166,3107.0319567835027,5.401141324895913
2009,SuperGaussian,3430.4551618484707,3257.889327239882,5.030406359125919
2010,SuperGaussian,3591.0444927231492,3394.262580719509,5.479795987000349
2011,SuperGaussian,3238.870778209253,3055.236061687286,5.669714202784497
2012,SuperGaussian,3114.3033035646727,2928.9677778229748,5.95110712336722
2013,SuperGaussian,3549.2238812720957,3341.825286501092,5.843491470497744
2014,SuperGaussian,3318.96643703176,3137.4529625824116,5.46897589635407
2015,SuperGaussian,3357.9432972132117,3162.530102578783,5.819431042704143
2016,SuperGaussian,3473.152970083858,3294.856670043297,5.133557363477021
2017,SuperGaussian,3563.164124909161,3374.576963796764,5.292688029553073
2018,SuperGaussian,3583.9359452240888,3402.045482007811,5.075159433545755
2019,SuperGaussian,3478.871756995357,3302.124150247284,5.080601387293646
2020,SuperGaussian,3472.2367700466484,3286.0688189092134,5.361614528808008
2021,SuperGaussian,3323.9162060378894,3130.8344823486314,5.808862550100552
2022,SuperGaussian,3513.9307145442494,3319.26780243138,5.539748160291113
2023,SuperGaussian,3088.7841045638115,2905.4356209180223,5.935943641217394
2000,NOJ,3739.202085140121,3707.3778574745165,0.8510967564999126
2001,NOJ,3516.596038183974,3481.0286634317404,1.0114148559014264
2002,NOJ,3890.9919761707415,3856.5144284508383,0.8860863227436863
2003,NOJ,3767.2754480290223,3735.4512901993726,0.8447526141551346
2004,NOJ,3736.5858296204374,3703.0716986350335,0.8969185377660185
2005,NOJ,3640.8437451431637,3608.095225690167,0.8994761034906502
2006,NOJ,3774.599540618583,3740.582972023849,0.9011967555413681
2007,NOJ,3783.1804182946266,3749.936832787032,0.8787205956881138
2008,NOJ,3532.136431782372,3500.746499278933,0.8886953578856851
2009,NOJ,3679.5973932602546,3648.7781864170474,0.8375700803478473
2010,NOJ,3861.2739977991478,3826.8508244571494,0.8914978155297678
2011,NOJ,3486.8010674498155,3454.6956809473168,0.9207690912513125
2012,NOJ,3376.176105320848,3343.064391183441,0.9807460601721287
2013,NOJ,3823.690831735483,3788.441232816692,0.9218736678768565
2014,NOJ,3574.5020033760497,3542.344807324292,0.8996273053249312
2015,NOJ,3624.3927923515184,3590.5263619464295,0.9344028736773952
2016,NOJ,3745.587048795548,3714.0290667503104,0.8425376752460094
2017,NOJ,3833.4444194538914,3801.372946268076,0.8366228821020579
2018,NOJ,3828.344157489245,3797.202441355852,0.8134513213100653
2019,NOJ,3726.077281263256,3694.9565153041,0.8352152574947415
2020,NOJ,3729.590485519381,3697.5769035149738,0.8583672156153428
2021,NOJ,3585.014211171234,3550.8176613231512,0.9538748756287513
2022,NOJ,3767.521879378869,3734.6733130082603,0.871887872779237
2023,NOJ,3361.0208959211877,3327.9837729579294,0.98294904989585
