trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_low_000040,mc_20260807_0627_low/task_0008,40,low,2026-08-07T06:27:26.417,2026-08-07T06:27:37.897,2026-08-07T06:27:26.422,2026-08-07T06:27:26.434,2026-08-07T06:27:26.441,0.0,0.01,0.01,11.46,11.48,13,0,895,0,0,,1.0,,8.751,7,0.1403
mc_20260807_0627_low_000041,mc_20260807_0627_low/task_0008,41,low,2026-08-07T06:27:37.921,2026-08-07T06:27:52.567,2026-08-07T06:27:37.925,2026-08-07T06:27:37.942,2026-08-07T06:27:37.943,0.0,0.02,0.0,14.62,14.65,13,0,1013,0,0,,1.0,,8.925,7,0.1398
mc_20260807_0627_low_000042,mc_20260807_0627_low/task_0008,42,low,2026-08-07T06:27:52.568,2026-08-07T06:28:00.621,2026-08-07T06:27:52.572,2026-08-07T06:27:52.584,2026-08-07T06:27:52.585,0.0,0.01,0.0,8.04,8.05,13,0,735,0,0,,1.0,,8.614,8,0.1533
mc_20260807_0627_low_000043,mc_20260807_0627_low/task_0008,43,low,2026-08-07T06:28:00.621,2026-08-07T06:28:10.211,2026-08-07T06:28:00.625,2026-08-07T06:28:00.637,2026-08-07T06:28:00.638,0.0,0.01,0.0,9.57,9.59,13,0,807,0,0,,1.0,,9.279,8,0.1336
mc_20260807_0627_low_000044,mc_20260807_0627_low/task_0008,44,low,2026-08-07T06:28:10.211,2026-08-07T06:28:20.920,2026-08-07T06:28:10.214,2026-08-07T06:28:10.230,2026-08-07T06:28:10.230,0.0,0.02,0.0,10.69,10.71,13,0,931,0,0,,1.0,,9.035,7,0.1751
