trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_high_000035,mc_v2_20260811_high/task_0007,35,high,Nygaard_TurboGaussian,7796.473184081174,6892.417472230258,11.596,6823.16,12.484,22
mc_v2_20260811_high_000035,mc_v2_20260811_high/task_0007,35,high,SuperGaussian,8036.771362380916,7198.339419685837,10.432,7138.68,11.175,22
mc_v2_20260811_high_000035,mc_v2_20260811_high/task_0007,35,high,Bastankhah_PorteAgel_2014,8475.141140871741,7912.015183833506,6.644,7873.84,7.095,22
mc_v2_20260811_high_000036,mc_v2_20260811_high/task_0007,36,high,Nygaard_TurboGaussian,8072.088524900728,7188.083403943478,10.951,7147.3,11.457,16
mc_v2_20260811_high_000036,mc_v2_20260811_high/task_0007,36,high,SuperGaussian,8361.497882724903,7523.28162829361,10.025,7493.19,10.385,16
mc_v2_20260811_high_000036,mc_v2_20260811_high/task_0007,36,high,Bastankhah_PorteAgel_2014,8825.896389312786,8270.458502472917,6.293,8253.11,6.49,16
mc_v2_20260811_high_000037,mc_v2_20260811_high/task_0007,37,high,Nygaard_TurboGaussian,7668.854408423278,6803.512591385552,11.284,6762.97,11.813,21
mc_v2_20260811_high_000037,mc_v2_20260811_high/task_0007,37,high,SuperGaussian,7918.058500773675,7121.764433512572,10.057,7078.56,10.602,21
mc_v2_20260811_high_000037,mc_v2_20260811_high/task_0007,37,high,Bastankhah_PorteAgel_2014,8382.594383921603,7848.474076428228,6.372,7820.11,6.71,21
mc_v2_20260811_high_000038,mc_v2_20260811_high/task_0007,38,high,Nygaard_TurboGaussian,8163.407366473934,7226.146801922054,11.481,7196.83,11.84,21
mc_v2_20260811_high_000038,mc_v2_20260811_high/task_0007,38,high,SuperGaussian,8400.708300026921,7534.380676728157,10.313,7508.45,10.621,21
mc_v2_20260811_high_000038,mc_v2_20260811_high/task_0007,38,high,Bastankhah_PorteAgel_2014,8839.640849228223,8282.289573823466,6.305,8264.21,6.51,21
mc_v2_20260811_high_000039,mc_v2_20260811_high/task_0007,39,high,Nygaard_TurboGaussian,8356.175911997088,7322.888490406806,12.366,7249.54,13.243,23
mc_v2_20260811_high_000039,mc_v2_20260811_high/task_0007,39,high,SuperGaussian,8586.019003576046,7660.406627501334,10.78,7589.42,11.607,23
mc_v2_20260811_high_000039,mc_v2_20260811_high/task_0007,39,high,Bastankhah_PorteAgel_2014,9009.86603569916,8416.997186265346,6.58,8373.54,7.063,23
