trial_id,run_id,seed,tier,target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,arrival_year
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,132.0,0.0,0.0,160,False,"(10, 20)",330,,SG11.0-200DD,0.428
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,2080.0,2080.0,1.0,12,True,"(75, 90)",90,staircase_9corners,Haliade-X 15.5MW,0.62
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,806.0,0.0,0.0,160,False,"(30, 45)",240,,Haliade-X 13MW,0.732
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,30.0,0.0,0.0,40,False,"(75, 90)",120,,IEA 2200-22MW,1.565
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,132.0,0.0,0.0,160,False,"(3, 10)",180,,Haliade-X 13MW,1.572
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,780.0,0.0,0.0,160,False,"(90, 105)",180,,Haliade-X 15.5MW,9.981
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,924.0,924.0,1.0,24,True,"(105, 120)",30,staircase_7corners,Haliade-X 15.5MW,11.466
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,2080.0,0.0,0.0,160,False,"(105, 120)",150,,Haliade-X 13MW,17.769
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,30.0,0.0,0.0,40,False,"(10, 20)",210,,SG11.0-200DD,18.88
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,715.0,715.0,1.0,20,True,"(20, 30)",60,staircase_9corners,SG11.0-200DD,22.893
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,715.0,0.0,0.0,160,False,"(75, 90)",210,,Haliade-X 13MW,23.232
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,572.0,0.0,0.0,160,False,"(10, 20)",60,,IEA 2200-22MW,23.888
mc_v2_20260811_low_000060,mc_v2_20260811_low/task_0012,60,low,806.0,0.0,0.0,160,False,"(20, 30)",0,,Haliade-X 13MW,24.699
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,30.0,0.0,0.0,40,False,"(20, 30)",0,,SG11.0-200DD,2.595
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,572.0,0.0,0.0,160,False,"(3, 10)",300,,IEA 2200-22MW,6.009
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,1833.0,0.0,0.0,160,False,"(20, 30)",0,,SG11.0-200DD,6.622
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,780.0,0.0,0.0,160,False,"(30, 45)",180,,SG11.0-200DD,8.327
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,780.0,0.0,0.0,160,False,"(3, 10)",90,,IEA 2200-22MW,11.582
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,132.0,33.0,0.25,130,True,"(20, 30)",270,staircase_8corners,Haliade-X 13MW,16.753
mc_v2_20260811_low_000061,mc_v2_20260811_low/task_0012,61,low,30.0,30.0,1.0,1,True,"(60, 75)",60,staircase_8corners,Haliade-X 13MW,16.804
