trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_low_000020,mc_20260807_0627_low/task_0004,20,low,2026-08-07T06:27:26.664,2026-08-07T06:27:40.533,2026-08-07T06:27:26.671,2026-08-07T06:27:26.688,2026-08-07T06:27:26.698,0.01,0.02,0.01,13.84,13.87,13,0,982,0,0,,1.0,,9.093,7,0.134
mc_20260807_0627_low_000021,mc_20260807_0627_low/task_0004,21,low,2026-08-07T06:27:40.538,2026-08-07T06:27:53.256,2026-08-07T06:27:40.543,2026-08-07T06:27:40.559,2026-08-07T06:27:40.560,0.01,0.02,0.0,12.7,12.72,13,0,928,0,0,,1.0,,9.288,7,0.1529
mc_20260807_0627_low_000022,mc_20260807_0627_low/task_0004,22,low,2026-08-07T06:27:53.256,2026-08-07T06:28:04.762,2026-08-07T06:27:53.261,2026-08-07T06:27:53.276,2026-08-07T06:27:53.276,0.0,0.01,0.0,11.49,11.51,13,0,876,0,0,,1.0,,9.071,7,0.1644
mc_20260807_0627_low_000023,mc_20260807_0627_low/task_0004,23,low,2026-08-07T06:28:04.762,2026-08-07T06:28:13.721,2026-08-07T06:28:04.766,2026-08-07T06:28:04.778,2026-08-07T06:28:04.778,0.0,0.01,0.0,8.94,8.96,13,0,755,0,0,,1.0,,9.465,8,0.1479
mc_20260807_0627_low_000024,mc_20260807_0627_low/task_0004,24,low,2026-08-07T06:28:13.721,2026-08-07T06:28:24.434,2026-08-07T06:28:13.725,2026-08-07T06:28:13.740,2026-08-07T06:28:13.741,0.0,0.01,0.0,10.69,10.71,13,0,894,0,0,,1.0,,9.25,7,0.1642
