trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,Nygaard_TurboGaussian,3,13.389,25.0,11.611,3,7651.065837522038,6905.515998062754,6900.211452807274,9.814
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,SuperGaussian,0,0.0,1.039,1.039,0,7806.0859850684155,7129.506008387707,7129.506008387707,8.667
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,SuperGaussian,1,1.039,11.063,10.023,1,7806.0859850684155,7129.506008387707,7129.086453933909,8.673
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,SuperGaussian,2,11.063,13.389,2.327,2,7806.0859850684155,7129.506008387707,7128.671108275511,8.678
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,SuperGaussian,3,13.389,25.0,11.611,3,7806.0859850684155,7129.506008387707,7128.982714767053,8.674
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,Bastankhah_PorteAgel_2014,0,0.0,1.039,1.039,0,8155.325078745259,7706.883351075758,7706.883351075758,5.499
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,Bastankhah_PorteAgel_2014,1,1.039,11.063,10.023,1,8155.325078745259,7706.883351075758,7706.710461927662,5.501
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,Bastankhah_PorteAgel_2014,2,11.063,13.389,2.327,2,8155.325078745259,7706.883351075758,7705.4237760560445,5.517
mc_v2_20260811_low_000022,mc_v2_20260811_low/task_0004,22,low,Bastankhah_PorteAgel_2014,3,13.389,25.0,11.611,3,8155.325078745259,7706.883351075758,7705.402146617995,5.517
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Nygaard_TurboGaussian,0,0.0,3.23,3.23,0,8571.586161705132,7608.735415718813,7608.735415718813,11.233
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Nygaard_TurboGaussian,1,3.23,5.089,1.859,1,8571.586161705132,7608.735415718813,7608.724993978878,11.233
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Nygaard_TurboGaussian,2,5.089,5.12,0.032,2,8571.586161705132,7608.735415718813,7563.279631706899,11.763
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Nygaard_TurboGaussian,3,5.12,25.0,19.88,3,8571.586161705132,7608.735415718813,7563.279057973725,11.763
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,SuperGaussian,0,0.0,3.23,3.23,0,8809.754618250541,7904.532308741403,7904.532308741403,10.275
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,SuperGaussian,1,3.23,5.089,1.859,1,8809.754618250541,7904.532308741403,7905.00517556309,10.27
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,SuperGaussian,2,5.089,5.12,0.032,2,8809.754618250541,7904.532308741403,7869.180117569367,10.677
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,SuperGaussian,3,5.12,25.0,19.88,3,8809.754618250541,7904.532308741403,7869.025215724363,10.678
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Bastankhah_PorteAgel_2014,0,0.0,3.23,3.23,0,9256.725981638087,8683.871151864534,8683.871151864534,6.189
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Bastankhah_PorteAgel_2014,1,3.23,5.089,1.859,1,9256.725981638087,8683.871151864534,8683.004633741655,6.198
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Bastankhah_PorteAgel_2014,2,5.089,5.12,0.032,2,9256.725981638087,8683.871151864534,8661.319479037189,6.432
mc_v2_20260811_low_000023,mc_v2_20260811_low/task_0004,23,low,Bastankhah_PorteAgel_2014,3,5.12,25.0,19.88,3,9256.725981638087,8683.871151864534,8661.179784448479,6.434
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Nygaard_TurboGaussian,0,0.0,5.14,5.14,0,8418.930892851247,7551.073069135505,7551.073069135505,10.308
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Nygaard_TurboGaussian,1,5.14,7.103,1.963,1,8418.930892851247,7551.073069135505,7551.054714236708,10.309
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Nygaard_TurboGaussian,2,7.103,9.494,2.391,2,8418.930892851247,7551.073069135505,7544.20617621619,10.39
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Nygaard_TurboGaussian,3,9.494,25.0,15.506,3,8418.930892851247,7551.073069135505,7522.4782421103355,10.648
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,SuperGaussian,0,0.0,5.14,5.14,0,8734.530381874625,7891.2770049350565,7891.2770049350565,9.654
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,SuperGaussian,1,5.14,7.103,1.963,1,8734.530381874625,7891.2770049350565,7891.556848802697,9.651
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,SuperGaussian,2,7.103,9.494,2.391,2,8734.530381874625,7891.2770049350565,7891.13570022893,9.656
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,SuperGaussian,3,9.494,25.0,15.506,3,8734.530381874625,7891.2770049350565,7869.5299358237735,9.903
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Bastankhah_PorteAgel_2014,0,0.0,5.14,5.14,0,9249.349130661556,8679.517814073333,8679.517814073333,6.161
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Bastankhah_PorteAgel_2014,1,5.14,7.103,1.963,1,9249.349130661556,8679.517814073333,8679.499647757388,6.161
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Bastankhah_PorteAgel_2014,2,7.103,9.494,2.391,2,9249.349130661556,8679.517814073333,8678.195413746485,6.175
mc_v2_20260811_low_000024,mc_v2_20260811_low/task_0004,24,low,Bastankhah_PorteAgel_2014,3,9.494,25.0,15.506,3,9249.349130661556,8679.517814073333,8663.428714402706,6.335
