trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_low_000075,mc_v2_20260811_low/task_0015,75,low,Nygaard_TurboGaussian,8163.296982410244,7266.07661089266,10.991,7261.7,11.045,7
mc_v2_20260811_low_000075,mc_v2_20260811_low/task_0015,75,low,SuperGaussian,8461.507499009205,7650.259826903893,9.588,7645.08,9.649,7
mc_v2_20260811_low_000075,mc_v2_20260811_low/task_0015,75,low,Bastankhah_PorteAgel_2014,8936.841186576923,8389.63424278067,6.123,8386.61,6.157,7
mc_v2_20260811_low_000076,mc_v2_20260811_low/task_0015,76,low,Nygaard_TurboGaussian,8430.772713687842,7505.18169562166,10.979,7500.79,11.031,2
mc_v2_20260811_low_000076,mc_v2_20260811_low/task_0015,76,low,SuperGaussian,8663.224405936326,7788.480250161532,10.097,7786.3,10.122,2
mc_v2_20260811_low_000076,mc_v2_20260811_low/task_0015,76,low,Bastankhah_PorteAgel_2014,9097.950857786684,8524.191245011656,6.306,8521.33,6.338,2
mc_v2_20260811_low_000077,mc_v2_20260811_low/task_0015,77,low,Nygaard_TurboGaussian,8050.404275867145,7115.756633586396,11.61,7108.5,11.7,6
mc_v2_20260811_low_000077,mc_v2_20260811_low/task_0015,77,low,SuperGaussian,8356.00352191171,7512.054311552453,10.1,7504.98,10.185,6
mc_v2_20260811_low_000077,mc_v2_20260811_low/task_0015,77,low,Bastankhah_PorteAgel_2014,8838.593891196084,8265.367043442933,6.485,8261.1,6.534,6
mc_v2_20260811_low_000078,mc_v2_20260811_low/task_0015,78,low,Nygaard_TurboGaussian,8346.624059521964,7499.131718442572,10.154,7496.62,10.184,5
mc_v2_20260811_low_000078,mc_v2_20260811_low/task_0015,78,low,SuperGaussian,8647.175118595844,7804.601794433429,9.744,7803.88,9.752,5
mc_v2_20260811_low_000078,mc_v2_20260811_low/task_0015,78,low,Bastankhah_PorteAgel_2014,9135.042648380833,8573.102380870825,6.151,8571.07,6.174,5
mc_v2_20260811_low_000079,mc_v2_20260811_low/task_0015,79,low,Nygaard_TurboGaussian,7881.305616660239,7006.240325369265,11.103,7005.22,11.116,4
mc_v2_20260811_low_000079,mc_v2_20260811_low/task_0015,79,low,SuperGaussian,7985.224272710582,7127.952570949646,10.736,7127.28,10.744,4
mc_v2_20260811_low_000079,mc_v2_20260811_low/task_0015,79,low,Bastankhah_PorteAgel_2014,8344.207899516994,7782.07958075371,6.737,7781.62,6.742,4
