trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,4,7.309,7.447,0.137,4,8318.69475247748,7766.170350087052,7758.044925646173,6.74
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,5,7.447,8.043,0.596,5,8318.69475247748,7766.170350087052,7757.89347071303,6.741
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,6,8.043,8.626,0.583,6,8318.69475247748,7766.170350087052,7740.372012191476,6.952
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,7,8.626,10.359,1.733,7,8318.69475247748,7766.170350087052,7740.174220827888,6.954
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,8,10.359,14.366,4.008,8,8318.69475247748,7766.170350087052,7737.82752568224,6.983
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,9,14.366,17.199,2.832,9,8318.69475247748,7766.170350087052,7735.505207499844,7.011
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,10,17.199,17.685,0.486,10,8318.69475247748,7766.170350087052,7734.991526391794,7.017
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Bastankhah_PorteAgel_2014,11,17.685,25.0,7.315,11,8318.69475247748,7766.170350087052,7734.986593678608,7.017
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,0,0.0,0.012,0.012,0,8093.5172880546825,7143.732996121671,7143.732996121671,11.735
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,1,0.012,0.506,0.494,1,8093.5172880546825,7143.732996121671,7134.216737277274,11.853
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,2,0.506,2.362,1.857,2,8093.5172880546825,7143.732996121671,7134.0181667631205,11.855
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,3,2.362,3.201,0.839,3,8093.5172880546825,7143.732996121671,7091.796612258476,12.377
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,4,3.201,7.909,4.708,4,8093.5172880546825,7143.732996121671,7091.646510845685,12.379
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,5,7.909,9.114,1.205,5,8093.5172880546825,7143.732996121671,7091.187772664574,12.384
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,6,9.114,14.054,4.941,6,8093.5172880546825,7143.732996121671,7084.104611443448,12.472
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,7,14.054,20.143,6.089,7,8093.5172880546825,7143.732996121671,7043.643272466097,12.972
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Nygaard_TurboGaussian,8,20.143,25.0,4.857,8,8093.5172880546825,7143.732996121671,7043.3046525531645,12.976
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,0,0.0,0.012,0.012,0,8329.945164475419,7452.711050006955,7452.711050006955,10.531
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,1,0.012,0.506,0.494,1,8329.945164475419,7452.711050006955,7437.723030902558,10.711
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,2,0.506,2.362,1.857,2,8329.945164475419,7452.711050006955,7437.228853060044,10.717
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,3,2.362,3.201,0.839,3,8329.945164475419,7452.711050006955,7406.458211119708,11.086
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,4,3.201,7.909,4.708,4,8329.945164475419,7452.711050006955,7406.3526399240345,11.088
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,5,7.909,9.114,1.205,5,8329.945164475419,7452.711050006955,7407.126045587052,11.078
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,6,9.114,14.054,4.941,6,8329.945164475419,7452.711050006955,7392.880670302049,11.249
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,7,14.054,20.143,6.089,7,8329.945164475419,7452.711050006955,7355.40544844055,11.699
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,SuperGaussian,8,20.143,25.0,4.857,8,8329.945164475419,7452.711050006955,7354.737417567576,11.707
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,0,0.0,0.012,0.012,0,8764.915135722495,8193.53518224946,8193.53518224946,6.519
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,1,0.012,0.506,0.494,1,8764.915135722495,8193.53518224946,8186.8588376076705,6.595
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,2,0.506,2.362,1.857,2,8764.915135722495,8193.53518224946,8186.5557583005375,6.599
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,3,2.362,3.201,0.839,3,8764.915135722495,8193.53518224946,8171.374530602607,6.772
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,4,3.201,7.909,4.708,4,8764.915135722495,8193.53518224946,8171.333533531073,6.772
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,5,7.909,9.114,1.205,5,8764.915135722495,8193.53518224946,8171.254375012581,6.773
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,6,9.114,14.054,4.941,6,8764.915135722495,8193.53518224946,8159.479073713965,6.907
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,7,14.054,20.143,6.089,7,8764.915135722495,8193.53518224946,8139.9200003249,7.131
mc_v2_20260811_medium_000046,mc_v2_20260811_medium/task_0009,46,medium,Bastankhah_PorteAgel_2014,8,20.143,25.0,4.857,8,8764.915135722495,8193.53518224946,8139.632822435686,7.134
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,0,0.0,1.169,1.169,0,8084.459207706292,7211.580398347582,7211.580398347582,10.797
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,1,1.169,3.053,1.884,1,8084.459207706292,7211.580398347582,7211.580398347582,10.797
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,2,3.053,3.63,0.577,2,8084.459207706292,7211.580398347582,7210.730242502663,10.808
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,3,3.63,15.6,11.97,3,8084.459207706292,7211.580398347582,7131.9933963540825,11.781
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,4,15.6,19.908,4.309,4,8084.459207706292,7211.580398347582,7131.993395683061,11.781
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,Nygaard_TurboGaussian,5,19.908,25.0,5.092,5,8084.459207706292,7211.580398347582,7131.98349450242,11.782
mc_v2_20260811_medium_000047,mc_v2_20260811_medium/task_0009,47,medium,SuperGaussian,0,0.0,1.169,1.169,0,8319.650537533602,7513.844986311656,7513.844986311656,9.686
