eval,time_s,iter,obj,aep,rms_viol,x,y,label
1,0.0,0,-493.2691837827364,493.2691837827364,5.2322662413709935,3144.346;3486.746;3129.100;1911.080;837.822;41.036;1549.688;1448.465;1881.629;1722.210;1999.283;1956.190;2739.224;2564.548;2230.856;1533.930;1040.670;3505.879;1201.587;787.684;236.910;3538.334;460.281;1159.671;255.394;809.172;1417.086;3226.122;1243.662;3545.098;103.435;1266.065;1371.452;2750.976;3379.694;1150.883;1556.913;972.525;2883.801;2297.660;247.284;2173.120;2864.068;115.229;1639.612;2844.621;3558.947;2102.272;140.084;1607.122;677.421;2257.400;775.144;543.492;1930.120;361.392;2632.170;3382.744;3395.945;1349.059;2144.701;2383.138;1838.090;1695.213;31.940;244.427;1565.338;1553.377;669.181;1906.939;2156.711;2595.328;1103.025;1455.824;2962.017;2113.669;2543.456;1838.096;2988.222;2594.441;3118.542;732.275;1074.725;1712.894;1776.976;2187.634;2948.168;1899.806;3381.135;2604.180;643.525;2231.011;2024.220;2748.257;2903.927;1075.051;498.185;2287.432;29.910;2838.900,1807.479;3589.627;3542.546;817.483;3059.846;2926.143;850.084;2364.672;3517.816;2633.647;344.262;1802.182;1664.496;2.678;3560.180;3159.432;781.960;2179.359;1699.031;1292.792;1905.453;2033.363;3000.776;226.128;2182.920;1813.006;577.075;523.604;2296.227;3178.462;118.317;1540.879;3160.415;1715.425;1323.254;866.341;173.634;630.600;2004.392;1908.308;1959.198;1076.590;3115.527;3049.008;1676.521;2704.890;2820.854;1325.149;638.327;910.334;853.528;1410.824;25.943;1011.207;1933.452;1523.013;1914.575;2664.278;3352.376;1173.589;974.065;1714.406;2194.618;674.102;100.783;734.377;882.376;1570.790;2271.345;1085.125;3511.824;3136.134;2234.635;1216.393;611.034;2375.029;2575.617;237.963;2790.418;3199.064;2276.006;2532.069;3108.399;3415.406;1266.755;213.126;1119.438;615.064;1346.575;1814.296;2845.771;3428.935;1043.355;3427.251;662.559;1584.221;656.998;938.343;61.945;886.607,init
21,246.84904170036316,20,-561.0369342286494,561.0369342286494,0.0,3577.655;3599.011;3354.325;1407.360;225.525;51.487;926.113;1076.364;1309.069;1636.443;1953.707;2488.451;3572.795;2808.685;1878.215;953.061;802.927;3597.289;881.703;626.082;3.427;3599.461;27.671;487.953;26.091;200.081;717.052;3596.734;1155.956;3592.465;5.198;983.355;752.964;3115.302;3598.076;631.847;1098.116;389.325;3065.660;2592.946;25.651;2861.453;3064.822;2.570;2006.408;2836.405;3589.807;2733.055;1.224;1703.879;81.699;2773.853;185.381;12.024;1596.863;22.227;2433.051;3596.214;3595.616;1441.567;1806.790;3266.738;1713.905;1011.691;13.446;51.271;1540.251;1319.396;534.156;2296.729;1580.922;2654.315;817.757;1474.582;3245.751;2132.696;2130.750;1496.435;3224.581;2554.827;3108.622;623.440;483.196;1000.493;2072.316;2460.046;3584.421;1914.446;3598.088;2807.924;427.966;2160.616;2117.825;2884.734;3130.089;471.276;507.817;2389.308;0.261;2869.043,1389.223;3599.909;3599.498;474.377;3595.282;2901.408;647.575;3102.801;3599.282;3218.285;3.007;1978.444;771.472;0.023;3599.652;3278.112;987.394;2098.267;2142.587;1588.516;2086.930;1895.484;3231.745;1.975;2701.910;2310.037;41.630;4.573;2734.296;2853.532;307.971;1763.046;3596.161;1501.811;306.577;1286.371;1.517;478.958;1842.191;1652.660;2514.583;743.128;3205.198;3595.187;2267.632;2693.527;2648.569;1411.081;772.148;1529.579;1028.889;1123.136;0.227;1535.817;2504.038;1766.036;2339.267;2351.411;3174.910;1337.051;684.354;1129.106;2926.655;268.333;552.954;1339.178;1029.571;2260.561;2449.892;1229.543;3599.230;3170.179;2637.619;1917.072;5.640;3088.442;2734.447;2.078;2895.050;3593.227;2269.551;2908.511;3595.706;3596.346;1776.765;1.862;509.757;248.391;1130.749;2171.797;3189.745;3520.359;845.593;3598.491;222.972;1891.246;784.903;476.524;0.541;506.780,end
