Wind_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0,1,4,4.2276731895804405,-0.01757045662218934,-0.01676991163873413,0.791696756362915,0.00443966760799259,0.010859324704038272
0,1,5,5.827856461644172,-0.04569557882100344,-0.0374936342715946,1.1355437375605106,0.009797632188623537,0.02603983053388882
0,1,6,7.573286602497101,-0.07689744412340224,-0.06794010880659335,1.5360915107429027,0.015420657222624869,0.04621949136024341
0,1,7,9.459242991924286,-0.11822458497993649,-0.10532763721141965,1.9848045780956745,0.02121539847739041,0.06982872368954122
0,1,8,11.605340037584305,-0.15512238256447017,-0.15832532556913792,2.4936616761684416,0.024645128346746786,0.09741585270687937
0,1,9,14.51172646164894,-0.19464708007872106,-0.2390736061632633,3.1275798532962797,0.026605874672997742,0.1214794087242335
0,1,10,17.750936100482942,-0.21637035236507654,-0.3332628385424614,3.829674643397331,0.02085931909387,0.14469687501713632
0,1,11,20.984021964073182,-0.2551076623350382,-0.449539896465838,4.535051577091217,0.008399150747426915,0.17140484176948667
0,1,12,20.130243512630464,-0.33926831765472887,-0.4703321221321821,4.8493204786777495,-0.004206238485371946,0.20555968929827212
0,1,13,17.58495858168602,-0.4356660437807441,-0.36472931787744167,4.017632726252079,-0.02901764374715276,0.2342849757708609
0,1,14,16.398489941596985,-0.4908124551102519,-0.31729145159944894,3.5395132361650465,-0.057153260572813454,0.25038587030395865
0,1,15,15.295701809167863,-0.5559990295395255,-0.27836965684592724,3.194248105108738,-0.08289567314926535,0.2620715661160648
0,1,16,14.511961004495621,-0.6207507678419352,-0.2493486032847841,2.9566314863562586,-0.10689976225979626,0.27240021783486007
0,1,17,13.962563529014588,-0.6806698572188615,-0.2242837844683072,2.8067193537950517,-0.1298271728400141,0.28284332702308895
0,1,18,13.644336237430572,-0.7386182503700256,-0.20245736787846363,2.73412081182003,-0.1526681061759591,0.29434769646823405
0,1,19,13.457439645767211,-0.8016564020812511,-0.18256125105153478,2.697458071231842,-0.18051047487556934,0.3083914069905877
0,1,20,13.331003355741501,-0.86878468747437,-0.16333131360751213,2.672830935418606,-0.22878400982543826,0.32304782191663983
0,1,21,13.273687620162963,-0.9310527137815953,-0.1452414532994653,2.6593985114097594,-0.30286489571630953,0.33552202744036913
