Wind_Direction,Wave_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0,0,1,4,4.836250195324421,0.005283315090325459,-0.060158428041122536,0.7038387005329132,0.007913231262039971,0.010836423700427119
0,0,1,5,5.9434199945926665,-0.00836753548676279,-0.08170594228747996,1.070085603699088,0.012721994187687187,0.027017016301631884
0,0,1,6,7.397943528771401,-0.041488651972480514,-0.11035934793372872,1.50272353002429,0.01731627188887114,0.04925242669266464
0,0,1,7,9.095905524492263,-0.07589959916196518,-0.14472387024291491,1.9952997159063817,0.022019469324064175,0.07555743255712605
0,0,1,8,11.28906007218361,-0.12726355151552707,-0.19407539344835892,2.550003961741924,0.02471109117903825,0.10568045697687194
0,0,1,9,14.180859065771102,-0.1700856640841812,-0.26213318611495195,3.2323904723525048,0.024733207303196964,0.13057823728583753
0,0,1,10,17.491907601833343,-0.2192907808870077,-0.352179319947958,3.955207807600498,0.015390871947275628,0.15605371128581463
0,0,1,11,20.84362593317032,-0.3036523107886314,-0.4499686278179288,4.640191689372062,0.001148040945047569,0.1927210749220103
0,0,1,12,20.337933910369873,-0.40024648954719305,-0.417469039440155,4.529374801754951,-0.021509459527666308,0.22775254238769413
0,0,1,13,18.39969348335266,-0.37883813244849446,-0.35122180337831377,3.7716296404004095,-0.0437832591879619,0.24819679431244732
0,0,1,14,16.6393401324749,-0.3922490582168102,-0.3142810762729496,3.251707992553711,-0.061316458994521324,0.26665062533691525
0,0,1,15,15.538718309164047,-0.4005810146406293,-0.2929137214655502,2.9111644021570684,-0.07546298872032389,0.2807453803587705
0,0,1,16,14.77868643116951,-0.40641835576854646,-0.2791833498244482,2.6750080839246513,-0.08615733708038897,0.29324369294941427
0,0,1,17,14.242212620019913,-0.4010617943489924,-0.27063342310348887,2.5178527698628606,-0.09631643856183543,0.30446590458229184
0,0,1,18,13.931483664274216,-0.39050620448826523,-0.2664770989175813,2.4344676291379184,-0.11677972239939845,0.3140399754308164
0,0,1,19,13.771793676137925,-0.3763407870228997,-0.26346205424940855,2.3970310282140854,-0.1487599988407128,0.32181160045880824
0,0,1,20,13.721026013851166,-0.36078789322900684,-0.26140363760093716,2.386582552792679,-0.19019289239242243,0.3276782003464177
0,0,1,21,13.756993320941925,-0.3498550102559166,-0.2604565087783121,2.3958185148740596,-0.23410707276739914,0.3325258595403284
0,0,1,22,13.863109071016313,-0.41787867616301994,-0.26086500149797937,2.4168677525487436,-0.2809767450684176,0.33713174817943947
0,0,1,23,14.023215602874755,-0.4886726580392569,-0.2627198279453014,2.445144459337811,-0.316785912189247,0.34328863758174705
0,0,1,24,14.235182267427444,-0.5647951938211918,-0.2660620502115892,2.4808015907816587,-0.3413993897552282,0.35209721167758107
0,0,2,4,4.144357546746731,0.0037673764224327895,-0.07117875666489636,0.7342658660262823,0.00806052588956254,0.012637266407179595
0,0,2,5,5.289384100079537,-0.01987494402889206,-0.09171683719802787,1.1026347589939833,0.01235718016273495,0.029143610359250487
0,0,2,6,6.8961560434103015,-0.04888598496934946,-0.11893928319612831,1.5334855964183807,0.016463719448029678,0.05119213322507403
0,0,2,7,8.799228234529496,-0.08907351649675002,-0.15318351608968306,2.0223055952489375,0.020612163977048566,0.07754193371316433
0,0,2,8,11.159711083889007,-0.13379144725948572,-0.20395710053611038,2.571865383505821,0.024101519918660302,0.10691767449304461
0,0,2,9,14.15865546631813,-0.17611176523007452,-0.2724204904939979,3.24341050863266,0.024194181637635665,0.1314720058888197
0,0,2,10,17.531515501499175,-0.22358116318657995,-0.3633334403000772,3.9561483048200605,0.015281698902550033,0.15662381431460382
0,0,2,11,20.920297698497773,-0.304844872251153,-0.4624330134615302,4.632305584073067,0.0019424936667269321,0.19269403303973376
0,0,2,12,20.447097269058226,-0.404896418325603,-0.42835875834524634,4.492013509333134,-0.021695208445093612,0.2283887182585895
