year,wake_model,southcoast_turbine,n_southcoast_turbines,isolated_aep_gwh,aep_with_neighbors_gwh,loss_pct
2000,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3239.487897819558,3193.4031769234048,1.4225927785429286
2000,Nygaard_TurboGaussian,option2_haliadex_250,161,3239.487897819558,3200.9702267394487,1.189004938281598
2000,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3239.487897819558,3194.4393643611593,1.3906066291749393
2000,SuperGaussian,option1_haliadex_13mw,212,3552.194527928509,3548.9178466878643,0.09224385699832917
2000,SuperGaussian,option2_haliadex_250,161,3552.194527928509,3549.3686859760483,0.07955200454939099
2000,SuperGaussian,option3_gwh300_22mw,115,3552.194527928509,3549.8663359019483,0.06554235721765304
2000,NOJ,option1_haliadex_13mw,212,3799.5764593275544,3798.794759138862,0.020573350663161977
2000,NOJ,option2_haliadex_250,161,3799.5764593275544,3798.734297214669,0.022164631292471332
2000,NOJ,option3_gwh300_22mw,115,3799.5764593275544,3798.6275909730584,0.02497300329794919
2001,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3002.990099248402,2952.3016998561498,1.68793095271739
2001,Nygaard_TurboGaussian,option2_haliadex_250,161,3002.990099248402,2957.2956906799172,1.5216303437004837
2001,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3002.990099248402,2953.067950216069,1.6624147060900283
2001,SuperGaussian,option1_haliadex_13mw,212,3316.185655488715,3311.7895624868506,0.13256474330947668
2001,SuperGaussian,option2_haliadex_250,161,3316.185655488715,3312.279714463806,0.11778414813549218
2001,SuperGaussian,option3_gwh300_22mw,115,3316.185655488715,3312.819745024676,0.10149945792292173
2001,NOJ,option1_haliadex_13mw,212,3573.3944303905514,3572.410378661878,0.02753829021236455
2001,NOJ,option2_haliadex_250,161,3573.3944303905514,3572.3310234682585,0.029759013257784864
2001,NOJ,option3_gwh300_22mw,115,3573.3944303905514,3572.1890046520125,0.033733352475370605
2002,Nygaard_TurboGaussian,option1_haliadex_13mw,212,3369.15532112065,3316.0907528775033,1.5750110394286143
2002,Nygaard_TurboGaussian,option2_haliadex_250,161,3369.15532112065,3325.575287481405,1.2935002837669498
2002,Nygaard_TurboGaussian,option3_gwh300_22mw,115,3369.15532112065,3317.1433181772804,1.543769817239219
2002,SuperGaussian,option1_haliadex_13mw,212,3699.302115549577,3695.072080784038,0.11434683173776702
2002,SuperGaussian,option2_haliadex_250,161,3699.302115549577,3695.7195355087542,0.09684475419739184
2002,SuperGaussian,option3_gwh300_22mw,115,3699.302115549577,3696.24259307305,0.08270539634129087
2002,NOJ,option1_haliadex_13mw,212,3953.756400261586,3952.8616518744266,0.022630336737491645
