year,mean_speed_ms,freq_0,freq_30,freq_60,freq_90,freq_120,freq_150,freq_180,freq_210,freq_240,freq_270,freq_300,freq_330,A_0,A_30,A_60,A_90,A_120,A_150,A_180,A_210,A_240,A_270,A_300,A_330,k_0,k_30,k_60,k_90,k_120,k_150,k_180,k_210,k_240,k_270,k_300,k_330
2000,9.173,0.06841985428051002,0.07980418943533697,0.07046903460837887,0.043943533697632056,0.039503642987249545,0.03836520947176685,0.06978597449908926,0.13866120218579234,0.14902094717668488,0.10849271402550091,0.1130464480874317,0.08048724954462659,9.866072190935043,10.339555663043463,8.77893993860947,8.85628951906451,9.369477736218588,8.673944103784919,11.050208634137917,11.0236212385741,10.71277015344411,10.893607644853487,11.19433103945806,9.684457150257888,2.201265034999425,2.496506027983335,2.3292795964999073,2.021657767072571,1.7597095421407287,1.5114075802908582,1.9660121527855836,2.4098750193159173,2.398009616062933,2.506852476575644,2.4851353701551497,2.1924382795784845
2001,8.733,0.05650684931506849,0.07226027397260273,0.04360730593607306,0.046004566210045665,0.0386986301369863,0.043835616438356165,0.07111872146118721,0.16221461187214611,0.16837899543378995,0.12397260273972603,0.1021689497716895,0.07123287671232877,8.960134419411983,10.479802274493155,8.303130509648906,10.0606475429975,8.22495538554318,8.508055429041242,8.977733011208857,10.643429470801486,9.967298789496933,10.45188429275423,10.464474725834915,8.947328015897867,2.1129789208685987,2.0442286585579343,1.8731673733384688,2.0409250181129313,2.0682868287689944,1.8937290969547251,2.2756005461148545,2.482495255099324,2.747355414187239,2.4326725817360986,2.569910677390668,2.2131584372609945
2002,9.337,0.05639269406392694,0.0682648401826484,0.05650684931506849,0.03584474885844749,0.02899543378995434,0.03881278538812785,0.08926940639269407,0.18333333333333332,0.15547945205479452,0.11358447488584475,0.09623287671232876,0.07728310502283105,9.440378526591118,9.62006849022951,10.237210131346131,9.25938225201065,9.276860777323193,8.547806069500346,10.834554395539861,10.993434530666846,10.763911073981044,11.9610433056109,10.894348398640293,9.664166355294377,2.3350031038290306,2.649158506040764,2.3766326818441543,1.930345178516475,1.9203124776428229,1.7397708399956135,2.025356306173231,2.6589284083177676,2.808268444108565,2.575303539873998,2.562403596630614,2.378125176711046
2003,9.231,0.05410958904109589,0.08162100456621005,0.08687214611872146,0.04269406392694064,0.04474885844748858,0.043949771689497714,0.08687214611872146,0.12853881278538812,0.14337899543378996,0.12853881278538812,0.09474885844748858,0.0639269406392694,9.35244041315282,10.247491088135869,9.995457288274558,8.725406081889842,9.16793535221768,10.814857652355595,10.502089162689414,10.403738624823637,10.750217644923877,11.820117838256605,10.268466775140597,10.128032765905356,2.175019090271096,2.4916098400280737,2.1435256839602252,1.90500291702751,1.7629805250561743,1.8916897046950298,2.178898328228131,2.6483838605526606,2.3448579597349846,2.3001352427926136,2.5717647279796005,2.28951265100766
2004,9.098,0.07741347905282331,0.08299180327868852,0.05453096539162113,0.04656193078324226,0.044285063752276865,0.057832422586520944,0.08504098360655737,0.13911657559198543,0.1269353369763206,0.11031420765027322,0.10097905282331512,0.07399817850637523,10.295185337931548,11.05611295042393,8.413661211750867,8.580519192820411,8.04084742742199,8.94038301773131,9.716148066317103,11.00600954189419,10.500852182101031,11.238889906568234,11.447746831261087,9.634638485075335,2.037380324223117,2.318266345917671,2.218821299370016,2.0594815337111347,1.8435515430851037,1.9013859813346636,2.0254815906131682,2.7407379979024604,2.6974077070083196,2.4630060888995784,2.767813713862501,2.616496863825593
2005,9.046,0.07066210045662101,0.0908675799086758,0.05468036529680365,0.04452054794520548,0.04577625570776256,0.0613013698630137,0.07842465753424657,0.15,0.12351598173515982,0.12363013698630138,0.09805936073059361,0.05856164383561644,11.469885607852678,10.52617897723815,9.472259326435672,7.636287406844053,8.456572463508362,10.018086869695928,10.456694347537915,10.58455858751173,9.770565301056736,10.934427980216535,10.267381399043353,9.941403266369052,2.0539502302601633,2.1396303005393182,1.6089040121366553,1.5767536233468415,1.6325081743453187,1.8540074000047078,1.9640420086498083,2.5692165555133033,2.4454160505095937,2.4161380717696486,2.7590931598331614,2.0741064088950054
2006,9.200,0.053082191780821915,0.0704337899543379,0.04954337899543379,0.04657534246575343,0.03961187214611872,0.04577625570776256,0.07340182648401826,0.1771689497716895,0.14600456621004565,0.11997716894977169,0.11438356164383562,0.06404109589041096,10.44009302483543,11.050044246724553,9.464367882378578,9.550093624255059,9.161092214709868,10.447653830778668,9.781972844796648,11.10262408143572,10.77090492897978,10.430778446150775,10.41321991000303,8.937806129091207,2.101939482323148,2.3542614844430467,1.9308945847378465,2.052648521381146,1.936473116598107,1.794790522108151,2.059685248331719,2.666597128603926,2.40007264027814,2.427456284553127,2.6335265697138115,2.118977464307089
2007,9.234,0.048287671232876715,0.08253424657534246,0.05091324200913242,0.040639269406392696,0.038356164383561646,0.03789954337899543,0.07214611872146119,0.1658675799086758,0.14463470319634703,0.14132420091324202,0.11232876712328767,0.06506849315068493,9.701311735890734,9.730061686387746,8.409579426990925,8.153684513690365,9.036214294308914,8.930374596449195,10.514711342080272,11.578928712068667,10.559432962105191,11.723304298457764,10.631352217037467,9.254877616053898,1.8596289090126668,2.389873452156597,2.2779982004369597,1.6811321131973693,1.4974647094754103,1.5809591385983324,2.1466142869881546,2.6151650190256737,2.578672204644451,2.548736909256162,2.5816593280886058,2.231460663393946
2008,8.947,0.06819216757741348,0.05885701275045537,0.058629326047358835,0.04326047358834244,0.047586520947176685,0.05179872495446266,0.09346539162112932,0.1538023679417122,0.14560564663023678,0.114867941712204,0.09141621129326047,0.07251821493624773,9.809694066242171,10.570687616393908,9.036225031229494,8.06172921801971,7.993060796648667,9.486546750568278,11.204511204336107,11.222453531742103,10.332675822249415,10.478435217431215,9.551895849375187,9.545204499307106,1.9819623611653745,2.154656642685002,1.9803264081978011,1.7611917499237584,1.7335831435082358,1.6512425340897887,1.7997571217825443,2.2071145559187535,2.256156205677654,2.1610525684030106,2.470460170886101,2.2143405141676755
2009,9.142,0.07089041095890411,0.08698630136986302,0.07134703196347032,0.053082191780821915,0.04360730593607306,0.046232876712328765,0.07522831050228311,0.13618721461187214,0.13675799086757992,0.11278538812785388,0.1021689497716895,0.06472602739726027,10.464014347250487,10.90586451058975,9.536830326404543,8.817789253100955,8.657375689032808,9.703499596271307,10.294081014185235,10.240089135557962,10.416151401777821,11.268078776922536,11.00042216413843,10.021884908485244,2.0717460472570552,2.2112200571671763,1.8966658328061006,1.8458239345545038,1.8788510462424175,1.9847547223670075,1.9265136592414467,2.3494094295657586,2.3042961440305083,2.083158655629366,2.4901624170470695,2.399071810097151
