trial_id,run_id,seed,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,0,0.0,1.686,1.686,0,7358.769271356332,6486.117732441869,6486.117732441869,11.859
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,1,1.686,3.611,1.925,1,7358.769271356332,6486.117732441869,6472.207025912223,12.048
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,2,3.611,4.012,0.401,2,7358.769271356332,6486.117732441869,6472.207025912223,12.048
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,3,4.012,6.61,2.598,3,7358.769271356332,6486.117732441869,6472.188676408638,12.048
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,4,6.61,6.932,0.323,4,7358.769271356332,6486.117732441869,6472.114805839936,12.049
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,5,6.932,10.32,3.388,5,7358.769271356332,6486.117732441869,6472.107113313087,12.049
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,6,10.32,10.988,0.668,6,7358.769271356332,6486.117732441869,6466.931478686829,12.119
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,7,10.988,11.536,0.548,7,7358.769271356332,6486.117732441869,6466.714630198647,12.122
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,8,11.536,16.196,4.66,8,7358.769271356332,6486.117732441869,6416.748598632019,12.801
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,9,16.196,20.204,4.008,9,7358.769271356332,6486.117732441869,6405.07004461225,12.96
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,10,20.204,20.531,0.328,10,7358.769271356332,6486.117732441869,6399.631918585639,13.034
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,11,20.531,20.869,0.338,11,7358.769271356332,6486.117732441869,6398.249450314034,13.053
shakedown001_000004,shakedown001/task_0002,4,Nygaard_TurboGaussian,12,20.869,25.0,4.131,12,7358.769271356332,6486.117732441869,6394.491920309384,13.104
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,0,0.0,1.686,1.686,0,7527.7046979568295,6723.628283205507,6723.628283205507,10.682
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,1,1.686,3.611,1.925,1,7527.7046979568295,6723.628283205507,6717.4661931415485,10.763
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,2,3.611,4.012,0.401,2,7527.7046979568295,6723.628283205507,6717.466193134495,10.763
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,3,4.012,6.61,2.598,3,7527.7046979568295,6723.628283205507,6717.202224752025,10.767
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,4,6.61,6.932,0.323,4,7527.7046979568295,6723.628283205507,6717.555724689828,10.762
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,5,6.932,10.32,3.388,5,7527.7046979568295,6723.628283205507,6717.946957202702,10.757
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,6,10.32,10.988,0.668,6,7527.7046979568295,6723.628283205507,6713.568250645467,10.815
shakedown001_000004,shakedown001/task_0002,4,SuperGaussian,7,10.988,11.536,0.548,7,7527.7046979568295,6723.628283205507,6713.3175958216,10.819
