trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_medium_000018,mc_20260807_0627_medium/task_0003,18,Nygaard_TurboGaussian,20.22,3188.5407430247233,3135.1204102755764,1.675,2728.220877034357,14.437
mc_20260807_0627_medium_000018,mc_20260807_0627_medium/task_0003,18,SuperGaussian,4.66,3240.424272178102,3236.524532074781,0.12,2884.7700721062333,10.976
mc_20260807_0627_medium_000019,mc_20260807_0627_medium/task_0003,19,Nygaard_TurboGaussian,7.44,3349.8493511430424,3276.3416909114203,2.194,2895.1583686593385,13.573
mc_20260807_0627_medium_000019,mc_20260807_0627_medium/task_0003,19,SuperGaussian,2.01,3405.217953469226,3399.924244621983,0.155,3065.7629994726212,9.969
mc_20260807_0627_medium_000020,mc_20260807_0627_medium/task_0004,20,Nygaard_TurboGaussian,27.17,3231.2506729391516,3158.6918773914986,2.246,2799.522879393591,13.361
mc_20260807_0627_medium_000020,mc_20260807_0627_medium/task_0004,20,SuperGaussian,4.11,3287.527186526361,3282.349316512162,0.158,2979.1875842910995,9.379
mc_20260807_0627_medium_000021,mc_20260807_0627_medium/task_0004,21,Nygaard_TurboGaussian,13.42,3389.39021556213,3318.0999442140424,2.103,2919.384420006444,13.867
mc_20260807_0627_medium_000021,mc_20260807_0627_medium/task_0004,21,SuperGaussian,3.62,3441.79599197969,3436.7003094787897,0.148,3079.7769547591206,10.518
mc_20260807_0627_medium_000022,mc_20260807_0627_medium/task_0004,22,Nygaard_TurboGaussian,8.7,3159.8596562275816,3113.480577562261,1.468,2795.639728717687,11.526
mc_20260807_0627_medium_000022,mc_20260807_0627_medium/task_0004,22,SuperGaussian,2.9,3205.2533609382635,3201.8608398514443,0.106,2932.754843348639,8.502
mc_20260807_0627_medium_000023,mc_20260807_0627_medium/task_0004,23,Nygaard_TurboGaussian,9.56,3451.7098598090865,3383.9729879591323,1.962,3045.2450152502342,11.776
mc_20260807_0627_medium_000023,mc_20260807_0627_medium/task_0004,23,SuperGaussian,3.95,3504.9852039398415,3500.0097408869597,0.142,3214.493449231535,8.288
mc_20260807_0627_medium_000024,mc_20260807_0627_medium/task_0004,24,Nygaard_TurboGaussian,11.17,3369.391012657226,3297.7404222182768,2.127,2927.8805810480435,13.104
mc_20260807_0627_medium_000024,mc_20260807_0627_medium/task_0004,24,SuperGaussian,4.41,3424.0871261473353,3418.983221617895,0.149,3094.6690660242575,9.621
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,Nygaard_TurboGaussian,28.76,3416.6830483318117,3355.476699134754,1.791,2963.5098641816503,13.264
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,SuperGaussian,5.04,3471.1459213602902,3466.721033014657,0.127,3105.364399877155,10.538
mc_20260807_0627_medium_000026,mc_20260807_0627_medium/task_0005,26,Nygaard_TurboGaussian,14.28,2750.3954150663876,2706.5715872341134,1.593,2387.4486790068663,13.196
mc_20260807_0627_medium_000026,mc_20260807_0627_medium/task_0005,26,SuperGaussian,3.51,2798.725962986005,2795.5728998465547,0.113,2525.7547254252936,9.753
mc_20260807_0627_medium_000027,mc_20260807_0627_medium/task_0005,27,Nygaard_TurboGaussian,12.26,3479.2136310548076,3411.0621332223677,1.959,3067.932644730032,11.821
mc_20260807_0627_medium_000027,mc_20260807_0627_medium/task_0005,27,SuperGaussian,4.69,3533.8322198840106,3528.876216542055,0.14,3228.0822827044235,8.652
mc_20260807_0627_medium_000028,mc_20260807_0627_medium/task_0005,28,Nygaard_TurboGaussian,14.18,3184.1979388428763,3128.643968270814,1.745,2794.2693838194346,12.246
mc_20260807_0627_medium_000028,mc_20260807_0627_medium/task_0005,28,SuperGaussian,5.1,3236.794953547177,3232.810579006361,0.123,2912.61148392858,10.016
mc_20260807_0627_medium_000029,mc_20260807_0627_medium/task_0005,29,Nygaard_TurboGaussian,7.23,3255.9445078506733,3195.741050566068,1.849,2850.000566442275,12.468
mc_20260807_0627_medium_000029,mc_20260807_0627_medium/task_0005,29,SuperGaussian,2.53,3308.5193555934884,3304.172570754918,0.131,3011.066945350839,8.99
mc_20260807_0627_medium_000030,mc_20260807_0627_medium/task_0006,30,Nygaard_TurboGaussian,16.76,3486.98105413868,3427.3981702767546,1.709,3038.201121240813,12.87
mc_20260807_0627_medium_000030,mc_20260807_0627_medium/task_0006,30,SuperGaussian,3.86,3538.372341321712,3534.0465909122595,0.122,3184.972386134271,9.988
mc_20260807_0627_medium_000031,mc_20260807_0627_medium/task_0006,31,Nygaard_TurboGaussian,7.0,3304.7024137411695,3246.672808045315,1.756,2921.4769027925477,11.596
mc_20260807_0627_medium_000031,mc_20260807_0627_medium/task_0006,31,SuperGaussian,1.95,3356.856038577885,3352.592838263604,0.127,3066.0612003414126,8.663
mc_20260807_0627_medium_000032,mc_20260807_0627_medium/task_0006,32,Nygaard_TurboGaussian,16.03,3389.785768398916,3317.110554291311,2.144,2977.2823606450443,12.169
mc_20260807_0627_medium_000032,mc_20260807_0627_medium/task_0006,32,SuperGaussian,3.37,3443.34185615724,3438.124179703594,0.152,3147.712193174364,8.586
mc_20260807_0627_medium_000033,mc_20260807_0627_medium/task_0006,33,Nygaard_TurboGaussian,12.99,3151.9649361056095,3089.071653635685,1.995,2625.9740295751226,16.688
mc_20260807_0627_medium_000033,mc_20260807_0627_medium/task_0006,33,SuperGaussian,2.96,3206.4920727160625,3201.9545899420627,0.142,2821.531923582944,12.006
mc_20260807_0627_medium_000034,mc_20260807_0627_medium/task_0006,34,Nygaard_TurboGaussian,15.76,3015.6765617012406,2957.686901643756,1.923,2547.699242232232,15.518
mc_20260807_0627_medium_000034,mc_20260807_0627_medium/task_0006,34,SuperGaussian,3.44,3068.970165288336,3064.768578670215,0.137,2680.9173123069527,12.644
mc_20260807_0627_medium_000035,mc_20260807_0627_medium/task_0007,35,Nygaard_TurboGaussian,11.64,3155.122673892889,3091.672137341118,2.011,2693.9600721905717,14.616
mc_20260807_0627_medium_000035,mc_20260807_0627_medium/task_0007,35,SuperGaussian,3.54,3208.912780406658,3204.420639253378,0.14,2871.1716283509368,10.525
mc_20260807_0627_medium_000036,mc_20260807_0627_medium/task_0007,36,Nygaard_TurboGaussian,15.92,3210.649726025416,3159.4659763045674,1.594,2831.666334823345,11.804
mc_20260807_0627_medium_000036,mc_20260807_0627_medium/task_0007,36,SuperGaussian,5.36,3260.2660477120326,3256.5273876005904,0.115,2983.02979987027,8.503
mc_20260807_0627_medium_000037,mc_20260807_0627_medium/task_0007,37,Nygaard_TurboGaussian,9.59,3134.271398730084,3067.418477422104,2.133,2715.757941854862,13.353
mc_20260807_0627_medium_000037,mc_20260807_0627_medium/task_0007,37,SuperGaussian,3.04,3188.0440710221205,3183.342564477073,0.147,2898.4604315522943,9.083
mc_20260807_0627_medium_000038,mc_20260807_0627_medium/task_0007,38,Nygaard_TurboGaussian,10.52,3308.863441351129,3248.120756778001,1.836,2838.6936676495384,14.209
mc_20260807_0627_medium_000038,mc_20260807_0627_medium/task_0007,38,SuperGaussian,3.33,3360.6399749793336,3356.192912591642,0.132,3019.778736306801,10.143
mc_20260807_0627_medium_000039,mc_20260807_0627_medium/task_0007,39,Nygaard_TurboGaussian,8.35,3362.8520691132635,3305.6937107998647,1.7,2913.1777712594007,13.372
mc_20260807_0627_medium_000039,mc_20260807_0627_medium/task_0007,39,SuperGaussian,2.2,3413.988447968456,3409.7465399860776,0.124,3095.9398613043218,9.316
mc_20260807_0627_medium_000040,mc_20260807_0627_medium/task_0008,40,Nygaard_TurboGaussian,19.45,3046.9740241686086,2997.4701032034645,1.625,2614.3416773467443,14.199
mc_20260807_0627_medium_000040,mc_20260807_0627_medium/task_0008,40,SuperGaussian,5.33,3093.8024311629115,3090.1630089752307,0.118,2765.149317052074,10.623
mc_20260807_0627_medium_000041,mc_20260807_0627_medium/task_0008,41,Nygaard_TurboGaussian,11.34,3129.638664624212,3070.1662191851756,1.9,2711.2595033867806,13.368
mc_20260807_0627_medium_000041,mc_20260807_0627_medium/task_0008,41,SuperGaussian,6.33,3182.430444191097,3178.2173276788435,0.132,2871.276690255615,9.777
mc_20260807_0627_medium_000042,mc_20260807_0627_medium/task_0008,42,Nygaard_TurboGaussian,6.94,2983.0747012285738,2919.809292589117,2.121,2595.1127422137997,13.005
mc_20260807_0627_medium_000042,mc_20260807_0627_medium/task_0008,42,SuperGaussian,2.26,3035.7941594900003,3031.254359283372,0.15,2754.574917311432,9.263
mc_20260807_0627_medium_000043,mc_20260807_0627_medium/task_0008,43,Nygaard_TurboGaussian,14.2,3373.8093818567804,3313.3257293480206,1.793,2997.6454228889743,11.15
mc_20260807_0627_medium_000043,mc_20260807_0627_medium/task_0008,43,SuperGaussian,6.79,3426.6739990676397,3422.261604095957,0.129,3171.13185157341,7.457
mc_20260807_0627_medium_000044,mc_20260807_0627_medium/task_0008,44,Nygaard_TurboGaussian,9.95,3263.6630413985977,3196.294604731005,2.064,2791.885850623349,14.455
mc_20260807_0627_medium_000044,mc_20260807_0627_medium/task_0008,44,SuperGaussian,4.44,3318.2392273898367,3313.4420596298723,0.145,2959.6169707238087,10.808
mc_20260807_0627_medium_000045,mc_20260807_0627_medium/task_0009,45,Nygaard_TurboGaussian,30.0,3165.5371143503903,3112.9786347602508,1.66,2713.942475681457,14.266
mc_20260807_0627_medium_000045,mc_20260807_0627_medium/task_0009,45,SuperGaussian,5.96,3215.5307552519325,3211.698941784799,0.119,2846.4628408915523,11.478
mc_20260807_0627_medium_000046,mc_20260807_0627_medium/task_0009,46,Nygaard_TurboGaussian,13.57,3264.7074763887877,3193.680909178718,2.176,2810.8934046577256,13.901
mc_20260807_0627_medium_000046,mc_20260807_0627_medium/task_0009,46,SuperGaussian,4.38,3318.7886150226677,3313.6872686414076,0.154,2973.9157981519347,10.392
mc_20260807_0627_medium_000047,mc_20260807_0627_medium/task_0009,47,Nygaard_TurboGaussian,10.88,3272.051745569774,3213.72784618529,1.782,2905.484476178305,11.203
mc_20260807_0627_medium_000047,mc_20260807_0627_medium/task_0009,47,SuperGaussian,3.39,3322.8126380454064,3318.6499016061075,0.125,3062.2739849653067,7.841
mc_20260807_0627_medium_000048,mc_20260807_0627_medium/task_0009,48,Nygaard_TurboGaussian,11.86,3312.3323643463086,3241.04160722292,2.152,2891.1518857892256,12.716
mc_20260807_0627_medium_000048,mc_20260807_0627_medium/task_0009,48,SuperGaussian,4.16,3366.6749735600833,3361.5461421388454,0.152,3042.0685315088995,9.642
mc_20260807_0627_medium_000049,mc_20260807_0627_medium/task_0009,49,Nygaard_TurboGaussian,7.36,3391.9429298410337,3315.991881425386,2.239,3001.7230504070585,11.504
mc_20260807_0627_medium_000049,mc_20260807_0627_medium/task_0009,49,SuperGaussian,1.95,3449.6304671023486,3444.2455588858356,0.156,3147.716211272038,8.752
mc_20260807_0627_medium_000050,mc_20260807_0627_medium/task_0010,50,Nygaard_TurboGaussian,27.28,3354.4455525445983,3293.5990781161545,1.814,2875.32058035788,14.283
mc_20260807_0627_medium_000050,mc_20260807_0627_medium/task_0010,50,SuperGaussian,5.23,3407.4583933119993,3403.023754891952,0.13,3031.9965692106457,11.019
mc_20260807_0627_medium_000051,mc_20260807_0627_medium/task_0010,51,Nygaard_TurboGaussian,16.9,3079.685592384501,3024.14910617369,1.803,2642.186142186216,14.206
mc_20260807_0627_medium_000051,mc_20260807_0627_medium/task_0010,51,SuperGaussian,3.97,3128.229543055963,3124.168198967958,0.13,2778.1629523348142,11.191
mc_20260807_0627_medium_000052,mc_20260807_0627_medium/task_0010,52,Nygaard_TurboGaussian,8.25,3250.5661889297635,3193.669666171305,1.75,2876.973022190504,11.493
mc_20260807_0627_medium_000052,mc_20260807_0627_medium/task_0010,52,SuperGaussian,2.76,3301.834260862722,3297.724436981718,0.124,3045.376475338459,7.767
mc_20260807_0627_medium_000053,mc_20260807_0627_medium/task_0010,53,Nygaard_TurboGaussian,14.36,3228.7228022267336,3170.5756026435665,1.801,2799.456767337956,13.295
mc_20260807_0627_medium_000053,mc_20260807_0627_medium/task_0010,53,SuperGaussian,3.63,3281.5680003696493,3277.291189415252,0.13,2963.873040780988,9.681
mc_20260807_0627_medium_000054,mc_20260807_0627_medium/task_0010,54,Nygaard_TurboGaussian,10.01,2983.8374883878273,2935.4515054976846,1.622,2576.648148861577,13.646
mc_20260807_0627_medium_000054,mc_20260807_0627_medium/task_0010,54,SuperGaussian,2.44,3033.8320682243875,3030.3174528111767,0.116,2709.7884915305876,10.681
