trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_medium_000048,mc_20260807_0627_medium/task_0009,48,medium,2026-08-07T06:28:45.369,2026-08-07T06:29:05.459,2026-08-07T06:28:45.373,2026-08-07T06:28:49.440,2026-08-07T06:28:49.440,0.0,4.07,0.0,16.02,20.09,19,6,1095,11808.0,2927.5,24.79,1.0,,9.205,7,0.1486
mc_20260807_0627_medium_000049,mc_20260807_0627_medium/task_0009,49,medium,2026-08-07T06:29:05.460,2026-08-07T06:29:19.548,2026-08-07T06:29:05.464,2026-08-07T06:29:10.237,2026-08-07T06:29:10.238,0.0,4.77,0.0,9.31,14.09,19,6,938,11808.0,1144.2,9.69,1.0,,9.368,7,0.1492
mc_20260807_0627_medium_000050,mc_20260807_0627_medium/task_0010,50,medium,2026-08-07T06:27:26.385,2026-08-07T06:28:03.445,2026-08-07T06:27:26.390,2026-08-07T06:27:30.917,2026-08-07T06:27:30.926,0.01,4.53,0.01,32.52,37.06,17,4,1247,11808.0,1978.5,16.76,1.0,,9.283,7,0.1658
mc_20260807_0627_medium_000051,mc_20260807_0627_medium/task_0010,51,medium,2026-08-07T06:28:03.450,2026-08-07T06:28:28.226,2026-08-07T06:28:03.454,2026-08-07T06:28:07.352,2026-08-07T06:28:07.352,0.0,3.9,0.0,20.87,24.78,20,7,1228,11808.0,3765.2,31.89,1.0,,8.801,7,0.1516
mc_20260807_0627_medium_000052,mc_20260807_0627_medium/task_0010,52,medium,2026-08-07T06:28:28.227,2026-08-07T06:28:43.648,2026-08-07T06:28:28.230,2026-08-07T06:28:32.642,2026-08-07T06:28:32.643,0.0,4.41,0.0,11.01,15.42,19,6,879,11808.0,2771.0,23.47,1.0,,9.106,7,0.1515
mc_20260807_0627_medium_000053,mc_20260807_0627_medium/task_0010,53,medium,2026-08-07T06:28:43.649,2026-08-07T06:29:04.850,2026-08-07T06:28:43.653,2026-08-07T06:28:46.860,2026-08-07T06:28:46.860,0.0,3.21,0.0,17.99,21.2,18,5,1156,11808.0,3148.2,26.66,1.0,,9.05,8,0.1538
mc_20260807_0627_medium_000054,mc_20260807_0627_medium/task_0010,54,medium,2026-08-07T06:29:04.850,2026-08-07T06:29:22.044,2026-08-07T06:29:04.853,2026-08-07T06:29:09.595,2026-08-07T06:29:09.596,0.0,4.74,0.0,12.45,17.19,19,6,1045,11808.0,1506.5,12.76,1.0,,8.638,7,0.1521
mc_20260807_0627_medium_000055,mc_20260807_0627_medium/task_0011,55,medium,2026-08-07T06:27:26.468,2026-08-07T06:27:52.047,2026-08-07T06:27:26.473,2026-08-07T06:27:30.306,2026-08-07T06:27:30.316,0.0,3.83,0.01,21.73,25.58,21,8,1074,11808.0,3721.8,31.52,1.0,,8.473,8,0.1743
mc_20260807_0627_medium_000056,mc_20260807_0627_medium/task_0011,56,medium,2026-08-07T06:27:52.051,2026-08-07T06:28:06.123,2026-08-07T06:27:52.056,2026-08-07T06:27:56.969,2026-08-07T06:27:56.970,0.0,4.91,0.0,9.15,14.07,15,2,954,11808.0,998.2,8.45,1.0,,9.104,7,0.1628
mc_20260807_0627_medium_000057,mc_20260807_0627_medium/task_0011,57,medium,2026-08-07T06:28:06.124,2026-08-07T06:28:32.725,2026-08-07T06:28:06.127,2026-08-07T06:28:09.534,2026-08-07T06:28:09.535,0.0,3.41,0.0,23.19,26.6,19,6,1298,11808.0,3937.0,33.34,1.0,,8.896,7,0.1487
mc_20260807_0627_medium_000058,mc_20260807_0627_medium/task_0011,58,medium,2026-08-07T06:28:32.726,2026-08-07T06:29:05.285,2026-08-07T06:28:32.730,2026-08-07T06:28:35.698,2026-08-07T06:28:35.698,0.0,2.97,0.0,29.59,32.56,20,7,1546,11808.0,5166.2,43.75,1.0,,9.333,7,0.1445
mc_20260807_0627_medium_000059,mc_20260807_0627_medium/task_0011,59,medium,2026-08-07T06:29:05.286,2026-08-07T06:29:20.999,2026-08-07T06:29:05.290,2026-08-07T06:29:09.535,2026-08-07T06:29:09.535,0.0,4.24,0.0,11.46,15.71,16,3,965,11808.0,1495.0,12.66,1.0,,9.091,9,0.1423
mc_20260807_0627_medium_000060,mc_20260807_0627_medium/task_0012,60,medium,2026-08-07T06:27:26.400,2026-08-07T06:28:01.297,2026-08-07T06:27:26.405,2026-08-07T06:27:28.781,2026-08-07T06:27:28.789,0.01,2.38,0.01,32.51,34.9,22,9,1260,11808.0,6309.5,53.43,1.0,,9.093,8,0.1362
mc_20260807_0627_medium_000061,mc_20260807_0627_medium/task_0012,61,medium,2026-08-07T06:28:01.300,2026-08-07T06:28:24.214,2026-08-07T06:28:01.305,2026-08-07T06:28:05.502,2026-08-07T06:28:05.502,0.0,4.2,0.0,18.71,22.91,19,6,1156,11808.0,2665.0,22.57,1.0,,8.846,8,0.1432
