trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_high_000000,mc_v2_20260811_high/task_0000,0,high,Nygaard_TurboGaussian,8290.836860972791,7425.828211034235,10.433,7361.25,11.212,16
mc_v2_20260811_high_000000,mc_v2_20260811_high/task_0000,0,high,SuperGaussian,8584.604106076456,7711.409888857006,10.172,7653.93,10.841,16
mc_v2_20260811_high_000000,mc_v2_20260811_high/task_0000,0,high,Bastankhah_PorteAgel_2014,9051.979214898614,8469.442353032235,6.435,8432.39,6.845,16
mc_v2_20260811_high_000001,mc_v2_20260811_high/task_0000,1,high,Nygaard_TurboGaussian,8480.382503899844,7552.6239644015095,10.94,7494.36,11.627,17
mc_v2_20260811_high_000001,mc_v2_20260811_high/task_0000,1,high,SuperGaussian,8721.80841682623,7862.808975871829,9.849,7813.19,10.418,17
mc_v2_20260811_high_000001,mc_v2_20260811_high/task_0000,1,high,Bastankhah_PorteAgel_2014,9174.127470999385,8622.990588034147,6.008,8593.12,6.333,17
mc_v2_20260811_high_000002,mc_v2_20260811_high/task_0000,2,high,Nygaard_TurboGaussian,8375.162866325001,7477.5869976571375,10.717,7382.23,11.856,16
mc_v2_20260811_high_000002,mc_v2_20260811_high/task_0000,2,high,SuperGaussian,8476.851940659766,7683.558113887584,9.358,7598.99,10.356,16
mc_v2_20260811_high_000002,mc_v2_20260811_high/task_0000,2,high,Bastankhah_PorteAgel_2014,8841.373106019997,8319.601917652955,5.901,8270.4,6.458,16
mc_v2_20260811_high_000003,mc_v2_20260811_high/task_0000,3,high,Nygaard_TurboGaussian,7353.871052357596,6408.952575112187,12.849,6369.35,13.388,14
mc_v2_20260811_high_000003,mc_v2_20260811_high/task_0000,3,high,SuperGaussian,7588.622489675055,6760.837782071743,10.908,6729.58,11.32,14
mc_v2_20260811_high_000003,mc_v2_20260811_high/task_0000,3,high,Bastankhah_PorteAgel_2014,8014.15479967339,7459.252418840239,6.924,7438.35,7.185,14
mc_v2_20260811_high_000004,mc_v2_20260811_high/task_0000,4,high,Nygaard_TurboGaussian,7358.769271356332,6486.117732441869,11.859,6437.49,12.519,13
mc_v2_20260811_high_000004,mc_v2_20260811_high/task_0000,4,high,SuperGaussian,7527.7046979568295,6723.628283205507,10.682,6688.63,11.147,13
mc_v2_20260811_high_000004,mc_v2_20260811_high/task_0000,4,high,Bastankhah_PorteAgel_2014,7895.527606166231,7353.02366150331,6.871,7330.69,7.154,13
