trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000090,mc_20260807_0627_high/task_0018,90,high,2026-08-07T06:29:22.353,2026-08-07T06:29:44.775,2026-08-07T06:29:22.358,2026-08-07T06:29:29.214,2026-08-07T06:29:29.222,0.0,6.86,0.01,15.55,22.42,22,9,1228,23616.0,4764.5,20.17,1.0,,9.221,7,0.1753
mc_20260807_0627_high_000091,mc_20260807_0627_high/task_0018,91,high,2026-08-07T06:29:44.777,2026-08-07T06:30:12.391,2026-08-07T06:29:44.780,2026-08-07T06:29:52.033,2026-08-07T06:29:52.034,0.0,7.25,0.0,20.36,27.61,26,13,1489,23616.0,6079.0,25.74,1.0,,9.314,7,0.1597
mc_20260807_0627_high_000092,mc_20260807_0627_high/task_0018,92,high,2026-08-07T06:30:12.391,2026-08-07T06:30:38.372,2026-08-07T06:30:12.394,2026-08-07T06:30:18.418,2026-08-07T06:30:18.419,0.0,6.02,0.0,19.95,25.98,26,13,1489,23616.0,7353.5,31.14,1.0,,8.835,7,0.1345
mc_20260807_0627_high_000093,mc_20260807_0627_high/task_0018,93,high,2026-08-07T06:30:38.372,2026-08-07T06:31:06.424,2026-08-07T06:30:38.375,2026-08-07T06:30:45.749,2026-08-07T06:30:45.749,0.0,7.37,0.0,20.67,28.05,22,9,1537,23616.0,6019.5,25.49,1.0,,8.827,8,0.1619
mc_20260807_0627_high_000094,mc_20260807_0627_high/task_0018,94,high,2026-08-07T06:31:06.424,2026-08-07T06:31:32.742,2026-08-07T06:31:06.427,2026-08-07T06:31:12.579,2026-08-07T06:31:12.580,0.0,6.15,0.0,20.16,26.32,20,7,1542,23616.0,6695.0,28.35,1.0,,9.358,7,0.1689
