x_coordinate,y_coordinate,x0,y0,x1,y1
4355.746154192447,510.0486058308787,0,0,4472.0,4472.0
2398.8950428671174,3475.759327438327,0,0,4472.0,4472.0
450.2150270183827,1342.1325357227934,0,0,4472.0,4472.0
3726.6280114771826,1924.9793224513157,0,0,4472.0,4472.0
493.0597537121444,1882.288102002511,0,0,4472.0,4472.0
1969.7246274779986,3092.03319561321,0,0,4472.0,4472.0
376.9703904874831,2695.0834530797115,0,0,4472.0,4472.0
3364.9266974695856,2478.5089675440013,0,0,4472.0,4472.0
1462.6326434549128,4141.691550646565,0,0,4472.0,4472.0
322.861227709391,590.735085912524,0,0,4472.0,4472.0
2907.9387286695405,4448.4048665395985,0,0,4472.0,4472.0
473.0420692120406,4045.2606824059712,0,0,4472.0,4472.0
2312.6578932286425,846.8512388000544,0,0,4472.0,4472.0
2406.073031378511,2046.1597531754771,0,0,4472.0,4472.0
3764.4829873791855,359.5423068617894,0,0,4472.0,4472.0
4388.237149659538,1505.503031137584,0,0,4472.0,4472.0
2089.5455864154715,3957.0258781300727,0,0,4472.0,4472.0
2961.25515008719,2926.778129132515,0,0,4472.0,4472.0
4272.026608987367,3307.776253327172,0,0,4472.0,4472.0
1093.9344702978078,2414.3149468267493,0,0,4472.0,4472.0
1733.496480378361,1095.5195397867878,0,0,4472.0,4472.0
1314.2463751950522,574.7542391561038,0,0,4472.0,4472.0
4140.5323998838185,4448.080776637452,0,0,4472.0,4472.0
2929.719152758718,3438.77731364752,0,0,4472.0,4472.0
4356.336313145944,2620.4282200859525,0,0,4472.0,4472.0
2947.782162778348,783.0447604387145,0,0,4472.0,4472.0
7.172431560266163,1694.579907885588,0,0,4472.0,4472.0
984.9939424389703,1615.1195968373934,0,0,4472.0,4472.0
3665.453950892199,2802.2183224863343,0,0,4472.0,4472.0
4227.611814436467,1996.061221455141,0,0,4472.0,4472.0
3445.972140169066,1435.8108786723349,0,0,4472.0,4472.0
4152.361088320829,3871.18147086799,0,0,4472.0,4472.0
2393.3838369698888,1394.9510889759613,0,0,4472.0,4472.0
3542.0005362512907,3523.2765902920114,0,0,4472.0,4472.0
2899.621987971938,1508.2883598390142,0,0,4472.0,4472.0
39.66914586713317,3700.5076293630464,0,0,4472.0,4472.0
867.6107425573362,4340.8538040407175,0,0,4472.0,4472.0
2223.267808786532,103.34580069237232,0,0,4472.0,4472.0
1007.3071777132792,3564.447226905408,0,0,4472.0,4472.0
1608.6122086052321,2829.5474894033223,0,0,4472.0,4472.0
759.7785191400735,714.2311958759809,0,0,4472.0,4472.0
3002.967967771774,1949.1825833268022,0,0,4472.0,4472.0
1597.5101502647487,3410.4633723109646,0,0,4472.0,4472.0
3901.797505946114,1148.5170599525559,0,0,4472.0,4472.0
973.2069823029387,2858.9810420071312,0,0,4472.0,4472.0
2607.5037724504455,2581.022443079563,0,0,4472.0,4472.0
3625.215833370895,3992.734013196426,0,0,4472.0,4472.0
2647.583625783173,223.81672878353015,0,0,4472.0,4472.0
1805.3643682123434,586.910590518698,0,0,4472.0,4472.0
1816.8817306190022,2065.03733759927,0,0,4472.0,4472.0
