eval,time_s,iter,obj,aep,rms_viol,x,y,label
1,0.0,0,-481.7883972212651,481.7883972212651,5.38429972148999,1982.872;2549.332;1047.257;1838.979;3214.609;3226.655;452.107;746.074;185.282;1586.915;107.554;1644.600;2336.919;1002.554;2434.518;2127.106;86.335;2011.875;933.309;1494.364;1020.690;2495.297;1585.633;564.724;1960.736;2809.133;1102.909;799.048;1396.697;3370.981;3513.584;2420.581;3250.203;3044.703;1360.779;331.981;2352.279;2008.227;1301.633;810.196;1463.472;1688.185;969.248;1050.454;1647.671;3097.922;2110.510;1020.556;1000.719;1636.639;739.477;724.963;1850.526;314.026;1740.908;1303.834;2547.672;2688.286;2487.935;2481.049;1344.960;2405.285;1223.455;2062.058;1172.906;1602.522;221.504;873.632;3497.769;830.103;2489.319;2341.717;2606.181;1710.319;2147.990;241.090;261.224;716.314;546.700;360.376;465.458;1991.800;676.133;3427.564;2453.802;1947.671;2545.850;949.992;3336.212;3021.095;2614.750;1728.864;3031.571;2681.108;2377.173;3290.311;2281.196;1317.386;1990.240;706.970,691.460;2612.411;2825.772;3499.554;3063.497;1956.940;323.247;1759.944;3340.571;2835.426;1746.339;1639.006;784.749;637.968;265.045;3212.615;2304.636;515.996;1490.857;176.792;753.744;2630.549;2344.042;1724.322;989.210;2348.003;3443.218;1567.874;252.477;207.833;298.336;3454.946;1946.739;3014.865;612.121;937.242;2491.119;3224.053;1226.479;232.824;3110.831;1047.141;2667.897;568.921;2501.868;3029.111;2617.747;1292.787;2616.083;502.082;1129.749;1510.498;3157.963;553.465;3168.449;2876.272;3497.847;1323.731;737.783;866.053;2980.306;3474.821;2515.716;1736.989;1033.379;3001.276;3139.846;331.674;777.418;2994.340;3053.894;1132.751;1005.461;1550.934;1942.007;344.041;3012.884;1925.046;2789.884;831.011;3475.056;2703.698;1235.138;3414.700;2521.842;3026.020;163.790;200.310;2673.854;1096.871;1860.424;562.545;3520.629;1809.904;2984.404;266.536;1724.096;224.206;3183.269;1604.917,init
2000,3595.3180770874023,1999,-568.9869053445652,568.9869053445652,0.0030970714039986417,2335.762;3004.341;0.818;1940.642;3599.950;3599.430;0.187;1270.757;-0.095;1277.038;0.065;1634.490;2969.790;484.757;2562.941;2751.969;0.039;2239.076;939.318;1771.084;1210.201;2556.512;1459.657;0.086;2764.924;3600.016;668.259;569.572;1697.716;3600.084;3599.865;2662.052;3599.967;3599.982;1469.370;0.318;2798.709;1505.677;2055.478;265.046;1046.524;2200.728;0.394;1055.580;1354.590;3600.042;2132.697;1362.075;517.346;1636.077;0.034;5.249;1812.758;0.322;1648.782;763.600;3362.419;3136.857;2897.112;3600.017;1128.949;2274.824;895.448;2316.777;776.010;1220.472;-0.018;624.596;3590.631;598.170;2856.345;2601.787;3599.985;1522.054;1842.346;0.048;0.363;0.192;0.050;0.201;347.601;1998.708;603.569;3599.952;3089.260;2358.860;3206.423;705.449;3599.936;3599.953;3205.674;1557.535;3047.840;2978.746;2939.582;3412.946;2451.768;1196.808;2193.397;5.402,431.665;2738.991;2961.925;3599.948;3251.748;1838.087;538.682;1725.324;3599.895;2797.171;1334.211;1922.623;394.424;475.147;0.061;3388.721;2132.057;0.040;1516.629;-0.030;1155.622;2379.669;2273.280;1733.448;787.286;2116.790;3600.007;1936.582;164.450;0.087;211.042;3600.006;1627.680;2696.204;693.313;940.723;1957.298;3600.060;1075.406;0.116;3599.956;715.246;2776.957;296.189;2538.718;2998.998;2150.738;902.248;2477.966;340.114;1121.115;1536.658;2925.543;312.698;3309.037;2717.205;3584.463;1235.811;0.004;856.398;3379.224;3600.084;2145.564;1768.023;848.159;3044.450;3369.526;175.647;437.732;3137.218;3133.458;1141.655;1162.404;1356.042;1555.612;-0.003;3175.278;2357.316;2550.965;729.364;3600.103;2452.712;1272.630;3599.962;2530.913;2798.474;0.191;-0.084;2425.209;1384.200;2193.753;517.372;3600.017;1609.887;2939.013;695.673;1475.067;0.153;3169.786;1931.904,end
