eval,time_s,iter,obj,aep,x,y,rms_viol
1,3.954,0,86822.46,498.2397,37.3470;1806.7485;1784.7839;481.7863;511.5999;786.8112;1506.6294;893.1642;302.6147;1243.7951;600.3948;3162.8127;3423.4705;139.4942;2516.7866;2061.9353;3232.8256;2400.8363;1972.2160;2528.7387;1391.3178;2499.9792;2969.5337;1676.4065;3385.8879;2893.4632;3540.0933;610.6905;1875.9050;3403.8627;2338.3457;3098.9949;3495.0456;667.9501;875.2164;3144.2430;3262.5982;2729.8008;1248.8470;1668.7250;2197.9359;1786.6142;1720.7064;1567.9997;3133.4699;674.4911;2475.6267;2532.7050;3330.7203;142.0373;2329.6202;2296.9943;1662.1116;191.0139;138.8553;610.3131;2860.3724;585.3818;499.4593;1270.5010;1744.1944;2511.8510;2884.1632;960.3878;3274.1144;82.3210;1350.4419;718.6800;1234.0988;1598.8043;1793.3026;1491.6468;771.3215;779.9030;836.3057;2624.7082;1497.3072;2102.0334;1779.6118;1548.1685;2645.1569;2002.3794;1089.4703;3494.8735;809.4334;499.5690;2213.7569;1770.9442;659.3498;393.5179;1942.4719;1041.4774;370.9946;1766.1656;2275.5301;136.6892;1800.3885;300.7563;2848.7456;2728.9297,944.1836;363.0909;3301.8937;1862.8569;480.7428;405.1552;3029.9081;1965.8691;939.6597;2072.9719;1129.8694;2849.8435;1775.1266;3474.5695;1873.1230;3250.8777;899.2964;1877.3543;1820.6845;2927.0573;263.4992;3010.3452;2895.2483;1462.7566;131.2245;2762.1148;2444.1392;3308.1440;2016.6682;3483.7883;1110.1837;1220.0039;2631.1745;2524.9317;2611.2561;3218.1939;2579.9367;2455.7500;3035.2206;2322.4284;1089.7160;2983.6123;880.9904;2533.6105;1929.1977;1370.9143;643.0246;3188.9938;288.8406;2892.9191;2460.4933;1663.2376;2390.5775;1017.5985;3101.6692;642.5264;2086.9588;1669.0838;2423.5986;1714.0480;3429.0402;3071.7275;3234.6256;92.0488;563.1224;1716.8333;2644.9986;1282.7141;2032.0331;163.6902;2305.5887;2452.3430;1424.2949;492.0228;1499.2479;2658.4662;2103.5075;3180.3596;2083.4986;640.6937;2130.3061;193.9599;2676.2873;723.7356;3256.8312;1704.8444;1589.9515;489.8869;2907.7042;3301.3035;2500.5186;2403.1601;2543.8240;2681.3290;2572.5426;514.6651;2398.8886;3277.2866;116.7299;665.3317,4.1583
2,7.025,1,26377.99,506.7026,,,2.3073
3,10.014,2,5477.62,511.5697,,,1.0890
4,12.950,3,177.79,515.8973,,,0.3706
5,15.960,4,-248.92,519.7313,,,0.2316
6,18.921,5,-94.71,523.8803,,,0.2915
7,21.866,6,-132.55,527.2982,,,0.2796
8,24.808,7,-16.70,530.7272,,,0.3190
9,27.759,8,483.15,534.0602,,,0.4488
10,30.649,9,249.04,536.6827,,,0.3944
11,33.593,10,842.06,538.9055,,,0.5229
12,36.465,11,-97.51,541.1765,,,0.2964
13,39.374,12,649.12,543.3370,,,0.4859
14,42.267,13,949.64,544.9745,,,0.5440
15,45.157,14,1168.91,546.7223,,,0.5829
16,48.072,15,62.41,547.9838,,,0.3477
17,51.007,16,-391.14,549.4754,,,0.1771
18,53.910,17,1411.24,551.2504,,,0.6234
19,56.809,18,4961.03,552.4434,,,1.0449
20,59.706,19,7814.59,553.1948,,,1.2872
21,62.543,20,6952.03,553.5275,,,1.2191
22,65.445,21,2666.29,554.6512,,,0.7986
23,68.362,22,1044.22,555.7010,,,0.5629
24,71.230,23,1016.34,556.6244,,,0.5581
25,74.087,24,588.14,557.0149,,,0.4762
26,77.000,25,680.76,557.2291,,,0.4951
27,79.850,26,2825.86,558.2008,,,0.8186
28,82.754,27,1305.12,558.3281,,,0.6075
29,85.642,28,1320.55,559.2872,,,0.6101
30,88.513,29,754.43,560.0768,,,0.5102
31,91.395,30,1974.30,561.0386,,,0.7086
32,94.297,31,2346.08,560.8031,,,0.7587
33,97.158,32,4185.27,560.0230,,,0.9694
34,100.061,33,3370.38,559.8825,,,0.8822
35,102.932,34,4038.10,561.3451,,,0.9543
36,105.802,35,2530.30,562.2761,,,0.7826
37,108.675,36,-104.95,562.6793,,,0.3011
38,111.595,37,710.74,563.2070,,,0.5023
39,114.467,38,6139.49,563.2792,,,1.1521
40,117.365,39,775.01,564.0260,,,0.5149
41,120.223,40,498.23,564.2744,,,0.4587
42,123.116,41,815.97,564.5676,,,0.5229
43,125.996,42,1170.45,564.7239,,,0.5862
44,128.862,43,4643.09,562.8068,,,1.0153
45,131.788,44,3560.71,561.7604,,,0.9035
46,134.680,45,494.39,563.0036,,,0.4576
47,137.555,46,724.74,564.8367,,,0.5053
48,140.494,47,2306.20,565.8372,,,0.7541
49,143.383,48,2781.51,564.8730,,,0.8140
50,146.266,49,5073.58,563.0679,,,1.0565
51,149.157,50,8701.83,561.1601,,,1.3543
52,152.041,51,5378.35,560.1297,,,1.0844
53,154.920,52,874.73,561.8657,,,0.5334
54,157.851,53,135.63,563.9493,,,0.3722
55,160.731,54,1197.90,565.4807,,,0.5909
56,163.604,55,4815.73,565.8625,,,1.0323
57,166.476,56,7653.99,565.5929,,,1.2758
58,169.402,57,5057.89,565.3115,,,1.0552
59,172.285,58,1143.28,565.3446,,,0.5817
60,175.159,59,928.87,566.1536,,,0.5441
61,178.030,60,1646.87,566.8157,,,0.6621
62,180.972,61,3192.00,566.2871,,,0.8627
63,183.850,62,564.98,567.1355,,,0.4735
64,186.736,63,921.53,566.7168,,,0.5429
65,189.648,64,7285.68,566.4518,,,1.2469
66,192.512,65,757.98,567.1744,,,0.5123
67,195.387,66,751.48,567.2204,,,0.5110
68,198.255,67,7983.33,566.4446,,,1.3012
69,201.184,68,630.16,567.3219,,,0.4870
70,204.059,69,202.61,567.5447,,,0.3905
71,206.942,70,5393.25,566.8222,,,1.0864
72,209.820,71,236.10,567.4561,,,0.3989
73,212.737,72,1463.72,567.4559,,,0.6342
74,215.622,73,5266.75,566.2414,,,1.0747
75,218.527,74,692.29,567.5871,,,0.4995
76,221.425,75,413.36,568.0207,,,0.4408
77,224.313,76,3597.11,567.2417,,,0.9081
78,227.248,77,756.07,568.0241,,,0.5121
79,230.156,78,1616.65,567.3621,,,0.6576
80,233.043,79,322.07,567.9486,,,0.4198
81,235.937,80,2935.91,568.0730,,,0.8330
82,238.831,81,1040.75,568.1920,,,0.5644
83,241.752,82,2872.13,567.3923,,,0.8253
84,244.650,83,310.22,568.0038,,,0.4170
85,247.560,84,2051.54,568.1004,,,0.7202
86,250.453,85,928.71,568.1485,,,0.5444
87,253.371,86,2705.71,566.5924,,,0.8050
88,256.271,87,274.70,568.0316,,,0.4085
89,259.161,88,1498.60,568.1119,,,0.6397
90,262.078,89,1225.10,568.2544,,,0.5959
91,264.957,90,2727.49,566.4524,,,0.8076
92,267.832,91,328.00,568.0355,,,0.4212
93,270.748,92,1332.68,568.1320,,,0.6135
94,273.631,93,1282.09,568.2660,,,0.6053
95,276.513,94,2632.77,566.4168,,,0.7959
96,279.391,95,192.92,568.0102,,,0.3882
97,282.254,96,1454.01,568.1236,,,0.6328
98,285.135,97,984.99,568.3699,,,0.5546
99,288.061,98,2631.06,567.1668,,,0.7958
100,290.943,99,588.85,568.4444,,,0.4787
101,293.814,100,1573.52,568.0107,,,0.6512
102,296.692,101,1634.95,568.6424,,,0.6606
103,299.571,102,2663.77,567.0837,,,0.7999
104,302.463,103,932.48,568.4502,,,0.5452
105,305.365,104,2082.48,567.5391,,,0.7244
