eval,time_s,iter,obj,aep,x,y,rms_viol
1,4.209,0,108089.75,491.2660,274.7098;2807.7077;1578.2732;2604.4746;3520.7622;1938.5851;1804.0337;259.3841;966.3803;1799.5770;2445.2280;2893.4605;1371.3881;237.3708;1037.3242;3274.5367;768.1873;1627.6463;3352.3417;89.6372;2161.9761;3420.4662;829.0904;1974.5637;3272.8621;479.4100;1884.2853;2701.4755;2408.4477;1683.9103;737.4567;1766.7572;1340.5849;1718.6442;1317.2054;3016.5048;2767.1310;1130.3808;2061.4512;993.7766;1630.2346;1270.7221;2366.6381;1333.2639;1652.7347;2589.5668;1486.7706;3263.1238;649.6258;2668.0279;1520.5466;1535.2329;2283.7675;1882.4623;1493.5895;5.1368;332.1444;2553.8198;1887.6441;2506.1777;3439.6860;2458.4899;191.2633;1111.8697;2133.3409;846.4335;3473.8956;3402.1736;3054.2432;1700.3664;3029.3162;471.9983;1111.4412;1666.7870;2670.6499;1748.9708;492.7540;1236.7315;1167.9342;1081.5081;595.8050;1493.6464;1613.2344;2789.6414;2867.0065;1880.6045;1658.2691;2801.5690;3194.2402;2429.7076;2881.7246;3380.8009;146.3609;3152.4182;995.6271;1712.7522;2868.3394;2582.0720;529.7313;2371.4937,249.3075;1285.4543;2926.1864;1539.7374;2159.4760;2621.3806;2956.4194;2737.8544;25.7158;1512.9246;1667.2904;199.7982;1949.1917;2187.9747;2982.4315;3390.5134;461.3323;829.5504;2372.9702;476.9064;806.6831;2069.5053;610.2854;2816.0285;3085.1123;121.2271;1917.5213;2869.0249;3510.5029;987.3309;608.7638;3156.1233;3273.0569;711.1184;1589.5071;2589.2357;3043.2426;605.7911;2393.8883;2908.2077;1978.9708;592.9800;127.9037;1013.5217;2908.3350;161.1585;29.5794;1301.8199;229.0402;538.1507;83.4853;1888.9914;2508.1052;1537.3926;484.4537;1192.8860;2125.2451;3386.3810;3573.2078;869.7705;38.0877;2990.3052;3335.8066;1650.9725;2777.1924;3118.3165;2194.6133;3141.4579;86.0509;977.7428;997.9905;434.2767;3278.5684;109.5814;2421.2197;256.8229;1298.8098;1505.1584;653.0554;1875.6508;1925.9703;1141.3580;2653.5170;576.7287;693.0296;1276.2397;1362.1541;742.6291;3307.3531;2981.1368;384.7563;1330.1493;837.6159;1623.8830;994.7419;1806.5048;3321.3714;1377.0401;2340.4620;2144.2360,4.6369
2,7.510,1,32048.61,505.4465,,,2.5390
3,10.780,2,6222.46,512.6808,,,1.1549
4,13.960,3,5.62,517.5487,,,0.3219
5,17.180,4,1.21,521.8909,,,0.3218
6,20.370,5,-524.78,525.5284,,,0.0121
7,23.586,6,-28.50,529.0900,,,0.3148
8,26.765,7,625.47,532.2519,,,0.4788
9,29.954,8,-78.37,534.8840,,,0.3007
10,33.140,9,939.41,537.2793,,,0.5408
