eval,time_s,iter,obj,aep,x,y,rms_viol
1,5.337,0,127794.52,496.2299,1501.2792;2593.1682;0.4117;1088.3973;528.3212;332.4189;670.5368;1244.0186;1428.3629;1939.7402;1509.1003;2466.7902;736.0281;3161.2228;98.5953;2413.6830;1502.2973;2011.2834;505.3930;713.1654;2882.6804;3485.7417;1128.3270;2492.3614;3155.0009;3220.5840;306.1592;140.5972;611.3895;3161.3130;354.0486;1515.9875;3448.4023;1919.3950;2490.7576;1135.8563;2471.4033;3004.6524;65.8378;2700.5195;3559.8999;2693.3964;1009.5984;2841.4056;371.6136;1612.4167;3270.9438;1057.0109;1035.9912;468.1029;69.7210;2443.8079;761.8612;955.9680;1769.6634;192.1052;2066.8234;528.2229;2121.4999;2519.1301;368.4039;1490.6016;2499.8406;1491.0454;179.8325;1929.2271;2389.6607;1853.6008;3400.5411;2111.5981;3252.2469;494.9089;501.3949;2906.6086;1431.6366;595.2751;3339.0309;1251.9571;2702.9236;2613.5927;3179.9019;2245.2199;2703.3928;1256.0340;971.7404;3225.1904;1541.1283;3473.4242;2388.3894;2238.1046;413.0855;3418.1613;1619.6837;2082.2026;1469.2925;853.2971;3252.1663;2065.2462;10.3332;2221.7217,1175.9216;1897.4092;3189.3916;1286.1711;3270.7265;2244.0964;56.9565;3345.9740;2487.2289;3590.3623;620.4258;493.6887;3357.3437;2508.5454;237.6006;2719.6670;2713.9543;3322.8883;2561.4891;447.3755;71.5685;94.3596;101.9034;886.3598;3096.1006;1939.7918;1990.1591;3031.3112;447.0239;1005.0612;2108.7334;3490.5447;2019.7088;67.1302;2882.2776;838.7074;2905.5787;1396.2983;3108.7507;2689.6379;2002.4648;491.2388;215.7037;436.8364;160.3868;386.9789;812.5536;2566.7603;2014.9811;45.2015;259.1074;3482.1948;2045.1617;731.8556;908.3727;2677.7731;703.5461;2092.8921;3492.0720;3048.5837;863.4519;1777.5710;2231.8406;2984.3312;564.4490;66.8743;252.0797;1750.8424;2182.7861;2047.8652;1142.5047;3559.0182;2087.0828;1368.5082;1983.4136;2683.2040;2409.2384;953.7104;238.8054;1332.3031;2266.9830;756.6264;2709.9200;239.5313;937.1344;2897.1164;696.3634;2302.0592;1888.8131;3329.3087;947.8684;237.4599;2646.2375;2779.8409;3268.1371;3355.0994;50.2257;843.7035;2220.4021;3416.4588,5.0402
2,9.468,1,49102.56,514.7053,,,3.1345
3,13.592,2,13744.76,522.6789,,,1.6808
4,17.415,3,1047.84,527.5180,,,0.5585
5,21.432,4,48.51,531.3065,,,0.3388
6,25.314,5,-271.60,534.7251,,,0.2283
7,29.102,6,345.39,538.2526,,,0.4183
8,32.992,7,1764.93,541.3018,,,0.6758
9,36.815,8,1917.98,542.9550,,,0.6981
10,40.656,9,1680.63,544.8681,,,0.6638
11,44.409,10,1160.84,546.2589,,,0.5814
12,47.784,11,-271.81,546.8726,,,0.2334
13,51.173,12,-102.52,549.0357,,,0.2974
14,54.873,13,501.07,551.0027,,,0.4564
15,58.791,14,3157.61,552.1584,,,0.8571
16,62.729,15,851.60,553.5398,,,0.5275
17,66.591,16,321.02,553.8848,,,0.4162
18,70.399,17,863.94,554.1436,,,0.5299
19,74.272,18,940.66,554.2508,,,0.5441
20,78.138,19,1588.43,555.1466,,,0.6515
21,82.022,20,2052.95,555.5231,,,0.7187
22,85.775,21,535.86,556.2137,,,0.4650
23,89.531,22,-201.96,557.3402,,,0.2653
24,93.312,23,579.94,558.2597,,,0.4747
25,97.232,24,3451.93,558.6191,,,0.8912
26,101.292,25,6849.01,558.1337,,,1.2111
27,105.248,26,8134.77,557.4169,,,1.3120
28,109.013,27,2654.40,557.5651,,,0.7975
29,112.834,28,-68.32,559.0481,,,0.3117
30,116.614,29,415.69,560.5263,,,0.4397
31,120.471,30,2564.82,561.2423,,,0.7868
32,124.308,31,3739.56,560.7838,,,0.9228
33,128.192,32,3947.23,559.4831,,,0.9447
34,131.927,33,2120.89,558.8248,,,0.7284
35,135.764,34,-122.54,559.5058,,,0.2942
36,139.625,35,-199.13,560.8420,,,0.2676
37,143.532,36,1696.75,562.0462,,,0.6688
38,147.358,37,321.55,562.5588,,,0.4184
39,151.064,38,1655.75,562.9002,,,0.6628
40,155.084,39,591.65,561.7849,,,0.4779
41,158.945,40,671.39,561.8891,,,0.4942
42,162.896,41,3369.18,561.5075,,,0.8822
43,166.838,42,2036.18,560.0235,,,0.7170
44,170.648,43,-271.59,560.4753,,,0.2392
45,174.636,44,-137.05,561.9682,,,0.2901
46,178.680,45,560.59,563.2687,,,0.4717
47,182.527,46,1376.85,563.1620,,,0.6198
48,186.459,47,4364.02,562.3810,,,0.9877
49,190.337,48,7384.10,561.4041,,,1.2543
50,194.356,49,5183.41,560.7856,,,1.0665
51,198.342,50,932.92,561.8950,,,0.5441
52,202.211,51,-279.36,562.9818,,,0.2370
53,206.151,52,-74.87,564.3197,,,0.3113
54,210.034,53,1033.72,565.2101,,,0.5627
55,213.962,54,7569.73,564.6733,,,1.2692
56,217.749,55,1244.00,565.3040,,,0.5986
57,221.520,56,-330.38,565.7329,,,0.2159
58,225.107,57,1343.37,565.3587,,,0.6148
59,228.607,58,3482.18,564.0343,,,0.8951
60,232.505,59,2969.01,563.3223,,,0.8363
61,236.492,60,252.97,564.0790,,,0.4022
62,240.409,61,362.15,565.2328,,,0.4285
63,244.319,62,1056.70,565.2208,,,0.5667
64,248.053,63,2363.77,564.4335,,,0.7615
65,251.604,64,1877.58,562.4371,,,0.6951
66,255.083,65,4372.45,560.7921,,,0.9884
67,258.878,66,4317.54,559.5344,,,0.9827
68,262.940,67,2593.62,559.8040,,,0.7902
69,266.919,68,22.88,561.2703,,,0.3401
70,270.658,69,-500.27,562.6758,,,0.1112
71,274.507,70,454.45,564.1969,,,0.4491
72,278.292,71,952.69,564.9028,,,0.5482
73,282.119,72,3045.46,565.0520,,,0.8455
74,285.994,73,-102.70,565.8080,,,0.3028
75,289.978,74,-152.03,566.4112,,,0.2865
76,293.456,75,1643.35,566.8070,,,0.6616
77,296.982,76,740.09,566.7888,,,0.5087
78,300.771,77,1142.95,565.7083,,,0.5817
79,304.727,78,2631.29,564.5446,,,0.7955
80,308.722,79,871.85,563.6054,,,0.5331
81,312.717,80,-246.04,564.1694,,,0.2510
82,316.798,81,-194.89,565.3874,,,0.2709
83,320.705,82,191.58,565.8355,,,0.3873
84,324.629,83,2775.50,565.4471,,,0.8134
85,328.549,84,257.58,566.7961,,,0.4040
86,332.510,85,292.43,567.2537,,,0.4126
87,336.488,86,2169.88,566.7039,,,0.7361
88,340.403,87,-114.86,567.1555,,,0.2993
89,344.190,88,559.20,566.9571,,,0.4722
90,348.261,89,2408.74,565.6607,,,0.7675
91,352.176,90,861.10,566.9823,,,0.5318
92,355.821,91,-6.34,566.9712,,,0.3332
93,359.273,92,2181.04,566.9218,,,0.7377
94,362.842,93,-218.07,567.0958,,,0.2629
95,366.520,94,392.03,567.2815,,,0.4358
96,370.474,95,865.10,567.5379,,,0.5326
97,374.468,96,4304.58,565.8362,,,0.9821
98,378.366,97,-115.33,567.1120,,,0.2991
99,382.174,98,3.33,567.3681,,,0.3362
100,386.008,99,3111.61,566.3667,,,0.8534
101,389.897,100,64.78,567.2948,,,0.3538
102,393.556,101,775.49,567.2206,,,0.5156
103,397.561,102,3749.79,565.6404,,,0.9244
104,401.412,103,1001.81,566.9150,,,0.5573
105,405.269,104,-255.11,567.2278,,,0.2486
106,409.207,105,902.32,566.7724,,,0.5394
107,413.110,106,-58.38,567.4467,,,0.3175
108,416.961,107,1639.89,567.3641,,,0.6611
109,420.827,108,-10.94,567.3167,,,0.3319
110,424.682,109,1419.91,566.8139,,,0.6272
111,428.590,110,-395.08,567.2313,,,0.1846
112,432.522,111,1105.05,567.5342,,,0.5755
113,436.252,112,414.11,567.5686,,,0.4409
114,440.271,113,2257.65,566.4989,,,0.7478
115,444.230,114,-217.76,567.3885,,,0.2631
116,448.269,115,536.20,567.3545,,,0.4675
117,452.108,116,3917.10,566.1637,,,0.9422
118,456.046,117,-37.33,567.3415,,,0.3240
119,460.040,118,14.98,567.5146,,,0.3396
120,463.929,119,3387.94,566.3338,,,0.8849
121,467.786,120,146.37,567.6136,,,0.3760
122,471.722,121,1071.91,567.9120,,,0.5698
123,475.678,122,3362.77,566.8642,,,0.8821
124,479.490,123,3360.03,565.3690,,,0.8817
125,483.308,124,854.77,564.8217,,,0.5302
126,487.192,125,-214.08,565.8407,,,0.2639
127,491.160,126,-262.97,566.6462,,,0.2452
128,494.910,127,1292.02,566.7604,,,0.6067
129,498.766,128,4102.98,565.4328,,,0.9615
130,502.662,129,5242.36,564.0705,,,1.0723
131,506.719,130,7698.02,562.5187,,,1.2790
132,510.767,131,5784.31,561.5484,,,1.1210
133,514.654,132,945.17,562.6137,,,0.5464
134,518.424,133,-294.31,564.0117,,,0.2311
135,522.497,134,-99.69,565.6101,,,0.3037
136,526.454,135,1742.67,566.8328,,,0.6763
137,530.305,136,14.38,567.2612,,,0.3394
138,533.760,137,-117.48,567.1692,,,0.2984
139,537.169,138,245.94,566.6837,,,0.4011
140,540.790,139,1288.73,566.2752,,,0.6061
141,544.760,140,-143.85,566.6800,,,0.2894
142,548.717,141,398.02,566.1110,,,0.4369
143,552.715,142,642.29,566.4930,,,0.4892
144,556.698,143,883.09,566.7007,,,0.5358
145,560.673,144,406.74,565.9843,,,0.4389
146,564.244,145,545.87,565.5282,,,0.4691
147,567.762,146,251.22,565.2007,,,0.4021
148,571.721,147,-534.54,565.7880,,,0.0787
149,575.642,148,105.04,566.7744,,,0.3647
150,579.545,149,1774.13,566.9330,,,0.6809
151,583.277,150,-262.48,567.6928,,,0.2458
152,587.153,151,-42.77,567.9137,,,0.3225
153,590.987,152,2436.03,567.2071,,,0.7712
154,594.880,153,242.61,567.9861,,,0.4006
155,598.882,154,92.82,567.8561,,,0.3617
156,602.762,155,1765.63,567.2197,,,0.6797
