eval,time_s,iter,obj,aep,x,y,rms_viol
1,4.373,0,166028.03,480.5382,1569.5816;93.3344;1978.7849;1567.1606;1513.3241;1189.2054;736.7351;2229.3755;1078.7568;960.5782;2236.0818;1904.9115;484.4878;1848.8812;663.9835;2827.2065;3074.3111;1779.2526;3047.6213;286.7237;1818.8859;235.0314;1541.2404;347.5113;457.7759;2148.2831;813.6432;385.0045;793.1023;1259.3746;1684.0349;726.2756;2305.4642;1739.0514;1818.8522;1392.8135;2857.0948;2088.0150;584.2750;2522.7084;3472.3839;1800.0301;3202.2722;1229.8092;2041.7189;1539.1655;1572.2901;2795.6131;1928.1750;3433.4720;1959.1494;295.5417;1318.8326;3063.0618;1462.5902;97.9285;889.8381;241.7197;3577.8672;3494.0891;2880.9301;2166.5416;2753.8555;609.2116;1054.8836;1886.6408;1283.8474;164.4443;3539.3524;1588.8777;1814.4016;1164.7487;935.0811;1392.8036;2995.2608;2652.2894;1365.1580;46.8624;2870.6578;969.7997;2097.6656;91.9834;2383.9273;1395.0843;1789.4657;1493.6610;1263.1388;1983.5205;3502.4785;405.9944;1127.7307;150.4718;2658.2391;2367.0446;772.6887;1500.3124;2317.8310;2381.3328;613.7177;3173.9480,2800.8294;482.2351;3128.0999;2695.6004;2874.9084;1956.0428;795.0165;3306.4511;2131.5045;1246.4565;949.6027;3290.0957;1511.0477;1944.6895;2190.3918;2974.4994;2244.8275;636.1638;2128.5265;1761.3582;1972.4680;2518.2742;884.9202;671.8577;398.0993;986.6133;36.9001;2265.6950;1062.6203;674.2316;343.0370;1021.5209;773.7278;1028.1734;1697.0755;1978.1886;3042.4072;3558.6349;175.9251;835.6257;2315.9211;581.2796;3132.5252;782.6487;2670.3181;2350.8738;2875.9878;112.4912;826.4665;2536.6590;315.2250;110.1221;1285.6858;2123.2152;188.0018;236.3892;156.6043;1422.5427;2406.3374;712.8976;3154.5592;1556.6007;2230.7093;1045.5363;2214.9165;3433.1759;1612.8530;745.3794;1531.3223;1600.4674;1827.4230;1892.6397;152.7451;591.9087;1620.8178;2548.6962;2799.3165;2797.5708;1810.0035;3444.2913;1194.7454;1733.2494;2694.1464;3088.2223;1492.0562;3055.2643;1600.4554;2576.6895;30.4141;90.7251;3385.6218;367.6966;2383.0840;1019.7315;723.0324;1398.0031;3333.2457;2052.9872;3300.1726;2528.1513,5.7421
2,7.807,1,58738.29,495.0292,,,3.4248
3,11.187,2,14504.71,501.9479,,,1.7238
4,14.498,3,1321.53,507.1090,,,0.6018
5,17.855,4,223.94,511.2058,,,0.3815
6,21.210,5,148.10,515.2329,,,0.3624
7,24.561,6,-314.47,518.9294,,,0.2012
8,27.865,7,1044.35,522.2350,,,0.5570
9,31.199,8,1520.15,524.8567,,,0.6364
10,34.531,9,35.58,527.1459,,,0.3338
11,37.826,10,-131.69,529.4023,,,0.2806
12,41.115,11,397.18,531.9169,,,0.4289
13,44.373,12,3450.54,534.0126,,,0.8883
14,47.617,13,3394.74,535.0314,,,0.8821
15,50.884,14,1625.04,536.5726,,,0.6542
16,54.144,15,-266.76,538.2988,,,0.2319
17,57.408,16,1078.09,540.0173,,,0.5661
18,60.692,17,3855.12,541.2240,,,0.9330
19,63.940,18,3673.70,541.6601,,,0.9136
20,67.189,19,2626.70,542.2831,,,0.7922
21,70.487,20,2133.56,543.0783,,,0.7280
22,73.838,21,-278.09,544.4516,,,0.2297
23,77.169,22,-83.38,546.0771,,,0.3027
24,80.468,23,911.34,547.6382,,,0.5375
25,83.795,24,2736.30,548.4859,,,0.8065
26,87.136,25,6201.68,548.6520,,,1.1562
27,90.447,26,6599.66,548.3719,,,1.1897
28,93.781,27,2300.11,549.2939,,,0.7512
29,97.084,28,276.08,550.5971,,,0.4046
30,100.392,29,6.64,552.0068,,,0.3326
31,103.716,30,567.77,553.1437,,,0.4711
32,107.010,31,2695.65,553.7248,,,0.8021
33,110.301,32,2638.49,553.1078,,,0.7950
34,113.584,33,1479.97,553.0235,,,0.6345
35,116.891,34,489.30,554.3380,,,0.4546
36,120.199,35,17.43,555.5334,,,0.3368
37,123.508,36,1029.38,556.4982,,,0.5604
38,126.837,37,6136.65,556.6721,,,1.1513
39,130.112,38,83.78,557.5048,,,0.3564
40,133.388,39,167.89,558.3899,,,0.3792
41,136.664,40,2410.56,558.9348,,,0.7668
42,139.978,41,-27.43,559.3277,,,0.3245
43,143.266,42,279.31,559.1795,,,0.4075
44,146.520,43,2632.37,558.3702,,,0.7949
45,149.840,44,4614.37,557.5809,,,1.0120
46,153.121,45,2614.89,557.5774,,,0.7926
47,156.409,46,375.29,558.4493,,,0.4300
48,159.696,47,640.51,559.6812,,,0.4875
49,162.980,48,-108.34,560.4852,,,0.2992
50,166.262,49,58.71,561.1844,,,0.3504
51,169.598,50,1685.18,561.8511,,,0.6671
52,172.875,51,6091.24,561.4624,,,1.1478
53,176.147,52,780.61,562.9039,,,0.5158
54,179.489,53,20.18,563.1968,,,0.3399
55,182.791,54,851.36,563.2922,,,0.5293
56,186.093,55,1088.90,562.7941,,,0.5719
57,189.414,56,3949.34,562.5541,,,0.9452
58,192.724,57,3931.08,561.7396,,,0.9432
59,196.022,58,3203.45,561.7507,,,0.8635
60,199.325,59,451.10,563.1592,,,0.4482
