eval,time_s,iter,obj,aep,x,y,rms_viol
1,4.380,0,145921.16,481.7884,1982.8724;2549.3322;1047.2571;1838.9794;3214.6090;3226.6551;452.1071;746.0744;185.2819;1586.9154;107.5544;1644.5996;2336.9186;1002.5542;2434.5176;2127.1061;86.3348;2011.8747;933.3088;1494.3643;1020.6903;2495.2965;1585.6334;564.7239;1960.7365;2809.1332;1102.9087;799.0484;1396.6965;3370.9811;3513.5835;2420.5812;3250.2028;3044.7031;1360.7785;331.9812;2352.2792;2008.2267;1301.6331;810.1962;1463.4717;1688.1849;969.2481;1050.4540;1647.6710;3097.9221;2110.5105;1020.5563;1000.7190;1636.6395;739.4772;724.9634;1850.5262;314.0257;1740.9079;1303.8344;2547.6718;2688.2864;2487.9345;2481.0495;1344.9604;2405.2853;1223.4552;2062.0579;1172.9058;1602.5222;221.5042;873.6315;3497.7694;830.1031;2489.3190;2341.7167;2606.1809;1710.3190;2147.9896;241.0899;261.2237;716.3137;546.6996;360.3756;465.4579;1991.7998;676.1334;3427.5645;2453.8024;1947.6708;2545.8502;949.9920;3336.2125;3021.0950;2614.7502;1728.8638;3031.5715;2681.1084;2377.1733;3290.3110;2281.1960;1317.3861;1990.2405;706.9701,691.4603;2612.4106;2825.7721;3499.5541;3063.4971;1956.9396;323.2471;1759.9437;3340.5709;2835.4255;1746.3392;1639.0057;784.7488;637.9682;265.0452;3212.6155;2304.6358;515.9963;1490.8569;176.7921;753.7441;2630.5492;2344.0420;1724.3219;989.2098;2348.0033;3443.2182;1567.8740;252.4770;207.8334;298.3357;3454.9459;1946.7390;3014.8648;612.1208;937.2423;2491.1190;3224.0532;1226.4785;232.8235;3110.8308;1047.1408;2667.8967;568.9212;2501.8684;3029.1106;2617.7475;1292.7871;2616.0831;502.0816;1129.7488;1510.4979;3157.9633;553.4648;3168.4492;2876.2715;3497.8475;1323.7307;737.7832;866.0532;2980.3061;3474.8213;2515.7160;1736.9894;1033.3792;3001.2764;3139.8462;331.6737;777.4181;2994.3399;3053.8940;1132.7508;1005.4605;1550.9341;1942.0074;344.0405;3012.8837;1925.0455;2789.8841;831.0106;3475.0561;2703.6983;1235.1379;3414.6995;2521.8424;3026.0199;163.7903;200.3095;2673.8542;1096.8712;1860.4237;562.5447;3520.6287;1809.9038;2984.4039;266.5361;1724.0956;224.2061;3183.2692;1604.9166,5.3843
2,7.817,1,47183.36,497.8816,,,3.0728
3,11.244,2,12822.40,505.2486,,,1.6245
4,14.545,3,1736.59,510.3876,,,0.6670
5,17.872,4,-385.45,515.0926,,,0.1602
6,21.243,5,-220.42,519.5137,,,0.2434
7,24.594,6,211.71,523.9686,,,0.3817
8,27.874,7,-217.58,527.5277,,,0.2477
9,31.214,8,170.66,530.3270,,,0.3726
10,34.522,9,177.83,532.7979,,,0.3751
11,37.805,10,242.16,535.9448,,,0.3925
12,41.087,11,457.07,538.6309,,,0.4440
13,44.370,12,266.10,540.8762,,,0.3997
14,47.658,13,1.68,542.6551,,,0.3283
15,50.938,14,-340.53,544.3094,,,0.2009
16,54.164,15,422.05,546.2132,,,0.4379
17,57.454,16,1833.43,547.6384,,,0.6867
18,60.726,17,4158.50,548.8150,,,0.9655
19,63.970,18,3183.73,549.3791,,,0.8598
20,67.201,19,76.85,550.0508,,,0.3523
21,70.528,20,-232.96,551.5196,,,0.2512
22,73.887,21,761.64,552.7432,,,0.5102
23,77.242,22,2845.63,553.0786,,,0.8204
24,80.541,23,5020.89,552.5593,,,1.0505
25,83.873,24,2992.79,552.4015,,,0.8379
26,87.229,25,136.44,553.6361,,,0.3697
27,90.535,26,8.30,555.2533,,,0.3341
28,93.834,27,748.25,556.3393,,,0.5083
29,97.147,28,4226.31,556.5735,,,0.9732
30,100.456,29,5342.10,555.9569,,,1.0807
31,103.794,30,2662.23,554.9471,,,0.7982
32,107.092,31,-70.84,556.1041,,,0.3100
33,110.407,32,-222.00,557.3238,,,0.2577
34,113.716,33,674.26,558.7920,,,0.4941
35,117.034,34,1309.17,558.9381,,,0.6082
36,120.307,35,1203.32,557.9425,,,0.5906
37,123.603,36,4129.66,557.6621,,,0.9634
38,126.909,37,5084.75,556.8006,,,1.0569
39,130.187,38,1894.45,556.8103,,,0.6967
40,133.494,39,-81.19,558.5299,,,0.3074
41,136.776,40,161.33,560.1637,,,0.3780
42,140.050,41,2092.41,561.0473,,,0.7249
43,143.342,42,5777.20,560.5044,,,1.1203
44,146.642,43,7502.40,559.0105,,,1.2635
45,149.973,44,3901.38,557.9758,,,0.9397
46,153.241,45,83.62,559.3801,,,0.3568
47,156.534,46,-357.60,560.8824,,,0.2006
48,159.799,47,1626.16,562.2342,,,0.6583
49,163.083,48,5734.80,562.1489,,,1.1167
50,166.368,49,7105.10,560.9002,,,1.2321
51,169.696,50,4596.66,560.0551,,,1.0105
52,172.978,51,1481.84,561.1428,,,0.6360
53,176.260,52,331.35,562.4476,,,0.4207
54,179.610,53,747.25,563.1666,,,0.5094
55,182.905,54,-248.24,562.4659,,,0.2494
56,186.198,55,156.19,562.3261,,,0.3772
57,189.515,56,482.50,562.3539,,,0.4549
58,192.780,57,1869.68,562.4956,,,0.6940
59,196.091,58,2752.34,561.4128,,,0.8101
60,199.384,59,2501.79,560.8132,,,0.7788
61,202.724,60,1435.16,560.3543,,,0.6286
62,206.025,61,-350.35,561.1215,,,0.2043
63,209.351,62,41.87,563.0896,,,0.3461
64,212.665,63,15.38,564.0398,,,0.3387
65,215.986,64,996.94,564.1965,,,0.5560
66,219.298,65,4745.54,564.3030,,,1.0254
67,222.583,66,7764.22,563.5338,,,1.2842
68,225.888,67,7272.35,562.2752,,,1.2456
69,229.165,68,3714.64,562.0750,,,0.9203
70,232.449,69,509.25,562.7459,,,0.4607
71,235.746,70,-12.52,563.9053,,,0.3304
72,239.043,71,1980.98,564.8635,,,0.7100
73,242.369,72,6941.61,564.8996,,,1.2192
74,245.657,73,7939.84,563.6047,,,1.2976
75,248.965,74,2765.25,562.5111,,,0.8118
76,252.282,75,-149.10,563.5724,,,0.2865
77,255.571,76,73.20,564.5372,,,0.3554
78,258.877,77,656.99,564.8763,,,0.4919
79,262.149,78,2104.58,564.3062,,,0.7270
80,265.481,79,5995.59,562.9530,,,1.1396
81,268.775,80,576.26,564.1675,,,0.4752
82,272.065,81,-97.77,565.1920,,,0.3042
83,275.349,82,606.86,565.9922,,,0.4819
84,278.632,83,1241.05,565.5645,,,0.5981
85,281.951,84,2844.55,564.8490,,,0.8217
86,285.234,85,154.44,565.5203,,,0.3776
87,288.553,86,72.55,566.3694,,,0.3557
88,291.855,87,1633.72,566.4361,,,0.6601
89,295.149,88,-49.33,566.7940,,,0.3201
90,298.444,89,869.77,566.9099,,,0.5334
91,301.756,90,2772.11,565.3505,,,0.8129
92,305.036,91,1683.11,563.2903,,,0.6670
93,308.356,92,168.81,563.5071,,,0.3808
94,311.659,93,-128.84,564.9538,,,0.2939
95,314.939,94,499.17,566.0581,,,0.4593
96,318.241,95,2432.60,565.9842,,,0.7706
97,321.535,96,4492.01,564.4681,,,1.0006
98,324.847,97,6483.60,563.7269,,,1.1813
99,328.110,98,5561.64,563.6296,,,1.1013
100,331.380,99,227.97,564.0247,,,0.3960
101,334.670,100,-542.83,564.8661,,,0.0661
102,337.975,101,327.31,565.9486,,,0.4206
103,341.241,102,5455.35,566.4300,,,1.0920
104,344.557,103,26.77,566.6280,,,0.3428
105,347.835,104,-340.25,566.8935,,,0.2118
106,351.115,105,1137.54,566.6721,,,0.5809
107,354.391,106,190.06,567.0860,,,0.3872
108,357.661,107,1259.02,566.7035,,,0.6013
109,360.950,108,-85.43,567.2258,,,0.3089
110,364.232,109,447.43,566.7789,,,0.4481
111,367.567,110,2310.76,564.8337,,,0.7546
112,370.820,111,-157.40,566.5069,,,0.2846
113,374.113,112,263.24,567.0931,,,0.4055
114,377.385,113,3783.12,566.6306,,,0.9281
115,380.673,114,200.55,567.2205,,,0.3899
116,383.953,115,5.43,566.8944,,,0.3366
117,387.227,116,1364.89,565.3571,,,0.6182
118,390.506,117,6182.03,563.1734,,,1.1557
119,393.760,118,7878.51,560.9079,,,1.2927
120,397.020,119,2639.27,560.8737,,,0.7960
121,400.287,120,-144.79,562.7527,,,0.2877
122,403.568,121,-328.86,564.3998,,,0.2160
123,406.850,122,5.89,565.6393,,,0.3364
124,410.175,123,751.41,566.0366,,,0.5108
125,413.454,124,2810.70,565.8135,,,0.8177
126,416.724,125,5946.40,563.8095,,,1.1354
127,419.994,126,1605.47,565.2237,,,0.6556
128,423.303,127,89.80,566.2573,,,0.3604
129,426.579,128,215.54,566.9039,,,0.3936
130,429.902,129,327.29,566.7174,,,0.4208
131,433.200,130,1000.00,565.9504,,,0.5569
132,436.486,131,3877.45,564.3413,,,0.9379
133,439.766,132,2970.63,562.5792,,,0.8364
134,443.041,133,-163.10,562.6101,,,0.2813
135,446.330,134,-387.95,564.1748,,,0.1868
136,449.604,135,113.01,565.8086,,,0.3666
137,452.908,136,801.54,566.7448,,,0.5205
138,456.170,137,2129.83,566.5666,,,0.7307
139,459.442,138,3792.57,565.5049,,,0.9290
140,462.716,139,98.27,566.2841,,,0.3628
141,466.004,140,132.94,567.2224,,,0.3724
142,469.280,141,628.81,567.6054,,,0.4867
143,472.623,142,1585.54,566.5452,,,0.6528
144,475.907,143,-288.78,567.2581,,,0.2348
145,479.179,144,191.35,567.7097,,,0.3877
146,482.463,145,1828.09,567.2457,,,0.6887
147,485.760,146,143.63,567.8378,,,0.3753
148,489.035,147,147.40,567.5179,,,0.3763
149,492.325,148,1087.62,566.3107,,,0.5723
150,495.642,149,809.23,564.3346,,,0.5215
151,498.917,150,537.62,564.6733,,,0.4672
152,502.196,151,52.33,564.2545,,,0.3494
153,505.465,152,70.53,564.6913,,,0.3547
154,508.756,153,-396.34,565.4534,,,0.1830
155,512.025,154,-21.08,566.1793,,,0.3285
156,515.324,155,1716.07,565.9334,,,0.6722
157,518.584,156,4734.90,565.1650,,,1.0245
158,521.854,157,7006.04,564.0969,,,1.2244
159,525.129,158,6148.75,563.5184,,,1.1529
160,528.431,159,1503.52,564.5157,,,0.6399
161,531.691,160,-179.20,565.6122,,,0.2766
162,535.000,161,-249.03,566.4407,,,0.2507
163,538.293,162,1556.89,566.8993,,,0.6485
164,541.548,163,386.12,567.2453,,,0.4345
165,544.822,164,459.89,566.8784,,,0.4509
166,548.090,165,1220.57,566.3666,,,0.5949
167,551.408,166,10.52,565.9631,,,0.3379
168,554.668,167,-194.79,566.4819,,,0.2713
169,557.984,168,-161.13,566.8087,,,0.2834
170,561.246,169,772.23,567.2113,,,0.5150
171,564.503,170,3394.29,567.0823,,,0.8857
172,567.785,171,6629.06,565.8053,,,1.1936
173,571.100,172,6530.70,564.1568,,,1.1853
174,574.375,173,1294.79,563.9926,,,0.6067
175,577.661,174,-361.00,565.3837,,,0.2012
176,580.922,175,-397.48,566.5273,,,0.1830
177,584.170,176,657.73,567.5222,,,0.4926
178,587.445,177,4269.78,567.4830,,,0.9787
179,590.721,178,237.57,567.9889,,,0.3994
180,593.989,179,-170.11,567.8499,,,0.2806
181,597.259,180,173.26,567.8277,,,0.3831
182,600.587,181,27.35,567.3609,,,0.3432
183,603.844,182,169.30,567.4301,,,0.3820
184,607.098,183,650.64,567.3758,,,0.4911
185,610.360,184,2032.97,566.7992,,,0.7175
186,613.658,185,689.43,566.3354,,,0.4987
187,616.923,186,-252.79,567.1159,,,0.2495
188,620.205,187,-245.75,567.7789,,,0.2525
189,623.513,188,405.68,568.2381,,,0.4392
190,626.782,189,2964.31,567.7002,,,0.8363
191,630.045,190,-94.98,568.3975,,,0.3062
192,633.299,191,-187.12,568.6113,,,0.2749
193,636.581,192,925.41,568.2901,,,0.5439
194,639.848,193,-444.05,568.7013,,,0.1571
195,643.134,194,578.80,568.8879,,,0.4767
196,646.382,195,97.00,569.1462,,,0.3632
197,649.641,196,5076.76,567.3520,,,1.0572
198,652.893,197,303.63,568.3254,,,0.4155
199,656.154,198,-463.42,568.7585,,,0.1444
200,659.412,199,-101.85,569.0355,,,0.3042
201,662.700,200,2539.28,568.8783,,,0.7845
202,665.971,201,-468.68,568.9851,,,0.1409
203,669.215,202,79.16,569.0296,,,0.3583
204,672.488,203,2342.79,568.0759,,,0.7592
205,675.736,204,-240.57,568.7928,,,0.2549
