eval,time_s,iter,obj,aep,x,y,rms_viol
1,3.893,0,129008.92,491.1354,2776.7543;74.7070;2281.1336;2695.6940;1794.6252;809.2679;713.0263;2737.9106;608.7990;318.0233;2467.2953;3432.2160;14.2138;1843.8921;2925.4355;2205.0938;2598.3191;1050.7538;3303.9868;2572.4728;1953.1597;511.8122;1344.0267;2426.8810;1590.5994;1562.4504;2223.9611;1847.2977;2341.4299;2163.7402;2898.8035;1877.9297;3271.1360;1149.2499;325.6537;1082.5202;410.3437;2983.2528;168.8268;2254.6337;1971.3102;2949.4332;716.2111;3084.6611;1265.9495;2716.7317;1065.4621;3182.1713;1171.8419;594.0572;1413.1053;336.4573;2955.9804;544.1473;1382.8120;3399.3386;3555.4517;1642.6964;2974.0422;904.9469;2150.5379;3250.1943;1924.4086;2124.7249;141.4144;1285.8543;286.6071;1099.6557;1190.5895;2785.7891;143.8532;1546.1718;1133.7367;2291.3681;1246.8497;155.1505;3167.6946;2747.6661;3161.1479;1503.0329;2180.0792;1848.4799;2152.2119;943.9764;1083.1367;91.4392;1091.0252;871.4732;2007.2815;2035.8253;1710.4761;1054.0727;231.3038;3523.7489;1222.9482;1782.1751;3517.4906;1586.7858;1145.7821;1871.2691,2081.2911;3074.1615;245.1502;1672.3109;2815.0168;2586.9701;2109.6791;133.5399;1262.3630;2027.4865;1079.0275;1844.4030;2424.4809;573.0974;181.7196;1216.1372;389.0296;644.0501;3188.9775;1315.3139;787.5697;2708.9862;384.7665;2680.5717;1691.2271;2153.7204;531.4327;662.5254;2322.2597;175.0608;895.0050;1952.6707;816.3840;1373.0815;3320.0380;3331.2847;2040.2997;1920.4952;53.4961;3520.4373;2062.9041;2850.3252;2021.6065;3158.4069;2103.1050;2551.8594;534.7204;1542.4227;2498.0042;376.6311;1582.5789;598.3277;1825.1231;2948.5291;324.3842;2880.2475;2034.4549;2121.6518;713.1624;1570.0257;1065.2535;135.2076;110.4654;1631.1780;2681.5107;2006.2635;1386.4090;605.0621;3017.7408;2156.5865;2817.7733;3054.6331;2171.3867;2811.8182;2216.6528;76.1947;2701.6726;633.7517;1650.6511;1847.2417;1742.4752;3039.7889;629.3300;52.6855;3055.5507;2673.6285;1644.1111;1500.8343;420.2262;1219.2449;340.7725;2576.9911;277.5075;741.4209;2065.5944;1057.7936;2360.6163;2892.8461;1264.3686;336.3854,5.0639
2,6.875,1,39155.91,503.9035,,,2.8024
3,9.813,2,6980.59,509.9567,,,1.2179
4,12.653,3,-252.79,514.1253,,,0.2275
5,15.574,4,-281.86,518.4968,,,0.2165
6,18.466,5,-144.73,522.0531,,,0.2733
7,21.349,6,1031.56,526.0224,,,0.5554
8,24.233,7,-173.21,529.3204,,,0.2656
9,27.118,8,-161.68,532.2060,,,0.2709
10,30.002,9,-0.24,535.0209,,,0.3254
11,32.870,10,193.98,537.4530,,,0.3806
12,35.742,11,691.07,539.8869,,,0.4937
13,38.598,12,1157.53,541.9863,,,0.5801
14,41.435,13,363.55,543.8043,,,0.4239
15,44.284,14,-487.58,545.1900,,,0.1068
16,47.149,15,52.05,546.9478,,,0.3444
17,50.010,16,1725.52,548.7509,,,0.6711
18,52.837,17,2112.25,549.7974,,,0.7260
19,55.671,18,1089.57,551.0621,,,0.5700
20,58.477,19,432.63,552.5053,,,0.4417
21,61.311,20,217.81,553.9788,,,0.3909
22,64.143,21,109.28,554.9879,,,0.3627
23,66.978,22,934.54,556.0403,,,0.5433
24,69.795,23,3255.71,556.9120,,,0.8689
25,72.616,24,4509.24,557.1837,,,1.0016
26,75.433,25,4028.22,557.3641,,,0.9529
27,78.216,26,947.75,558.2896,,,0.5461
28,81.061,27,123.45,559.4086,,,0.3677
29,83.861,28,1010.60,560.3339,,,0.5577
30,86.664,29,2786.72,559.9554,,,0.8141
31,89.450,30,2526.60,559.4945,,,0.7817
32,92.262,31,2764.91,559.9907,,,0.8114
33,95.056,32,524.47,560.3256,,,0.4635
34,97.874,33,158.99,561.2183,,,0.3776
35,100.674,34,90.50,562.5104,,,0.3596
36,103.497,35,2425.87,563.2576,,,0.7694
37,106.293,36,492.99,564.0527,,,0.4575
38,109.130,37,947.75,564.4159,,,0.5472
39,111.926,38,773.04,563.7275,,,0.5145
40,114.780,39,1794.92,563.6073,,,0.6834
41,117.603,40,2759.23,562.8217,,,0.8111
42,120.405,41,1788.17,561.7356,,,0.6821
43,123.229,42,851.01,562.9463,,,0.5291
44,126.046,43,449.76,564.1679,,,0.4481
45,128.858,44,469.23,564.8552,,,0.4525
46,131.698,45,1407.87,564.9469,,,0.6250
47,134.500,46,5830.31,563.9707,,,1.1253
48,137.355,47,6688.54,562.3997,,,1.1983
49,140.187,48,4191.58,562.1199,,,0.9702
50,143.003,49,828.84,563.2783,,,0.5250
51,145.853,50,34.81,564.8019,,,0.3446
52,148.704,51,538.78,565.7644,,,0.4677
53,151.528,52,3645.60,565.8753,,,0.9132
54,154.372,53,220.26,566.1623,,,0.3946
55,157.205,54,782.84,566.2911,,,0.5169
56,160.008,55,2734.01,565.1840,,,0.8083
57,162.818,56,50.20,566.3782,,,0.3494
58,165.691,57,176.45,566.7932,,,0.3836
59,168.520,58,4932.65,566.0650,,,1.0435
60,171.331,59,502.91,567.0976,,,0.4603
61,174.175,60,632.16,567.1619,,,0.4873
62,177.001,61,3556.03,565.6979,,,0.9034
63,179.833,62,668.21,567.1547,,,0.4946
64,182.617,63,265.67,567.3701,,,0.4061
65,185.454,64,3834.91,566.3136,,,0.9336
66,188.272,65,341.83,567.2641,,,0.4243
67,191.088,66,31.37,567.2327,,,0.3443
68,193.883,67,4229.36,566.6549,,,0.9745
69,196.728,68,1138.41,567.7303,,,0.5812
70,199.562,69,532.08,567.1349,,,0.4665
71,202.383,70,3720.34,565.5829,,,0.9212
72,205.167,71,3970.80,563.4212,,,0.9476
73,207.995,72,657.10,564.1741,,,0.4918
74,210.794,73,-260.83,565.6028,,,0.2457
75,213.622,74,158.88,566.8470,,,0.3791
76,216.413,75,2096.24,567.2549,,,0.7262
77,219.209,76,1081.97,567.6072,,,0.5715
78,222.052,77,888.53,566.4514,,,0.5368
79,224.874,78,1536.48,565.0272,,,0.6451
80,227.688,79,533.30,564.3501,,,0.4662
81,230.492,80,-242.97,565.5057,,,0.2527
82,233.303,81,299.56,566.3631,,,0.4141
83,236.160,82,2494.23,566.4820,,,0.7785
84,238.985,83,6768.03,565.8823,,,1.2051
85,241.816,84,9295.41,564.3013,,,1.3973
86,244.645,85,7022.54,563.8890,,,1.2257
87,247.494,86,1688.94,565.2842,,,0.6681
88,250.346,87,89.96,566.4936,,,0.3605
89,253.169,88,558.65,566.9309,,,0.4721
90,256.004,89,3547.91,566.2963,,,0.9026
91,258.823,90,5135.67,564.7677,,,1.0624
92,261.643,91,6260.31,562.8708,,,1.1624
93,264.472,92,5081.65,561.9598,,,1.0571
94,267.346,93,2460.16,562.3906,,,0.7736
95,270.171,94,273.97,563.9206,,,0.4073
96,272.986,95,237.78,565.3575,,,0.3988
97,275.810,96,1139.73,566.3360,,,0.5812
98,278.625,97,1908.38,566.5112,,,0.7001
99,281.482,98,1581.63,565.8929,,,0.6521
100,284.344,99,1147.33,566.0249,,,0.5825
101,287.192,100,519.79,566.2229,,,0.4637
102,290.011,101,903.68,566.3016,,,0.5395
103,292.816,102,2761.81,566.3711,,,0.8118
104,295.640,103,1778.42,566.4921,,,0.6814
105,298.471,104,-181.21,566.7273,,,0.2763
106,301.269,105,1103.74,566.2966,,,0.5751
107,304.054,106,494.07,567.2031,,,0.4584
108,306.875,107,386.79,567.2813,,,0.4347
109,309.662,108,1128.71,566.7479,,,0.5794
110,312.458,109,2720.97,566.6358,,,0.8069
111,315.252,110,1384.99,566.5574,,,0.6216
112,318.083,111,950.95,567.2137,,,0.5483
113,320.909,112,-200.94,567.4094,,,0.2694
114,323.723,113,673.92,567.7359,,,0.4959
115,326.506,114,3356.56,566.9232,,,0.8814
116,329.304,115,243.22,568.2563,,,0.4009
117,332.086,116,-61.11,568.6110,,,0.3170
118,334.888,117,2056.34,568.2300,,,0.7209
119,337.742,118,578.74,568.4123,,,0.4766
120,340.595,119,1090.41,567.5923,,,0.5730
121,343.433,120,2182.58,566.7621,,,0.7379
122,346.275,121,452.98,566.2862,,,0.4493
123,349.092,122,-232.65,567.0671,,,0.2573
124,351.898,123,97.26,568.1417,,,0.3630
125,354.715,124,1618.52,568.0514,,,0.6580
126,357.565,125,489.49,568.8401,,,0.4578
127,360.376,126,611.32,567.9752,,,0.4832
128,363.203,127,3054.48,565.6337,,,0.8467
129,366.081,128,-132.63,567.8660,,,0.2936
130,368.906,129,412.01,568.9258,,,0.4407
131,371.718,130,2529.14,568.6597,,,0.7832
132,374.524,131,-68.41,568.9948,,,0.3148
133,377.347,132,305.20,568.3978,,,0.4159
134,380.234,133,932.14,569.1398,,,0.5452
135,383.055,134,4363.16,567.9870,,,0.9882
136,385.881,135,14.14,568.9043,,,0.3398
137,388.703,136,332.00,568.8362,,,0.4224
138,391.522,137,372.67,569.0337,,,0.4318
139,394.348,138,4791.43,568.3608,,,1.0302
140,397.166,139,30.49,568.9335,,,0.3445
141,400.067,140,35.41,568.7868,,,0.3459
142,402.912,141,1979.05,567.6569,,,0.7101
143,405.736,142,574.76,569.0346,,,0.4759
144,408.543,143,901.89,568.8917,,,0.5397
145,411.356,144,3667.50,566.9753,,,0.9157
146,414.161,145,3510.77,564.9995,,,0.8984
147,416.960,146,1216.42,565.3074,,,0.5940
148,419.772,147,-449.51,566.9126,,,0.1525
149,422.597,148,250.97,568.0840,,,0.4027
