eval,time_s,iter,obj,aep,x,y,rms_viol
1,3.935,0,137758.61,493.2692,3144.3459;3486.7464;3129.1003;1911.0805;837.8220;41.0357;1549.6877;1448.4649;1881.6288;1722.2105;1999.2833;1956.1897;2739.2241;2564.5485;2230.8555;1533.9304;1040.6701;3505.8789;1201.5866;787.6838;236.9102;3538.3340;460.2806;1159.6709;255.3942;809.1718;1417.0857;3226.1220;1243.6618;3545.0980;103.4354;1266.0651;1371.4520;2750.9765;3379.6941;1150.8833;1556.9134;972.5247;2883.8012;2297.6597;247.2845;2173.1201;2864.0684;115.2294;1639.6122;2844.6211;3558.9475;2102.2724;140.0843;1607.1225;677.4211;2257.4003;775.1441;543.4924;1930.1195;361.3925;2632.1704;3382.7437;3395.9455;1349.0586;2144.7009;2383.1378;1838.0896;1695.2133;31.9402;244.4271;1565.3384;1553.3771;669.1813;1906.9391;2156.7105;2595.3281;1103.0251;1455.8237;2962.0167;2113.6693;2543.4560;1838.0961;2988.2220;2594.4408;3118.5421;732.2752;1074.7255;1712.8945;1776.9762;2187.6341;2948.1681;1899.8058;3381.1349;2604.1803;643.5253;2231.0115;2024.2202;2748.2566;2903.9268;1075.0507;498.1849;2287.4325;29.9101;2838.8998,1807.4786;3589.6272;3542.5463;817.4831;3059.8462;2926.1431;850.0837;2364.6719;3517.8156;2633.6467;344.2621;1802.1820;1664.4963;2.6780;3560.1802;3159.4318;781.9601;2179.3590;1699.0312;1292.7921;1905.4528;2033.3632;3000.7764;226.1280;2182.9198;1813.0059;577.0753;523.6037;2296.2271;3178.4621;118.3169;1540.8788;3160.4151;1715.4255;1323.2539;866.3409;173.6344;630.6004;2004.3916;1908.3077;1959.1976;1076.5899;3115.5265;3049.0076;1676.5213;2704.8895;2820.8544;1325.1487;638.3272;910.3338;853.5278;1410.8240;25.9431;1011.2071;1933.4524;1523.0135;1914.5748;2664.2785;3352.3756;1173.5894;974.0647;1714.4061;2194.6184;674.1016;100.7833;734.3768;882.3764;1570.7900;2271.3453;1085.1250;3511.8242;3136.1340;2234.6353;1216.3935;611.0338;2375.0285;2575.6167;237.9626;2790.4184;3199.0637;2276.0056;2532.0691;3108.3992;3415.4061;1266.7551;213.1265;1119.4383;615.0635;1346.5755;1814.2957;2845.7709;3428.9348;1043.3550;3427.2507;662.5594;1584.2209;656.9981;938.3435;61.9448;886.6066,5.2323
2,6.924,1,53097.48,507.6719,,,3.2580
3,9.878,2,15528.79,513.8106,,,1.7823
4,12.754,3,3342.75,518.4035,,,0.8744
5,15.681,4,183.72,522.0647,,,0.3738
6,18.621,5,-4.26,525.5038,,,0.3213
7,21.494,6,93.84,528.9464,,,0.3512
8,24.392,7,157.46,531.7264,,,0.3694
9,27.296,8,-196.00,534.3446,,,0.2588
10,30.170,9,-225.93,537.0309,,,0.2482
