eval,time_s,iter,obj,aep,x,y,rms_viol
1,4.357,0,84052.32,505.9643,3481.3074;1970.0361;3501.6637;2573.3376;2511.8238;777.9222;3514.5880;22.4289;910.7365;1565.2495;2805.7785;711.6663;3106.7756;3540.2424;589.8321;2150.4022;32.3500;1391.6566;158.9762;3443.9507;1570.1279;3416.3183;2830.7015;3118.6415;623.3955;269.8149;2162.6738;604.6999;2640.1686;1470.3979;1900.4718;3375.2577;1878.1060;389.4962;569.6043;1962.7295;1887.8547;2295.3969;1445.3836;2339.2984;1428.8400;2246.0980;2762.6579;644.3061;1352.0728;1809.1190;2472.0015;913.2467;1997.0671;2249.7510;3223.8042;1306.2729;2295.2055;689.2070;1792.0588;656.8035;3306.1789;1554.5595;2988.6772;1500.3947;3256.8033;1457.3708;1192.2282;2059.6996;3043.5971;3099.6515;2144.4772;304.7818;2150.1598;883.6334;2637.3364;3220.7447;1853.0423;2172.8286;234.2441;1944.2690;465.0724;2212.4262;1309.1412;2763.9289;174.7229;395.3452;2462.4836;1852.7533;2057.9089;3037.3452;1755.8555;2916.5199;1836.8771;3336.1945;2400.9400;535.4166;1312.3914;3116.7897;1261.0268;680.4927;1701.4367;1414.0122;2228.1477;1572.3587,939.3198;1484.9000;1508.5225;3248.7187;3526.6185;2244.8478;299.4628;2638.7954;2443.2674;2973.6823;1250.8248;211.9683;2202.5585;446.4526;2734.3063;2859.9239;1471.0564;3397.6710;625.6073;3393.3091;1675.7628;2746.7771;2710.1527;3532.3557;3503.8008;144.3280;57.4966;1955.8451;121.9594;2366.9447;1925.6494;2399.6102;1588.8265;980.8973;3418.8082;2621.7700;22.7662;357.5800;2274.0921;1036.9326;1467.4380;2813.5120;1274.9239;3332.9109;2593.6276;1986.9352;651.4734;1474.5290;2746.3744;3566.8685;265.1485;485.1094;2664.1610;3001.6129;319.5823;2985.9046;2832.2363;2477.5966;1223.7351;1600.3464;1318.8101;3025.6778;1181.9597;1161.2699;3367.0471;3311.9545;3487.2269;2907.1762;312.8962;327.2780;2005.4955;3082.2616;3183.1123;2292.6552;3440.8965;546.7882;797.6913;1196.9826;924.4977;1123.9381;426.4039;1351.2245;107.1864;1936.0140;3404.9819;1602.4507;2246.9517;2202.5245;3360.1650;2644.2686;2969.3553;1209.0579;3266.8727;666.7532;1468.7362;2654.8271;1200.4430;3190.0832;3098.3611;594.4252,4.0920
2,7.789,1,26166.93,516.5040,,,2.2987
3,11.163,2,6630.95,522.0140,,,1.1901
4,14.488,3,457.43,526.4777,,,0.4414
5,17.853,4,-102.37,530.5871,,,0.2912
6,21.209,5,-89.43,534.0142,,,0.2967
7,24.512,6,163.02,537.2096,,,0.3724
8,27.839,7,-238.66,539.2464,,,0.2440
9,31.124,8,900.51,541.5101,,,0.5344
10,34.422,9,1720.78,543.4773,,,0.6696
11,37.669,10,341.20,545.3243,,,0.4190
12,40.915,11,706.89,547.1365,,,0.4983
13,44.172,12,43.36,548.4124,,,0.3423
14,47.374,13,-61.93,549.8610,,,0.3108
15,50.617,14,1523.38,551.6795,,,0.6410
16,53.867,15,4906.67,552.8142,,,1.0398
17,57.086,16,7797.06,553.0097,,,1.2859
18,60.284,17,7617.96,553.7519,,,1.2721
19,63.542,18,2134.38,554.9400,,,0.7298
20,66.818,19,217.77,555.9609,,,0.3914
21,70.112,20,1105.45,556.6823,,,0.5737
22,73.433,21,4026.56,556.8114,,,0.9527
23,76.709,22,6246.10,556.3603,,,1.1606
24,80.040,23,3025.32,555.9319,,,0.8421
25,83.334,24,-46.70,557.0054,,,0.3179
26,86.671,25,11.96,558.4302,,,0.3361
27,89.960,26,2333.68,559.5989,,,0.7569
28,93.261,27,7559.53,559.1141,,,1.2679
29,96.539,28,5581.17,557.2692,,,1.1025
30,99.826,29,4544.02,557.4685,,,1.0051
31,103.160,30,1566.25,558.6283,,,0.6487
32,106.433,31,631.66,560.0540,,,0.4858
33,109.744,32,1521.10,561.1050,,,0.6421
34,113.044,33,1868.45,560.7744,,,0.6936
35,116.326,34,1004.31,559.9852,,,0.5566
36,119.624,35,1588.38,560.3031,,,0.6523
37,122.891,36,1194.35,561.1230,,,0.5896
38,126.149,37,407.28,562.2866,,,0.4382
39,129.457,38,1680.20,562.8186,,,0.6665
40,132.747,39,3944.85,562.5879,,,0.9448
41,136.032,40,5659.15,561.9297,,,1.1099
42,139.331,41,2077.20,561.6965,,,0.7229
43,142.656,42,-115.22,562.7219,,,0.2977
44,145.941,43,1093.76,564.0508,,,0.5730
45,149.200,44,4526.69,564.2145,,,1.0040
46,152.521,45,8448.47,563.1045,,,1.3358
47,155.807,46,4167.50,561.3937,,,0.9677
48,159.083,47,413.17,562.2492,,,0.4395
49,162.412,48,312.55,563.9414,,,0.4166
50,165.720,49,1393.97,565.0875,,,0.6228
51,169.011,50,2546.14,564.9819,,,0.7849
52,172.294,51,1884.43,563.9904,,,0.6963
