Power_MW,Depth_m,Mass_mp_kg,R2,Mass_tower_kg,R2
22,10.0,702188.6791753742,0.8329616535361221,1185457.0010924847,0.8064887867136489
22,11.0,719539.091085026,0.8451178673155026,1190266.277576345,0.79495295614743
22,12.0,737513.7552915348,0.8570201319922377,1195086.2815380106,0.7828531891005633
22,13.0,756112.6717949001,0.8686353317665805,1199917.0129774814,0.7702226534203853
22,14.0,775335.8405951218,0.87992758821904,1204758.4718947574,0.7571010004757383
22,15.0,795183.2616922002,0.8908578348742477,1209610.6582898374,0.7435342759194048
22,16.0,815654.9350861352,0.9013833012059044,1214473.5721627234,0.7295747083099001
22,17.0,836750.860776927,0.9114568861894765,1219347.213513414,0.7152803753835255
22,18.0,858471.0387645749,0.9210263969589886,1224231.5823419092,0.7007147526944071
22,19.0,880815.4690490799,0.9300336224886103,1229126.67864821,0.6859461544265771
22,20.0,903784.1516304415,0.9384132052510481,1234032.5024323154,0.6710470811282507
22,21.0,927377.0865086594,0.9460912652187505,1238949.0536942251,0.6560934936094434
22,22.0,951594.273683734,0.9529837200585056,1243876.332433941,0.6411640359803263
22,23.0,976435.7131556654,0.9589942326169808,1248814.3386514613,0.6263392335296917
22,24.0,1001901.404924453,0.9640117015619988,1253763.0723467867,0.6117006926555832
22,25.0,1027991.3489900976,0.9679071932862368,1258722.533519917,0.5973303302504754
22,26.0,1054705.5453525987,0.9705301932842143,1263692.7221708524,0.5833096587882274
22,27.0,1082043.9940119563,0.971704034444191,1268673.6382995925,0.569719150923715
22,28.0,1110006.6949681703,0.9712203409740509,1273665.281906138,0.5566377038398695
22,29.0,1138593.6482212413,0.9688323159556774,1278667.652990488,0.5441422190565115
22,30.0,1167804.8537711685,0.9642467091392358,1283680.7515526433,0.5323073081744443
22,31.0,1197640.3116179528,0.9571143502781604,1288704.577592603,0.5212051292888937
22,32.0,1228100.0217615934,0.947019258781504,1293739.1311103685,0.5109053527568659
22,33.0,1259183.9842020907,0.9334666059489926,1298784.4121059384,0.5014752487746401
22,34.0,1290892.1989394445,0.9158703172448621,1303840.4205793138,0.4929798828604566
22,35.0,1323224.665973655,0.8935420291180838,1308907.1565304934,0.48548239880110433
22,36.0,1356181.3853047215,0.8656847172289832,1313984.6199594785,0.47904436176024034
22,37.0,1389762.3569326454,0.8313969519886399,1319072.8108662686,0.47372612682534365
22,38.0,1423967.5808574257,0.7896978328913556,1324171.7292508632,0.4695871899727463
22,39.0,1458797.0570790623,0.7395884777632404,1329281.3751132637,0.466686468907592
22,40.0,1494250.7855975558,0.680173040891826,1334401.748453468,0.4650824501597952
22,41.0,1530328.7664129063,0.6108681367393816,1339532.8492714786,0.4648331259850307
22,42.0,1567030.9995251126,0.5317275668473571,1344674.677567293,0.4659956300944451
22,43.0,1604357.4849341754,0.443886153313895,1349827.2333409125,0.46862546556974016
22,44.0,1642308.2226400955,0.3500639482337804,1354990.5165923373,0.4727752028451683
22,45.0,1680883.2126428722,0.25496087840138026,1360164.5273215673,0.4784925128723826
22,46.0,1720082.454942505,0.16524688869896975,1365349.2655286023,0.48581739469160035
22,47.0,1759905.949538995,0.08882955048847008,1370544.7312134416,0.4947784639098264
22,48.0,1800353.6964323404,0.03331639607976011,1375750.9243760859,0.5053881977831434
22,49.0,1841425.6956225438,0.004089637238607113,1380967.8450165358,0.5176370948034141
22,50.0,1883121.9471096024,0.0028434398834960017,1386195.4931347903,0.5314868142912814
22,51.0,1925442.4508935194,0.02732665627768638,1391433.86873085,0.5468625256308046
22,52.0,1968387.2069742915,0.07235184553337604,1396682.971804714,0.5636449226157482
22,53.0,2011956.215351921,0.13144220083764147,1401942.802356384,0.5816626380262975
22,54.0,2056149.476026407,0.19833387972844285,1407213.360385859,0.6006860973771841
22,55.0,2100966.9889977486,0.2678901261439103,1412494.6458931381,0.6204241197214694
22,56.0,2146408.7542659477,0.3364059179583859,1417786.6588782226,0.6405247173764246
22,57.0,2192474.771831004,0.4015076717929674,1423089.399341112,0.6605814555183194
22,58.0,2239165.041692916,0.46187349239710485,1428402.8672818062,0.6801463064800557
22,59.0,2286479.5638516843,0.5169262139067805,1433727.0627003056,0.6987491285387986
22,60.0,2334418.33830731,0.5665721400718737,1439061.98559661,0.7159227789402511
