trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_low_000135,mc_v2_20260811_low/task_0027,135,low,Nygaard_TurboGaussian,8571.498624274987,7695.120762466235,10.224,7689.76,10.287,3
mc_v2_20260811_low_000135,mc_v2_20260811_low/task_0027,135,low,SuperGaussian,8669.728344275445,7817.369632557369,9.831,7813.73,9.873,3
mc_v2_20260811_low_000135,mc_v2_20260811_low/task_0027,135,low,Bastankhah_PorteAgel_2014,9040.075605051641,8490.524957638037,6.079,8489.2,6.094,3
mc_v2_20260811_low_000136,mc_v2_20260811_low/task_0027,136,low,Nygaard_TurboGaussian,7408.91495970816,6476.389834847255,12.587,6465.01,12.74,5
mc_v2_20260811_low_000136,mc_v2_20260811_low/task_0027,136,low,SuperGaussian,7692.2513252013405,6823.706971920967,11.291,6813.75,11.421,5
mc_v2_20260811_low_000136,mc_v2_20260811_low/task_0027,136,low,Bastankhah_PorteAgel_2014,8141.44476066287,7561.328791416611,7.125,7553.73,7.219,5
mc_v2_20260811_low_000137,mc_v2_20260811_low/task_0027,137,low,Nygaard_TurboGaussian,7560.969752967087,6743.402722098209,10.813,6733.27,10.947,6
mc_v2_20260811_low_000137,mc_v2_20260811_low/task_0027,137,low,SuperGaussian,7726.651572293806,6949.3385669627405,10.06,6940.62,10.173,6
mc_v2_20260811_low_000137,mc_v2_20260811_low/task_0027,137,low,Bastankhah_PorteAgel_2014,8087.609015622247,7573.97674138503,6.351,7568.31,6.421,6
mc_v2_20260811_low_000138,mc_v2_20260811_low/task_0027,138,low,Nygaard_TurboGaussian,7866.952601952231,7047.82618774145,10.412,7047.17,10.421,4
mc_v2_20260811_low_000138,mc_v2_20260811_low/task_0027,138,low,SuperGaussian,8149.645029559155,7331.699299767088,10.037,7331.59,10.038,4
mc_v2_20260811_low_000138,mc_v2_20260811_low/task_0027,138,low,Bastankhah_PorteAgel_2014,8602.967860948995,8055.35736768833,6.365,8055.24,6.367,4
mc_v2_20260811_low_000139,mc_v2_20260811_low/task_0027,139,low,Nygaard_TurboGaussian,7424.069123021264,6556.785870994758,11.682,6502.36,12.415,6
mc_v2_20260811_low_000139,mc_v2_20260811_low/task_0027,139,low,SuperGaussian,7531.563947805214,6771.780108232133,10.088,6730.31,10.639,6
mc_v2_20260811_low_000139,mc_v2_20260811_low/task_0027,139,low,Bastankhah_PorteAgel_2014,7878.071513793383,7371.057960370736,6.436,7346.53,6.747,6
