eval,time_s,iter,obj,aep,rms_viol,x,y
1,0.0,0,-498.2397146443841,498.2397146443841,4.158272303325767,37.347;1806.749;1784.784;481.786;511.600;786.811;1506.629;893.164;302.615;1243.795;600.395;3162.813;3423.471;139.494;2516.787;2061.935;3232.826;2400.836;1972.216;2528.739;1391.318;2499.979;2969.534;1676.407;3385.888;2893.463;3540.093;610.691;1875.905;3403.863;2338.346;3098.995;3495.046;667.950;875.216;3144.243;3262.598;2729.801;1248.847;1668.725;2197.936;1786.614;1720.706;1568.000;3133.470;674.491;2475.627;2532.705;3330.720;142.037;2329.620;2296.994;1662.112;191.014;138.855;610.313;2860.372;585.382;499.459;1270.501;1744.194;2511.851;2884.163;960.388;3274.114;82.321;1350.442;718.680;1234.099;1598.804;1793.303;1491.647;771.321;779.903;836.306;2624.708;1497.307;2102.033;1779.612;1548.169;2645.157;2002.379;1089.470;3494.874;809.433;499.569;2213.757;1770.944;659.350;393.518;1942.472;1041.477;370.995;1766.166;2275.530;136.689;1800.389;300.756;2848.746;2728.930,944.184;363.091;3301.894;1862.857;480.743;405.155;3029.908;1965.869;939.660;2072.972;1129.869;2849.843;1775.127;3474.569;1873.123;3250.878;899.296;1877.354;1820.684;2927.057;263.499;3010.345;2895.248;1462.757;131.224;2762.115;2444.139;3308.144;2016.668;3483.788;1110.184;1220.004;2631.175;2524.932;2611.256;3218.194;2579.937;2455.750;3035.221;2322.428;1089.716;2983.612;880.990;2533.610;1929.198;1370.914;643.025;3188.994;288.841;2892.919;2460.493;1663.238;2390.578;1017.599;3101.669;642.526;2086.959;1669.084;2423.599;1714.048;3429.040;3071.727;3234.626;92.049;563.122;1716.833;2644.999;1282.714;2032.033;163.690;2305.589;2452.343;1424.295;492.023;1499.248;2658.466;2103.507;3180.360;2083.499;640.694;2130.306;193.960;2676.287;723.736;3256.831;1704.844;1589.951;489.887;2907.704;3301.304;2500.519;2403.160;2543.824;2681.329;2572.543;514.665;2398.889;3277.287;116.730;665.332
6,9.12454080581665,5,-513.1880229380342,513.1880229380342,0.18940658659503087,-5.667;1880.254;1777.806;475.290;466.026;838.367;1454.584;894.366;327.144;1176.194;616.506;3213.782;3434.539;128.500;2571.457;2017.908;3192.249;2354.469;1961.585;2608.957;1410.760;2457.627;2961.717;1635.770;3381.824;2887.313;3571.286;645.269;1908.522;3362.748;2376.954;3137.786;3568.273;614.310;827.960;3218.263;3241.414;2660.230;1174.655;1611.685;2167.399;1831.621;1766.433;1576.060;3174.753;614.791;2415.933;2530.445;3381.976;128.770;2378.116;2342.046;1679.430;173.188;102.051;603.884;2908.204;614.637;501.594;1306.519;1756.902;2462.444;2910.747;925.388;3259.920;20.285;1365.508;741.551;1265.003;1538.152;1816.377;1438.136;803.924;740.691;909.282;2603.020;1499.490;2150.903;1771.778;1471.418;2610.467;2052.547;1076.742;3479.113;853.167;472.464;2163.410;1755.815;686.634;423.630;1994.134;1055.529;315.378;1754.590;2233.464;110.730;1822.127;267.308;2788.198;2791.496,923.535;350.295;3258.907;1883.522;436.940;358.893;3101.991;1966.533;899.608;2143.027;1098.372;2823.622;1740.408;3536.205;1882.232;3307.331;923.058;1867.553;1778.526;2850.867;232.141;2936.349;2941.854;1433.844;54.708;2735.808;2381.196;3290.528;1961.262;3559.205;1140.116;1264.730;2666.412;2573.810;2600.060;3208.576;2569.279;2439.009;3035.189;2256.735;1036.345;2969.149;906.362;2585.029;1919.336;1368.304;649.810;3252.903;294.509;2858.777;2411.447;1667.783;2417.713;1041.369;3077.933;709.271;2051.931;1610.911;2381.004;1680.049;3477.590;3105.435;3298.387;18.192;542.579;1766.413;2665.238;1251.963;1964.677;126.825;2262.873;2415.746;1416.232;526.761;1560.321;2667.790;2034.646;3162.643;2108.433;700.422;2173.763;154.298;2642.775;743.598;3335.409;1714.208;1561.962;499.585;2948.355;3252.168;2536.187;2417.910;2531.359;2718.265;2587.906;527.953;2456.180;3351.004;167.499;665.159
11,18.448630332946777,10,-522.774308255862,522.774308255862,0.3294729671345727,-0.736;1888.238;1741.738;430.213;444.075;816.906;1458.622;897.943;296.385;1161.037;600.420;3272.444;3499.542;117.126;2637.046;2042.986;3188.490;2337.708;1974.391;2593.653;1427.461;2457.376;2914.300;1628.128;3408.245;2954.060;3613.692;650.065;1900.700;3364.998;2421.336;3155.941;3588.630;688.681;834.601;3276.159;3225.061;2653.533;1097.792;1617.814;2202.937;1771.597;1766.507;1580.218;3226.558;594.194;2406.164;2500.626;3382.178;108.374;2355.969;2368.689;1661.797;170.140;95.032;614.933;2930.245;601.882;426.462;1345.086;1766.847;2461.503;2931.226;899.891;3285.618;5.695;1304.859;791.565;1301.226;1492.413;1827.430;1439.305;777.874;743.940;932.502;2631.927;1430.659;2134.700;1784.289;1474.837;2624.860;2040.284;1035.561;3534.199;927.553;511.252;2120.823;1790.893;634.521;436.809;2057.912;1039.808;303.196;1795.586;2299.200;65.552;1851.699;226.299;2770.138;2762.692,934.772;338.441;3265.541;1913.968;410.905;315.890;3120.643;1975.060;871.579;2148.336;1037.672;2886.495;1676.597;3600.584;1937.243;3353.849;913.891;1856.863;1781.901;2810.045;289.436;2929.847;2990.219;1411.466;4.265;2751.082;2378.739;3331.095;1945.994;3599.644;1151.554;1284.435;2650.142;2588.328;2623.322;3204.044;2529.340;2457.690;3028.667;2209.720;1009.735;3005.929;920.891;2595.713;1902.364;1349.860;624.960;3293.648;258.896;2823.123;2394.858;1627.986;2407.162;1104.770;3096.478;688.199;1991.278;1611.388;2343.219;1642.200;3555.218;3096.263;3372.411;5.615;525.728;1802.113;2732.250;1183.257;1939.676;93.759;2289.909;2437.991;1428.973;516.821;1564.841;2670.191;2063.440;3150.684;2111.257;740.505;2190.487;74.024;2630.748;751.040;3353.527;1735.907;1527.053;527.203;2943.658;3203.778;2506.589;2346.550;2569.049;2758.530;2584.731;550.441;2514.174;3398.990;197.034;692.493
16,27.64439082145691,15,-527.5195873377379,527.5195873377379,0.21364351799845283,-0.489;1900.826;1687.157;411.574;392.463;811.949;1403.357;882.055;282.760;1152.541;584.556;3332.758;3482.896;98.883;2638.908;2006.825;3162.211;2378.746;1952.914;2560.442;1376.434;2432.134;2932.609;1583.080;3419.059;2996.130;3598.499;696.399;1917.331;3430.465;2455.339;3184.487;3589.640;656.336;855.833;3321.126;3170.485;2726.864;1081.272;1573.235;2199.137;1771.328;1705.910;1604.507;3258.894;647.474;2415.477;2503.046;3415.210;81.558;2428.776;2393.314;1692.792;127.395;68.105;642.797;2966.180;613.519;386.431;1415.919;1797.102;2518.490;2916.276;885.855;3325.630;-12.485;1300.761;787.139;1291.242;1515.215;1832.516;1457.469;720.164;742.574;964.802;2625.475;1403.315;2120.365;1808.379;1551.787;2611.772;2065.555;1072.079;3562.700;948.425;495.077;2054.130;1775.835;623.098;399.138;2089.176;1007.928;267.634;1747.875;2314.338;-6.752;1869.742;226.667;2742.513;2795.990,920.350;305.766;3288.265;1937.398;379.982;286.086;3131.024;1980.014;865.140;2112.374;1027.205;2924.457;1643.976;3605.254;1915.120;3322.570;890.481;1887.182;1723.345;2805.126;268.743;2956.937;2996.750;1337.317;2.671;2757.751;2359.346;3381.684;1919.882;3593.056;1146.546;1259.845;2624.645;2560.734;2635.555;3264.869;2488.262;2475.803;2988.494;2178.383;1000.081;3036.397;969.870;2638.872;1936.892;1308.755;603.991;3357.021;248.818;2793.726;2398.790;1628.364;2416.585;1140.473;3089.997;719.047;1961.517;1621.081;2346.234;1632.099;3592.288;3138.246;3373.591;-1.030;512.156;1759.571;2675.697;1136.220;1904.223;34.178;2291.287;2439.713;1454.188;502.650;1591.850;2659.350;2073.813;3165.623;2097.363;726.353;2149.043;61.756;2659.694;804.407;3354.127;1742.057;1491.322;516.150;2958.304;3216.878;2468.074;2326.569;2574.334;2832.210;2582.560;486.146;2546.947;3440.801;172.183;656.995
21,36.979259967803955,20,-531.7716673090547,531.7716673090547,0.31109309001344065,32.385;1963.209;1692.520;419.953;388.996;832.148;1363.256;877.240;280.373;1117.262;563.431;3348.821;3507.859;100.539;2714.168;1974.007;3155.010;2318.326;1986.097;2553.483;1396.146;2443.716;2925.224;1573.103;3486.140;3001.356;3595.323;668.520;1908.606;3432.940;2513.052;3223.077;3542.058;622.340;811.761;3365.213;3189.727;2736.941;1089.411;1552.755;2194.937;1761.469;1642.666;1595.791;3286.086;653.009;2437.737;2479.538;3394.329;86.234;2424.880;2440.868;1723.512;79.311;63.724;684.955;3043.819;587.199;359.409;1458.209;1774.439;2493.066;2904.195;885.365;3306.703;3.629;1292.761;796.616;1244.953;1463.535;1833.979;1426.091;718.065;730.250;956.383;2640.923;1424.161;2120.239;1841.223;1574.529;2600.489;2058.941;1030.883;3556.459;975.981;502.283;2045.854;1790.495;579.725;394.041;2146.323;987.137;191.659;1788.065;2307.290;0.131;1883.727;210.160;2727.470;2817.485,892.760;262.244;3264.243;1973.720;414.430;269.923;3153.424;1948.405;851.427;2099.646;979.992;2989.279;1637.962;3612.659;1929.531;3357.069;864.926;1898.880;1694.470;2806.544;275.379;2973.448;2992.665;1310.617;0.607;2790.589;2340.973;3406.130;1849.833;3608.579;1097.629;1236.988;2676.392;2557.301;2675.827;3247.365;2446.018;2478.310;2988.567;2171.352;1044.761;3062.299;988.568;2599.396;1949.734;1279.625;620.552;3411.956;205.021;2791.362;2400.344;1621.467;2396.702;1204.535;3055.333;707.108;1952.982;1628.219;2350.067;1639.295;3610.470;3176.473;3423.269;-10.735;484.539;1767.033;2659.081;1106.342;1905.377;-4.061;2286.097;2425.444;1459.699;462.679;1596.548;2625.415;2051.377;3174.750;2061.533;749.020;2096.065;15.299;2658.689;775.818;3362.980;1785.608;1523.091;500.631;2992.902;3204.524;2430.078;2373.568;2551.393;2840.709;2570.935;451.247;2554.546;3447.525;142.935;651.148
26,46.32740879058838,25,-534.9420553811926,534.9420553811926,0.3979172371994837,-7.160;1954.086;1663.781;408.053;383.061;805.383;1389.869;819.895;279.323;1069.067;571.087;3393.929;3516.995;109.997;2721.839;1976.468;3159.146;2324.801;1983.847;2597.744;1388.527;2452.627;2931.924;1538.785;3475.669;3036.171;3612.074;675.661;1929.156;3453.403;2559.694;3241.839;3543.540;586.735;827.932;3328.853;3192.427;2744.422;1097.194;1572.401;2181.689;1728.551;1623.358;1616.270;3331.745;633.425;2398.710;2499.183;3411.608;71.064;2456.382;2432.732;1710.914;57.815;21.739;697.836;2996.544;561.855;318.478;1474.811;1765.177;2501.751;2932.927;892.362;3290.651;-5.388;1264.713;835.187;1229.196;1474.616;1855.952;1361.912;713.061;749.545;1002.790;2644.855;1416.394;2058.908;1851.711;1583.738;2625.530;2060.753;1008.978;3608.838;999.907;500.513;2052.450;1799.215;585.776;365.438;2121.312;952.787;159.371;1808.791;2359.783;-17.296;1862.013;187.651;2701.397;2857.976,940.011;267.789;3310.818;1992.055;486.904;234.377;3177.398;1964.264;810.356;2135.723;963.687;3025.290;1643.632;3604.484;1851.761;3427.614;830.769;1854.524;1679.157;2803.786;272.540;2986.838;2998.308;1311.505;9.555;2789.414;2296.089;3399.567;1838.644;3608.010;1080.777;1224.533;2710.923;2557.970;2653.642;3262.028;2478.468;2411.546;3052.555;2159.513;1040.431;3023.259;1015.649;2565.609;1955.258;1268.490;651.866;3434.529;197.362;2790.837;2415.854;1620.221;2410.736;1219.408;3048.089;642.788;1956.780;1636.170;2311.051;1683.641;3602.242;3222.788;3466.176;-0.353;437.495;1773.173;2723.959;1072.248;1903.579;-6.063;2248.646;2444.325;1433.628;467.916;1570.465;2658.593;1985.277;3155.386;2043.503;730.325;2112.787;-3.996;2698.942;772.457;3379.326;1802.823;1472.549;489.282;3009.381;3211.540;2417.586;2375.573;2544.320;2842.407;2591.639;388.571;2568.054;3428.622;128.806;697.829
31,55.46012330055237,30,-536.5900332217755,536.5900332217755,0.44304874669068206,48.572;2013.090;1639.340;457.248;404.775;836.654;1367.162;787.944;228.679;1034.784;596.133;3370.483;3463.118;130.287;2731.450;1962.638;3161.177;2364.149;2008.970;2589.789;1404.798;2460.750;2993.466;1535.307;3462.954;3024.528;3615.483;633.907;1895.385;3522.008;2518.150;3239.885;3565.747;608.124;844.694;3340.478;3128.918;2755.047;1077.558;1595.878;2144.245;1755.123;1583.354;1557.600;3408.801;571.659;2394.132;2513.526;3397.418;61.337;2440.174;2410.059;1718.115;38.555;10.829;704.918;3003.382;512.691;269.694;1479.528;1832.420;2499.174;2920.617;855.038;3350.303;-6.275;1255.738;852.467;1214.429;1460.248;1882.293;1295.270;746.677;728.350;990.482;2713.278;1432.858;2106.925;1900.223;1612.210;2571.536;2073.106;1031.367;3590.217;1042.720;509.184;2075.042;1784.280;566.803;371.433;2135.987;984.630;106.042;1798.285;2401.795;-0.084;1851.163;147.382;2705.162;2869.254,1002.764;260.391;3347.902;2051.458;526.654;247.222;3240.601;1955.865;745.378;2092.079;928.678;3007.933;1600.070;3595.732;1803.616;3426.422;864.647;1881.236;1664.962;2809.606;282.317;2998.584;3070.059;1314.964;6.980;2759.045;2312.583;3460.358;1820.067;3570.042;1067.518;1198.189;2693.988;2536.578;2629.021;3304.637;2432.583;2363.857;3073.591;2179.386;1022.896;3097.736;994.332;2562.747;1993.537;1279.946;647.090;3503.778;173.916;2788.551;2373.390;1587.155;2402.636;1246.716;3090.980;702.349;1952.870;1620.424;2307.526;1689.620;3617.577;3226.200;3529.798;-9.886;467.704;1734.149;2797.683;1062.340;1880.599;-16.866;2260.267;2419.382;1419.533;422.307;1558.192;2643.979;1997.189;3202.157;2017.342;727.804;2109.182;-4.586;2709.840;781.270;3366.862;1833.018;1426.477;477.837;2996.686;3236.284;2419.831;2333.416;2524.321;2822.419;2654.303;310.251;2611.903;3411.958;94.223;734.805
36,64.8070957660675,35,-538.223072811358,538.223072811358,0.3897432987820487,0.434;1986.193;1671.308;437.737;348.410;817.785;1368.712;810.605;284.772;1022.753;597.306;3413.697;3490.201;114.838;2754.039;1932.781;3206.847;2300.075;1979.426;2643.441;1416.788;2410.811;2975.039;1524.894;3468.734;3010.680;3614.867;651.577;1917.917;3545.359;2523.843;3223.287;3575.671;606.210;806.735;3389.981;3149.641;2745.072;1041.674;1602.912;2175.717;1767.552;1542.032;1602.651;3448.844;508.054;2440.572;2552.450;3411.119;19.449;2424.390;2431.418;1676.466;17.889;21.463;690.665;3007.990;488.174;295.062;1480.026;1835.978;2492.603;2944.784;885.263;3363.923;-14.766;1280.352;882.720;1279.207;1475.565;1893.923;1280.131;751.692;704.010;1008.026;2707.487;1477.493;2083.332;1924.675;1565.607;2630.929;2057.263;1048.574;3591.932;1053.224;500.640;2083.156;1842.048;568.472;333.122;2125.066;953.852;28.588;1811.051;2376.804;11.406;1843.306;104.900;2703.744;2837.148,932.491;225.509;3349.233;2017.585;467.556;191.468;3280.137;1963.623;808.438;2086.357;944.301;3008.486;1655.483;3595.588;1800.295;3445.037;812.007;1895.297;1594.957;2846.120;307.224;2945.249;3085.405;1274.568;-6.049;2768.096;2356.125;3461.599;1798.634;3602.480;1109.071;1213.295;2657.776;2530.197;2659.663;3343.168;2428.179;2331.314;3086.786;2195.119;1027.398;3085.701;975.248;2529.551;1962.669;1296.161;576.765;3505.003;213.146;2776.478;2420.148;1602.904;2373.336;1257.559;3072.201;645.707;1919.042;1595.442;2351.941;1664.162;3615.848;3270.317;3554.909;-5.843;436.829;1748.768;2828.543;1098.780;1909.390;2.326;2281.853;2474.984;1428.688;419.245;1520.747;2598.394;2007.803;3219.927;1991.336;653.862;2089.457;18.961;2719.780;841.889;3394.486;1820.076;1358.362;530.791;3032.016;3211.652;2422.777;2350.951;2457.070;2845.109;2687.239;298.570;2635.365;3411.808;107.144;729.639
41,74.02555346488953,40,-540.926969922898,540.926969922898,0.42311422049793035,-14.918;1988.618;1628.495;419.221;277.827;793.192;1359.187;782.383;309.110;1075.587;631.668;3427.613;3479.186;90.145;2770.792;1971.354;3253.489;2326.390;1924.200;2687.291;1465.183;2399.477;3006.997;1551.654;3420.489;3031.261;3585.686;695.523;1940.105;3579.497;2584.196;3246.899;3620.517;537.866;761.944;3439.080;3181.210;2727.791;1027.992;1601.720;2162.644;1795.297;1532.106;1554.125;3514.139;455.902;2406.607;2547.543;3437.025;-3.115;2369.699;2477.410;1652.935;1.927;6.882;664.844;3051.619;457.248;316.490;1485.840;1843.566;2484.340;3002.367;892.202;3410.967;-6.078;1279.164;937.921;1239.966;1446.419;1922.411;1268.783;754.886;694.829;1032.261;2728.624;1495.698;2107.542;1915.689;1506.364;2603.423;2080.668;1059.939;3602.274;996.167;443.187;2048.661;1870.105;560.410;286.314;2142.979;973.396;-5.891;1801.992;2369.834;5.148;1854.386;119.600;2688.677;2840.343,891.282;177.314;3376.861;2020.807;500.080;168.832;3276.729;1980.635;827.184;2111.676;936.507;3014.901;1650.355;3610.076;1796.579;3440.537;824.481;1910.284;1595.414;2915.368;302.414;2912.578;3134.474;1248.166;-3.466;2744.292;2342.555;3516.727;1777.744;3592.004;1086.408;1190.264;2634.679;2556.265;2659.326;3334.511;2468.889;2335.728;3080.003;2168.972;1050.481;3081.139;961.437;2528.187;1922.448;1318.310;570.726;3534.979;196.711;2739.801;2420.263;1589.363;2389.980;1270.078;3053.026;692.628;1888.221;1594.992;2345.251;1611.822;3602.711;3281.672;3579.050;6.283;444.638;1727.097;2869.816;1078.791;1943.534;-0.451;2279.135;2444.727;1401.597;411.095;1535.741;2567.902;1998.287;3272.325;1989.785;648.309;2077.683;-7.279;2747.350;839.339;3384.247;1822.515;1360.265;524.494;3023.464;3182.736;2367.893;2335.515;2415.350;2852.597;2706.308;223.814;2647.703;3419.572;44.768;726.231
46,83.32364797592163,45,-542.3095056537068,542.3095056537068,0.4157405695212406,-7.627;1935.554;1578.665;370.336;314.226;791.638;1325.159;762.601;293.761;1050.636;604.768;3484.541;3517.688;65.892;2749.303;1988.151;3293.251;2375.713;1945.445;2721.102;1433.343;2376.604;3008.436;1521.947;3439.299;3005.766;3590.389;664.372;1938.952;3577.689;2534.564;3217.371;3591.195;552.729;755.832;3446.096;3226.959;2738.479;1013.570;1618.318;2167.330;1842.879;1541.370;1584.396;3533.643;466.544;2458.887;2529.796;3433.533;-11.712;2365.878;2470.343;1611.401;8.508;11.549;683.791;3099.495;433.026;285.225;1477.389;1839.989;2543.324;2973.613;876.684;3415.249;-10.815;1266.784;953.898;1238.719;1483.975;1874.258;1291.953;742.099;730.698;1053.269;2748.112;1428.726;2169.960;1942.709;1492.881;2675.923;2119.952;1018.847;3586.556;1003.705;401.560;2124.716;1858.225;520.197;285.420;2150.440;1013.024;1.218;1793.270;2351.979;-4.014;1851.147;89.816;2678.722;2834.303,859.074;176.624;3424.824;1983.646;473.542;164.579;3333.316;2018.055;843.499;2102.253;929.704;3030.411;1598.100;3600.963;1763.240;3470.267;809.657;1909.299;1557.450;2962.333;329.164;2929.675;3125.526;1207.456;1.312;2721.950;2297.368;3509.246;1802.972;3590.651;1065.601;1216.989;2596.731;2596.677;2624.539;3303.572;2458.496;2313.554;3120.619;2144.665;1019.301;3104.099;895.206;2581.981;1951.828;1311.994;552.505;3602.312;206.855;2705.050;2434.923;1578.835;2348.160;1261.468;3046.492;647.825;1891.270;1555.109;2391.969;1587.964;3606.757;3323.550;3588.138;-5.127;434.478;1745.188;2869.436;1082.113;1935.857;-5.048;2276.377;2489.857;1406.100;404.595;1572.399;2588.205;1996.021;3286.807;1972.327;663.519;2087.799;-20.994;2735.821;875.542;3384.555;1810.975;1404.631;526.279;2999.650;3223.153;2345.393;2369.522;2401.965;2882.067;2674.244;225.185;2663.527;3422.904;7.594;742.188
