eval,time_s,iter,obj,aep,rms_viol,x,y
1,0.0,0,-481.7883972212651,481.7883972212651,5.38429972148999,1982.872;2549.332;1047.257;1838.979;3214.609;3226.655;452.107;746.074;185.282;1586.915;107.554;1644.600;2336.919;1002.554;2434.518;2127.106;86.335;2011.875;933.309;1494.364;1020.690;2495.297;1585.633;564.724;1960.736;2809.133;1102.909;799.048;1396.697;3370.981;3513.584;2420.581;3250.203;3044.703;1360.779;331.981;2352.279;2008.227;1301.633;810.196;1463.472;1688.185;969.248;1050.454;1647.671;3097.922;2110.510;1020.556;1000.719;1636.639;739.477;724.963;1850.526;314.026;1740.908;1303.834;2547.672;2688.286;2487.935;2481.049;1344.960;2405.285;1223.455;2062.058;1172.906;1602.522;221.504;873.632;3497.769;830.103;2489.319;2341.717;2606.181;1710.319;2147.990;241.090;261.224;716.314;546.700;360.376;465.458;1991.800;676.133;3427.564;2453.802;1947.671;2545.850;949.992;3336.212;3021.095;2614.750;1728.864;3031.571;2681.108;2377.173;3290.311;2281.196;1317.386;1990.240;706.970,691.460;2612.411;2825.772;3499.554;3063.497;1956.940;323.247;1759.944;3340.571;2835.426;1746.339;1639.006;784.749;637.968;265.045;3212.615;2304.636;515.996;1490.857;176.792;753.744;2630.549;2344.042;1724.322;989.210;2348.003;3443.218;1567.874;252.477;207.833;298.336;3454.946;1946.739;3014.865;612.121;937.242;2491.119;3224.053;1226.479;232.824;3110.831;1047.141;2667.897;568.921;2501.868;3029.111;2617.747;1292.787;2616.083;502.082;1129.749;1510.498;3157.963;553.465;3168.449;2876.272;3497.847;1323.731;737.783;866.053;2980.306;3474.821;2515.716;1736.989;1033.379;3001.276;3139.846;331.674;777.418;2994.340;3053.894;1132.751;1005.461;1550.934;1942.007;344.041;3012.884;1925.046;2789.884;831.011;3475.056;2703.698;1235.138;3414.700;2521.842;3026.020;163.790;200.310;2673.854;1096.871;1860.424;562.545;3520.629;1809.904;2984.404;266.536;1724.096;224.206;3183.269;1604.917
6,8.547449588775635,5,-508.59964986641216,508.59964986641216,0.07091379114466818,1989.310;2619.111;1054.579;1855.597;3264.567;3163.168;454.474;771.700;109.168;1602.683;68.824;1607.889;2313.343;946.358;2430.428;2165.252;52.330;2059.850;950.546;1536.889;1036.949;2438.131;1613.287;501.953;1971.079;2769.845;1148.007;854.459;1443.419;3411.179;3584.602;2432.943;3315.675;2976.008;1330.263;298.321;2308.329;1939.353;1338.935;771.159;1442.538;1679.829;911.507;1108.613;1630.115;3094.263;2114.914;1058.870;1054.914;1609.541;753.561;700.935;1843.380;287.792;1685.397;1262.791;2572.234;2730.171;2508.154;2440.555;1347.702;2355.412;1231.840;2029.802;1173.220;1585.741;202.292;860.526;3424.410;836.993;2519.889;2329.353;2634.959;1731.145;2141.920;197.123;294.471;676.050;499.213;385.349;483.108;1997.085;653.176;3457.718;2456.038;1986.292;2563.270;966.195;3389.148;3058.399;2581.324;1767.836;3058.571;2724.902;2369.077;3247.625;2294.630;1287.124;2028.940;668.089,708.161;2607.257;2847.290;3575.803;3120.486;2004.671;283.709;1795.334;3331.721;2819.775;1792.891;1688.897;805.513;625.342;303.700;3243.085;2321.346;468.846;1427.474;123.560;785.957;2682.487;2326.734;1695.603;964.216;2320.179;3468.220;1590.821;303.597;159.106;340.469;3382.493;1899.546;2943.859;633.018;980.048;2418.529;3304.490;1177.110;203.777;3171.734;1042.695;2695.262;512.143;2499.291;3093.419;2558.620;1282.043;2565.163;469.218;1106.301;1446.505;3091.841;594.493;3178.558;2837.808;3522.366;1341.614;707.737;898.782;2987.426;3548.099;2502.639;1770.698;1023.693;2994.111;3167.119;363.537;736.977;2999.536;3108.437;1122.985;990.484;1503.556;1972.129;369.081;3009.484;1988.880;2712.245;787.762;3503.729;2751.131;1280.607;3424.283;2494.318;2986.612;114.001;154.494;2627.336;1172.758;1912.792;588.755;3568.256;1760.496;2946.069;308.725;1648.514;159.737;3136.145;1632.893
11,17.231472969055176,10,-516.5473620920061,516.5473620920061,0.2700512101596222,2032.745;2627.566;1053.242;1853.948;3336.732;3154.966;458.581;741.499;108.432;1665.473;19.495;1620.168;2299.326;929.574;2430.282;2222.394;22.889;2104.365;960.228;1593.321;1032.582;2416.144;1566.663;451.035;1945.764;2802.210;1141.136;878.907;1462.323;3460.572;3615.765;2403.438;3357.658;2943.324;1323.134;299.159;2335.503;1935.044;1365.779;724.408;1478.117;1673.959;898.295;1115.216;1680.474;3111.319;2085.837;1040.362;1015.236;1611.897;774.400;729.375;1794.239;243.476;1671.354;1258.607;2588.727;2718.512;2513.199;2466.114;1328.673;2352.473;1245.902;2036.735;1172.853;1559.199;217.753;903.440;3444.108;778.487;2546.375;2324.168;2675.353;1719.882;2116.546;119.827;310.295;611.176;457.189;418.320;408.906;2034.753;604.962;3500.307;2466.618;1958.370;2624.561;953.472;3420.106;3094.494;2571.726;1712.936;3067.048;2785.141;2381.200;3211.720;2279.921;1288.687;2079.460;658.860,638.381;2647.412;2852.213;3593.470;3120.991;2039.075;313.255;1860.533;3355.223;2781.486;1767.728;1706.596;809.439;630.919;256.128;3277.783;2358.334;465.725;1465.611;98.407;845.722;2655.245;2247.737;1644.113;1016.140;2279.024;3523.690;1618.833;294.056;108.755;368.303;3400.563;1871.664;2956.392;652.285;1001.421;2361.282;3328.901;1210.322;142.414;3203.584;1011.359;2711.276;487.757;2498.326;3134.480;2570.517;1252.340;2529.494;422.841;1083.064;1457.554;3072.370;559.883;3171.601;2852.349;3558.499;1376.108;685.596;904.440;3018.405;3590.871;2490.116;1791.751;981.750;3014.598;3132.614;360.015;747.110;3034.584;3093.095;1126.550;1007.092;1480.876;1969.053;356.199;2993.529;2004.837;2660.405;728.533;3576.228;2747.175;1285.519;3474.735;2502.737;2964.043;119.668;170.410;2639.112;1136.608;1954.364;642.480;3610.750;1738.920;2919.347;299.315;1622.469;129.906;3147.804;1656.701
16,25.82829999923706,15,-522.8228098619275,522.8228098619275,0.23798726505623327,2048.472;2644.678;1045.771;1853.865;3401.315;3134.126;440.993;718.984;57.221;1600.914;0.160;1608.909;2279.541;904.275;2361.953;2230.719;-14.856;2142.302;971.063;1614.058;959.426;2377.327;1520.260;393.995;1930.365;2862.566;1181.806;892.485;1463.013;3532.660;3590.056;2451.610;3412.015;2958.138;1317.245;339.901;2284.200;1939.403;1372.630;698.544;1475.992;1667.719;870.095;1148.225;1709.263;3121.772;2119.590;1036.027;1001.053;1612.332;707.684;760.017;1790.371;238.484;1669.923;1245.792;2578.446;2726.338;2585.526;2474.338;1347.797;2287.505;1257.854;2009.895;1195.875;1548.666;202.370;898.977;3477.086;765.974;2584.646;2300.440;2715.663;1737.144;2139.475;94.759;307.327;614.795;437.857;389.567;420.595;2026.113;576.193;3522.805;2502.751;1973.387;2684.583;904.581;3479.053;3144.666;2578.216;1711.172;3060.783;2790.486;2421.028;3201.788;2267.767;1290.346;2102.055;728.595,653.122;2673.672;2835.530;3596.410;3148.037;2062.832;320.185;1861.423;3361.493;2712.211;1728.836;1719.226;778.409;585.437;204.809;3254.424;2362.802;470.247;1389.969;99.790;813.847;2648.784;2205.812;1668.366;962.480;2283.500;3600.806;1660.726;322.999;52.681;365.331;3385.973;1844.799;2912.875;675.477;1023.124;2310.825;3374.244;1254.547;104.953;3217.482;1028.891;2745.048;475.061;2531.357;3130.510;2559.937;1233.170;2487.191;430.399;1113.828;1471.550;3047.623;560.852;3205.629;2863.363;3607.429;1337.644;672.094;871.604;3014.268;3584.307;2475.308;1815.415;986.882;3018.170;3121.789;342.299;733.551;3066.821;3105.602;1174.026;1008.819;1460.365;1988.098;335.929;2970.055;2069.169;2666.771;756.185;3565.411;2751.386;1308.491;3534.889;2489.117;2952.303;160.881;140.517;2700.131;1170.455;1994.899;603.865;3602.885;1700.116;2951.771;310.034;1585.038;93.886;3161.149;1643.414
21,34.53370666503906,20,-527.8856062175211,527.8856062175211,0.15550978804228355,2084.328;2700.848;988.473;1853.422;3471.794;3156.872;435.342;681.502;11.501;1576.556;3.455;1591.161;2298.779;883.105;2335.829;2260.243;-3.946;2087.560;983.686;1657.907;940.005;2401.671;1508.631;328.684;1969.967;2913.312;1165.328;931.463;1483.391;3592.055;3569.127;2464.790;3447.995;2947.057;1287.278;312.628;2299.722;1919.814;1403.250;663.400;1405.944;1647.781;825.202;1170.686;1730.867;3130.032;2113.675;1052.833;992.112;1606.352;730.147;710.592;1824.370;209.570;1680.707;1279.951;2621.318;2762.819;2596.996;2481.296;1304.445;2221.195;1277.210;1987.167;1183.382;1554.871;167.288;916.423;3537.103;762.676;2588.820;2291.666;2769.560;1724.089;2152.550;21.268;329.575;664.322;365.078;362.540;461.871;2035.072;535.814;3590.627;2510.177;1999.447;2712.417;902.317;3547.718;3156.489;2597.384;1708.496;3076.079;2764.729;2420.055;3214.480;2298.028;1282.060;2082.261;700.643,665.385;2708.838;2823.967;3604.609;3141.061;2032.018;361.308;1904.175;3380.776;2765.176;1782.855;1708.166;814.464;563.024;195.714;3303.764;2335.374;433.546;1417.141;55.188;843.595;2625.230;2202.473;1652.016;932.516;2303.056;3597.172;1687.916;276.506;10.470;395.531;3418.541;1858.679;2943.440;662.092;1037.459;2247.933;3311.047;1227.448;46.691;3250.102;980.999;2729.829;480.431;2454.823;3178.006;2521.953;1229.201;2439.343;456.283;1113.943;1457.534;3065.633;552.349;3229.568;2861.585;3595.051;1341.881;632.140;894.911;3066.940;3606.092;2539.213;1820.076;1003.432;2997.039;3173.997;350.801;728.419;3101.984;3131.535;1238.365;1020.357;1432.776;1958.748;285.443;2940.677;2092.993;2678.997;754.019;3536.168;2765.271;1266.125;3560.579;2473.864;2914.124;139.945;130.034;2675.800;1156.739;2029.423;653.609;3599.361;1695.958;2916.388;274.708;1591.986;81.474;3173.640;1705.707
26,43.2368323802948,25,-532.1743534001286,532.1743534001286,0.2881188754986896,2039.939;2644.890;972.257;1805.290;3491.489;3176.828;457.046;690.675;2.862;1572.589;-12.142;1592.957;2314.361;846.725;2354.213;2291.400;7.196;2095.779;1009.031;1703.029;966.587;2425.596;1466.060;312.139;1937.907;2938.022;1208.573;978.153;1513.402;3596.573;3593.764;2473.994;3516.435;3019.504;1286.202;289.523;2237.953;1851.717;1429.267;642.634;1338.100;1634.572;789.742;1156.275;1707.154;3140.717;2122.483;1069.281;939.991;1598.852;694.576;635.944;1812.165;132.740;1663.363;1265.350;2696.683;2769.309;2627.160;2539.526;1287.610;2211.920;1264.216;2004.287;1190.299;1608.853;126.321;952.963;3511.433;789.244;2517.788;2279.047;2792.962;1743.776;2168.199;5.025;260.996;656.457;378.667;348.207;468.531;2044.049;543.722;3596.202;2567.134;1987.997;2760.077;869.230;3593.564;3145.111;2560.734;1706.048;3048.699;2784.522;2485.028;3231.698;2313.604;1311.071;2076.606;664.244,726.832;2707.232;2843.183;3588.104;3171.570;2046.601;356.436;1907.601;3420.359;2804.646;1711.636;1734.041;844.624;556.200;177.583;3359.113;2288.975;417.414;1425.583;7.490;889.789;2618.693;2136.081;1724.544;943.540;2284.081;3608.975;1677.817;268.772;-1.000;406.540;3402.473;1837.318;2899.337;660.531;991.688;2285.196;3319.479;1253.915;17.479;3295.379;1027.294;2725.676;553.297;2418.651;3170.787;2483.630;1178.142;2477.027;432.485;1066.034;1507.129;3096.536;535.954;3258.374;2819.598;3568.961;1390.906;586.620;862.027;3056.016;3613.371;2469.568;1823.016;986.452;3017.975;3172.390;313.747;789.799;3151.842;3158.623;1245.364;978.058;1407.176;2012.376;246.905;2938.761;2135.033;2677.964;722.223;3534.539;2729.633;1265.955;3603.384;2420.165;2933.290;72.705;84.128;2658.209;1079.283;1992.487;687.345;3597.761;1664.920;2901.292;250.393;1583.691;13.467;3219.843;1703.035
31,51.78575682640076,30,-534.3237840263383,534.3237840263383,0.36829855366617875,2049.353;2658.631;947.887;1807.639;3518.686;3235.157;437.357;674.478;8.498;1633.292;9.501;1550.267;2263.317;809.444;2396.773;2276.788;10.161;2061.629;1013.633;1700.293;936.109;2402.648;1511.629;268.407;1969.051;2960.781;1248.664;996.276;1537.296;3615.635;3587.357;2525.834;3498.351;3035.090;1257.938;314.042;2289.612;1837.593;1427.992;646.435;1290.299;1705.067;753.165;1165.557;1686.223;3117.745;2126.775;1061.032;951.998;1608.327;718.808;601.607;1824.862;100.270;1613.376;1252.425;2692.603;2803.724;2671.097;2564.215;1332.791;2227.956;1265.108;2050.203;1189.774;1591.286;131.126;1001.504;3523.992;753.854;2490.052;2261.423;2805.938;1770.415;2151.068;19.651;219.696;676.503;365.824;277.193;474.574;1973.333;521.401;3597.512;2626.258;2062.788;2722.026;833.367;3580.794;3184.858;2588.165;1691.546;3122.071;2775.809;2505.655;3296.122;2243.561;1323.379;2089.727;668.835,684.924;2695.292;2848.604;3602.306;3184.232;2103.630;341.526;1930.932;3425.455;2804.224;1665.294;1770.776;821.230;563.089;181.463;3337.054;2318.623;368.373;1418.574;22.040;819.516;2558.240;2132.138;1759.957;980.946;2260.652;3596.119;1683.474;239.074;30.777;411.744;3393.780;1818.438;2878.062;721.785;1002.775;2228.752;3360.803;1249.791;-2.413;3312.347;1051.937;2726.079;530.258;2428.398;3167.624;2466.456;1216.493;2473.971;458.940;1033.113;1503.082;3142.291;539.941;3226.660;2765.295;3581.266;1393.369;558.871;853.375;3107.184;3589.961;2443.335;1815.727;1007.108;2989.870;3191.146;278.797;804.728;3210.236;3146.250;1269.132;1000.825;1405.857;2028.790;216.691;2987.325;2131.400;2657.649;750.940;3587.783;2687.417;1245.428;3581.018;2456.514;2929.432;25.361;102.494;2620.646;1122.635;2008.856;689.779;3620.722;1629.629;2939.070;235.825;1551.890;1.336;3251.421;1727.132
36,60.48642873764038,35,-537.5707656303316,537.5707656303316,0.4211066558567215,2072.811;2676.908;896.823;1816.169;3564.095;3274.466;423.777;664.420;13.563;1613.502;5.190;1544.563;2291.259;810.954;2332.511;2347.564;2.067;2076.178;1026.184;1660.644;925.582;2350.725;1536.179;240.269;1960.105;2930.214;1241.859;987.600;1545.349;3568.653;3567.206;2468.128;3511.468;3072.391;1302.546;243.345;2315.889;1787.104;1501.021;665.505;1271.515;1679.111;784.509;1182.755;1642.897;3075.680;2138.762;1046.799;949.619;1647.439;690.575;558.061;1874.274;39.985;1568.218;1268.103;2710.991;2813.351;2724.686;2604.671;1262.449;2245.480;1285.739;2089.221;1169.690;1635.480;99.932;952.834;3589.078;727.757;2531.318;2278.081;2820.983;1717.669;2089.722;52.285;224.654;641.879;364.214;291.742;496.565;1968.887;531.221;3573.381;2661.478;2090.421;2761.059;813.902;3606.556;3231.852;2602.311;1673.217;3114.620;2821.739;2510.712;3338.657;2224.118;1320.668;2105.562;659.213,646.847;2710.296;2918.213;3595.777;3220.489;2111.708;381.126;1982.435;3448.889;2786.972;1618.018;1735.215;835.217;560.278;122.544;3319.960;2292.496;361.974;1420.607;9.356;811.836;2603.129;2127.573;1823.514;958.710;2241.122;3603.030;1706.837;190.792;-11.063;437.469;3429.564;1819.623;2900.270;767.077;1011.222;2237.927;3400.747;1236.442;4.625;3320.204;1040.347;2688.660;505.560;2447.558;3192.346;2427.388;1234.850;2455.602;428.120;1049.760;1468.533;3151.341;518.891;3240.562;2747.715;3563.204;1362.934;515.391;854.300;3060.108;3619.108;2427.298;1781.321;987.599;2973.570;3192.437;258.256;809.540;3275.839;3124.681;1280.531;1014.326;1410.229;2051.961;139.961;2962.550;2183.315;2641.295;744.561;3579.886;2644.600;1204.227;3612.573;2485.273;2923.810;-13.676;117.063;2656.192;1200.339;1965.150;735.275;3603.275;1644.931;2882.430;251.042;1600.265;43.133;3276.174;1730.870
41,69.08766722679138,40,-540.5226114377663,540.5226114377663,0.4691778818050583,2042.230;2677.869;909.496;1867.884;3604.428;3349.707;410.292;635.895;23.752;1619.779;-1.322;1586.526;2304.415;803.531;2319.617;2338.457;2.331;2090.454;1039.446;1671.755;931.699;2323.476;1466.054;255.370;1967.811;2982.321;1209.643;1024.158;1583.154;3569.433;3591.072;2502.433;3518.011;3095.710;1306.101;228.407;2328.680;1766.126;1518.448;622.074;1228.507;1675.675;797.870;1197.202;1661.779;3112.283;2097.001;1088.341;923.633;1670.889;664.219;520.669;1891.167;9.754;1569.768;1270.256;2744.582;2810.851;2774.142;2587.204;1209.809;2212.408;1296.140;2141.085;1211.267;1631.496;74.765;922.751;3583.692;709.754;2475.468;2341.904;2845.260;1699.252;2080.949;9.703;211.573;584.261;307.933;256.674;520.904;1996.847;521.730;3588.377;2671.309;2106.333;2780.504;834.529;3602.952;3275.082;2645.083;1657.798;3112.245;2816.580;2560.545;3380.579;2215.218;1293.454;2092.632;608.470,651.980;2703.082;2925.220;3613.778;3257.317;2074.006;406.559;1970.620;3399.395;2790.226;1596.651;1771.297;776.083;532.367;72.656;3336.795;2289.516;351.389;1448.081;-21.170;848.735;2533.940;2106.186;1789.420;986.898;2274.101;3587.389;1687.055;185.308;-13.755;509.593;3460.425;1770.693;2865.100;779.723;940.124;2180.688;3439.329;1289.918;0.035;3377.839;1011.452;2680.874;493.938;2491.772;3173.853;2436.439;1208.197;2442.850;402.584;1059.240;1504.801;3168.317;443.135;3201.040;2713.395;3585.860;1311.053;504.028;851.323;3064.710;3594.243;2414.380;1811.411;988.419;2986.285;3217.326;331.006;825.383;3304.741;3099.681;1236.252;975.945;1398.464;2073.360;94.308;2976.148;2206.653;2634.058;716.888;3615.948;2636.452;1275.127;3597.870;2496.516;2935.230;27.964;78.572;2611.217;1217.204;1964.782;725.947;3556.484;1691.504;2909.762;239.570;1589.415;43.610;3248.279;1755.387
46,77.74229788780212,45,-542.8502577287002,542.8502577287002,0.33000657332934547,2061.854;2667.280;857.272;1931.223;3595.030;3337.671;365.230;633.114;16.124;1626.208;20.230;1584.315;2337.412;832.440;2270.148;2322.992;10.317;2134.460;1024.851;1644.107;922.436;2358.303;1483.916;180.210;1976.549;3018.398;1207.156;1033.729;1640.219;3608.914;3598.799;2500.369;3594.637;3145.155;1295.772;189.184;2290.543;1741.345;1590.295;556.914;1241.259;1641.949;846.715;1232.812;1641.391;3105.995;2064.848;1116.357;880.249;1662.368;653.356;531.179;1839.855;0.039;1586.947;1259.398;2816.457;2845.551;2780.188;2634.557;1222.125;2222.247;1283.126;2171.334;1186.160;1598.348;65.146;848.289;3570.024;682.209;2510.199;2278.213;2873.909;1660.297;2124.267;-1.481;173.863;597.127;302.863;295.437;556.126;2048.340;444.766;3581.082;2710.132;2106.787;2793.211;865.461;3600.341;3349.293;2660.036;1641.470;3137.454;2827.431;2574.996;3330.705;2235.323;1275.199;2134.443;606.843,625.794;2722.103;2972.830;3601.241;3245.994;2050.575;378.828;1945.433;3469.658;2803.038;1532.260;1739.321;781.872;560.069;47.770;3332.529;2332.932;307.530;1398.932;-12.029;863.361;2553.700;2112.441;1861.780;953.601;2267.352;3596.911;1654.259;181.073;40.633;529.264;3515.682;1770.324;2851.358;781.031;949.145;2221.117;3483.214;1249.879;6.265;3407.840;1043.461;2665.599;460.064;2491.167;3148.194;2362.267;1213.002;2456.496;377.588;1097.509;1543.155;3139.817;497.182;3228.107;2728.458;3607.654;1339.194;437.592;837.356;3099.808;3613.333;2343.205;1831.925;984.446;2990.614;3244.808;334.364;792.987;3292.092;3118.715;1274.288;1024.313;1464.178;2044.349;106.368;2922.059;2177.480;2627.134;679.413;3602.270;2666.918;1268.265;3603.955;2454.801;2973.672;-8.050;45.562;2571.993;1205.950;1971.957;731.628;3535.965;1663.655;2927.376;186.631;1564.794;90.825;3182.270;1760.730
