trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_low_000080,mc_20260807_0627_low/task_0016,80,Nygaard_TurboGaussian,10.38,3314.2098080915707,3257.1766224824323,1.721,2874.355609635998,13.272
mc_20260807_0627_low_000080,mc_20260807_0627_low/task_0016,80,SuperGaussian,3.89,3367.846444124601,3363.7375331049866,0.122,2998.8573737128113,10.956
mc_20260807_0627_low_000081,mc_20260807_0627_low/task_0016,81,Nygaard_TurboGaussian,7.2,3497.907225410885,3437.2676214671346,1.734,3126.6009075405254,10.615
mc_20260807_0627_low_000081,mc_20260807_0627_low/task_0016,81,SuperGaussian,3.09,3547.6952843567183,3543.2474243557635,0.125,3270.1048764131847,7.825
mc_20260807_0627_low_000082,mc_20260807_0627_low/task_0016,82,Nygaard_TurboGaussian,9.25,3347.672210211841,3263.979510387526,2.5,2920.9641966269764,12.746
mc_20260807_0627_low_000082,mc_20260807_0627_low/task_0016,82,SuperGaussian,4.28,3407.69436400669,3401.6961451990396,0.176,3103.1604721482618,8.937
mc_20260807_0627_low_000083,mc_20260807_0627_low/task_0016,83,Nygaard_TurboGaussian,8.35,3071.2101010254974,3020.9085484071475,1.638,2698.988549798377,12.12
mc_20260807_0627_low_000083,mc_20260807_0627_low/task_0016,83,SuperGaussian,3.8,3121.4899097109283,3117.857452218803,0.116,2822.976306414561,9.563
mc_20260807_0627_low_000084,mc_20260807_0627_low/task_0016,84,Nygaard_TurboGaussian,4.89,3210.0034018959786,3161.23203635602,1.519,2865.3311041973784,10.737
mc_20260807_0627_low_000084,mc_20260807_0627_low/task_0016,84,SuperGaussian,1.59,3256.893580385972,3253.343430779545,0.109,2999.224165701202,7.912
