trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000046,mc_20260807_0627_high/task_0009,46,high,2026-08-07T06:29:32.937,2026-08-07T06:30:04.337,2026-08-07T06:29:32.940,2026-08-07T06:29:41.415,2026-08-07T06:29:41.416,0.0,8.47,0.0,22.92,31.4,22,9,1266,23616.0,4215.0,17.85,1.0,,9.139,9,0.1336
mc_20260807_0627_high_000047,mc_20260807_0627_high/task_0009,47,high,2026-08-07T06:30:04.338,2026-08-07T06:30:38.630,2026-08-07T06:30:04.341,2026-08-07T06:30:10.860,2026-08-07T06:30:10.861,0.0,6.52,0.0,27.77,34.29,24,11,1485,23616.0,8004.0,33.89,1.0,,9.18,8,0.1294
mc_20260807_0627_high_000048,mc_20260807_0627_high/task_0009,48,high,2026-08-07T06:30:38.630,2026-08-07T06:31:09.564,2026-08-07T06:30:38.633,2026-08-07T06:30:45.796,2026-08-07T06:30:45.797,0.0,7.16,0.0,23.77,30.93,27,14,1358,23616.0,6710.0,28.41,1.0,,9.205,7,0.1486
mc_20260807_0627_high_000049,mc_20260807_0627_high/task_0009,49,high,2026-08-07T06:31:09.565,2026-08-07T06:31:32.065,2026-08-07T06:31:09.568,2026-08-07T06:31:16.646,2026-08-07T06:31:16.647,0.0,7.08,0.0,15.42,22.5,24,11,1336,23616.0,6220.0,26.34,1.0,,9.368,7,0.1492
mc_20260807_0627_high_000050,mc_20260807_0627_high/task_0010,50,high,2026-08-07T06:28:35.772,2026-08-07T06:29:24.869,2026-08-07T06:28:35.777,2026-08-07T06:28:43.283,2026-08-07T06:28:43.291,0.0,7.51,0.01,41.58,49.1,20,7,1498,23616.0,5554.0,23.52,1.0,,9.283,7,0.1658
mc_20260807_0627_high_000051,mc_20260807_0627_high/task_0010,51,high,2026-08-07T06:29:24.872,2026-08-07T06:29:56.386,2026-08-07T06:29:24.875,2026-08-07T06:29:33.454,2026-08-07T06:29:33.454,0.0,8.58,0.0,22.93,31.51,25,12,1269,23616.0,4834.8,20.47,1.0,,8.801,7,0.1516
mc_20260807_0627_high_000052,mc_20260807_0627_high/task_0010,52,high,2026-08-07T06:29:56.387,2026-08-07T06:30:19.161,2026-08-07T06:29:56.390,2026-08-07T06:30:04.900,2026-08-07T06:30:04.900,0.0,8.51,0.0,14.26,22.77,22,9,1051,23616.0,5169.2,21.89,1.0,,9.106,7,0.1515
mc_20260807_0627_high_000053,mc_20260807_0627_high/task_0010,53,high,2026-08-07T06:30:19.162,2026-08-07T06:30:44.097,2026-08-07T06:30:19.166,2026-08-07T06:30:26.596,2026-08-07T06:30:26.596,0.0,7.43,0.0,17.5,24.94,19,6,1276,23616.0,3943.0,16.7,1.0,,9.05,8,0.1538
mc_20260807_0627_high_000054,mc_20260807_0627_high/task_0010,54,high,2026-08-07T06:30:44.098,2026-08-07T06:31:07.549,2026-08-07T06:30:44.101,2026-08-07T06:30:51.861,2026-08-07T06:30:51.861,0.0,7.76,0.0,15.69,23.45,20,7,1229,23616.0,3349.0,14.18,1.0,,8.638,7,0.1521
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,high,2026-08-07T06:28:36.028,2026-08-07T06:28:57.562,2026-08-07T06:28:36.032,2026-08-07T06:28:44.465,2026-08-07T06:28:44.474,0.0,8.43,0.01,13.09,21.53,18,5,986,23616.0,2528.5,10.71,1.0,,8.473,8,0.1743
