trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000022,mc_20260807_0627_high/task_0004,22,Nygaard_TurboGaussian,19.36,3159.8596562275816,3113.480577562261,1.468,2770.68799072763,12.316
mc_20260807_0627_high_000022,mc_20260807_0627_high/task_0004,22,SuperGaussian,4.48,3205.2533609382635,3201.8608398514443,0.106,2905.528342122192,9.351
mc_20260807_0627_high_000023,mc_20260807_0627_high/task_0004,23,Nygaard_TurboGaussian,14.77,3451.7098598090865,3383.9729879591323,1.962,2963.6662254782,14.139
mc_20260807_0627_high_000023,mc_20260807_0627_high/task_0004,23,SuperGaussian,4.13,3504.9852039398415,3500.0097408869597,0.142,3148.2971425012015,10.177
mc_20260807_0627_high_000024,mc_20260807_0627_high/task_0004,24,Nygaard_TurboGaussian,6.78,3369.391012657226,3297.7404222182768,2.127,2913.2311713200666,13.538
mc_20260807_0627_high_000024,mc_20260807_0627_high/task_0004,24,SuperGaussian,2.49,3424.0871261473353,3418.983221617895,0.149,3082.1517003131667,9.986
mc_20260807_0627_high_000025,mc_20260807_0627_high/task_0005,25,Nygaard_TurboGaussian,30.19,3416.6830483318117,3355.476699134754,1.791,2942.226441124516,13.886
mc_20260807_0627_high_000025,mc_20260807_0627_high/task_0005,25,SuperGaussian,6.09,3471.1459213602902,3466.721033014657,0.127,3097.6387438081338,10.76
mc_20260807_0627_high_000026,mc_20260807_0627_high/task_0005,26,Nygaard_TurboGaussian,12.12,2750.3954150663876,2706.5715872341134,1.593,2340.2977131912135,14.91
mc_20260807_0627_high_000026,mc_20260807_0627_high/task_0005,26,SuperGaussian,3.37,2798.725962986005,2795.5728998465547,0.113,2493.7436651917687,10.897
mc_20260807_0627_high_000027,mc_20260807_0627_high/task_0005,27,Nygaard_TurboGaussian,18.53,3479.2136310548076,3411.0621332223677,1.959,3042.920848248764,12.54
mc_20260807_0627_high_000027,mc_20260807_0627_high/task_0005,27,SuperGaussian,7.17,3533.8322198840106,3528.876216542055,0.14,3207.790339208538,9.226
mc_20260807_0627_high_000028,mc_20260807_0627_high/task_0005,28,Nygaard_TurboGaussian,11.74,3184.1979388428763,3128.643968270814,1.745,2773.617517955553,12.894
mc_20260807_0627_high_000028,mc_20260807_0627_high/task_0005,28,SuperGaussian,3.31,3236.794953547177,3232.810579006361,0.123,2900.4406188151233,10.392
mc_20260807_0627_high_000029,mc_20260807_0627_high/task_0005,29,Nygaard_TurboGaussian,23.52,3255.9445078506733,3195.741050566068,1.849,2806.1862102392497,13.813
mc_20260807_0627_high_000029,mc_20260807_0627_high/task_0005,29,SuperGaussian,5.46,3308.5193555934884,3304.172570754918,0.131,2982.520060444517,9.853
mc_20260807_0627_high_000030,mc_20260807_0627_high/task_0006,30,Nygaard_TurboGaussian,29.87,3486.98105413868,3427.3981702767546,1.709,3004.257324354594,13.844
mc_20260807_0627_high_000030,mc_20260807_0627_high/task_0006,30,SuperGaussian,7.05,3538.372341321712,3534.0465909122595,0.122,3157.843085494681,10.754
mc_20260807_0627_high_000031,mc_20260807_0627_high/task_0006,31,Nygaard_TurboGaussian,24.71,3304.7024137411695,3246.672808045315,1.756,2896.0982210156303,12.364
mc_20260807_0627_high_000031,mc_20260807_0627_high/task_0006,31,SuperGaussian,8.01,3356.856038577885,3352.592838263604,0.127,3043.7403738397065,9.328
mc_20260807_0627_high_000032,mc_20260807_0627_high/task_0006,32,Nygaard_TurboGaussian,15.17,3389.785768398916,3317.110554291311,2.144,2954.932570369552,12.828
mc_20260807_0627_high_000032,mc_20260807_0627_high/task_0006,32,SuperGaussian,5.03,3443.34185615724,3438.124179703594,0.152,3135.5108924039055,8.94
mc_20260807_0627_high_000033,mc_20260807_0627_high/task_0006,33,Nygaard_TurboGaussian,15.33,3151.9649361056095,3089.071653635685,1.995,2660.5382700690307,15.591
mc_20260807_0627_high_000033,mc_20260807_0627_high/task_0006,33,SuperGaussian,4.66,3206.4920727160625,3201.9545899420627,0.142,2850.88392364441,11.09
mc_20260807_0627_high_000034,mc_20260807_0627_high/task_0006,34,Nygaard_TurboGaussian,21.38,3015.6765617012406,2957.686901643756,1.923,2511.9312632948922,16.704
mc_20260807_0627_high_000034,mc_20260807_0627_high/task_0006,34,SuperGaussian,5.04,3068.970165288336,3064.768578670215,0.137,2660.99609709205,13.294
mc_20260807_0627_high_000035,mc_20260807_0627_high/task_0007,35,Nygaard_TurboGaussian,10.07,3155.122673892889,3091.672137341118,2.011,2679.703891825018,15.068
mc_20260807_0627_high_000035,mc_20260807_0627_high/task_0007,35,SuperGaussian,4.47,3208.912780406658,3204.420639253378,0.14,2861.368938389284,10.831
mc_20260807_0627_high_000036,mc_20260807_0627_high/task_0007,36,Nygaard_TurboGaussian,14.53,3210.649726025416,3159.4659763045674,1.594,2799.526221278494,12.805
mc_20260807_0627_high_000036,mc_20260807_0627_high/task_0007,36,SuperGaussian,3.68,3260.2660477120326,3256.5273876005904,0.115,2959.5891792185676,9.222
