trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,0,0.0,2.088,2.088,0,8305.468940695231,7444.874819262604,7444.874819262604,10.362
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,1,2.088,6.187,4.099,1,8305.468940695231,7444.874819262604,7435.703343800269,10.472
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,2,6.187,6.496,0.309,2,8305.468940695231,7444.874819262604,7435.632302756299,10.473
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,3,6.496,7.705,1.209,3,8305.468940695231,7444.874819262604,7407.899749862421,10.807
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,4,7.705,9.106,1.402,4,8305.468940695231,7444.874819262604,7392.644672428556,10.991
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,5,9.106,9.457,0.351,5,8305.468940695231,7444.874819262604,7392.631415032782,10.991
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,6,9.457,11.812,2.355,6,8305.468940695231,7444.874819262604,7375.4008305892685,11.198
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,7,11.812,12.929,1.117,7,8305.468940695231,7444.874819262604,7375.046320568763,11.203
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,8,12.929,15.16,2.231,8,8305.468940695231,7444.874819262604,7374.196158152779,11.213
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,9,15.16,15.783,0.623,9,8305.468940695231,7444.874819262604,7347.379144629751,11.536
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,10,15.783,17.193,1.41,10,8305.468940695231,7444.874819262604,7347.379144629751,11.536
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,11,17.193,18.909,1.717,11,8305.468940695231,7444.874819262604,7345.856727582461,11.554
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,12,18.909,19.33,0.421,12,8305.468940695231,7444.874819262604,7334.174802629815,11.695
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,13,19.33,20.106,0.776,13,8305.468940695231,7444.874819262604,7328.914154674261,11.758
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,14,20.106,23.055,2.95,14,8305.468940695231,7444.874819262604,7321.754687306231,11.844
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,15,23.055,23.946,0.891,15,8305.468940695231,7444.874819262604,7321.754687306231,11.844
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,16,23.946,24.471,0.525,16,8305.468940695231,7444.874819262604,7319.059089731139,11.877
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,17,24.471,24.869,0.398,17,8305.468940695231,7444.874819262604,7319.059089731139,11.877
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Nygaard_TurboGaussian,18,24.869,25.0,0.131,18,8305.468940695231,7444.874819262604,7302.210957134792,12.079
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,0,0.0,2.088,2.088,0,8545.334764525236,7764.481571548927,7764.481571548927,9.138
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,1,2.088,6.187,4.099,1,8545.334764525236,7764.481571548927,7759.135085518052,9.2
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,2,6.187,6.496,0.309,2,8545.334764525236,7764.481571548927,7759.3720133389625,9.198
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,3,6.496,7.705,1.209,3,8545.334764525236,7764.481571548927,7736.443896780367,9.466
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,4,7.705,9.106,1.402,4,8545.334764525236,7764.481571548927,7721.88289656057,9.636
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,5,9.106,9.457,0.351,5,8545.334764525236,7764.481571548927,7722.322156943781,9.631
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,6,9.457,11.812,2.355,6,8545.334764525236,7764.481571548927,7711.249173849303,9.761
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,7,11.812,12.929,1.117,7,8545.334764525236,7764.481571548927,7711.128793375143,9.762
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,8,12.929,15.16,2.231,8,8545.334764525236,7764.481571548927,7710.091794628088,9.774
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,9,15.16,15.783,0.623,9,8545.334764525236,7764.481571548927,7684.9626599758785,10.068
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,10,15.783,17.193,1.41,10,8545.334764525236,7764.481571548927,7684.962659975872,10.068
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,11,17.193,18.909,1.717,11,8545.334764525236,7764.481571548927,7673.983117174672,10.197
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,12,18.909,19.33,0.421,12,8545.334764525236,7764.481571548927,7668.569381994896,10.26
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,13,19.33,20.106,0.776,13,8545.334764525236,7764.481571548927,7658.785483985122,10.375
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,14,20.106,23.055,2.95,14,8545.334764525236,7764.481571548927,7649.619885975145,10.482
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,15,23.055,23.946,0.891,15,8545.334764525236,7764.481571548927,7649.546671909908,10.483
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,16,23.946,24.471,0.525,16,8545.334764525236,7764.481571548927,7647.60711901855,10.505
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,17,24.471,24.869,0.398,17,8545.334764525236,7764.481571548927,7647.606993611449,10.505
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,SuperGaussian,18,24.869,25.0,0.131,18,8545.334764525236,7764.481571548927,7634.824585130253,10.655
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,0,0.0,2.088,2.088,0,8991.536913496806,8467.64493698858,8467.64493698858,5.827
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,1,2.088,6.187,4.099,1,8991.536913496806,8467.64493698858,8464.34278516989,5.863
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,2,6.187,6.496,0.309,2,8991.536913496806,8467.64493698858,8463.843550121961,5.869
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,3,6.496,7.705,1.209,3,8991.536913496806,8467.64493698858,8449.961630654012,6.023
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,4,7.705,9.106,1.402,4,8991.536913496806,8467.64493698858,8438.380210240723,6.152
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,5,9.106,9.457,0.351,5,8991.536913496806,8467.64493698858,8437.622231845166,6.16
mc_v2_20260811_high_000050,mc_v2_20260811_high/task_0010,50,high,Bastankhah_PorteAgel_2014,6,9.457,11.812,2.355,6,8991.536913496806,8467.64493698858,8429.592460383668,6.25
