trial_id,run_id,seed,tier,lam,horizon_years,t_start_iso,t_end_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_committed,n_arrivals_attempted,n_new_farms_placed,n_turbines_total,delivered_mw_total,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_v2_20260811_high_000065,mc_v2_20260811_high/task_0013,65,high,2.0,25.0,2026-08-11T06:04:06.734,2026-08-11T06:19:18.889,0.01,43.65,0.03,868.47,912.16,13,59,13,1600,7596.8,9.052,8,0.1314
mc_v2_20260811_high_000066,mc_v2_20260811_high/task_0013,66,high,2.0,25.0,2026-08-11T06:19:18.897,2026-08-11T06:34:09.023,0.01,33.6,0.0,856.52,890.13,13,56,19,1485,9100.5,9.109,8,0.1492
mc_v2_20260811_high_000067,mc_v2_20260811_high/task_0013,67,high,2.0,25.0,2026-08-11T06:34:09.025,2026-08-11T07:01:32.707,0.01,32.02,0.0,1611.66,1643.68,13,62,23,1720,12591.8,9.22,7,0.1664
mc_v2_20260811_high_000068,mc_v2_20260811_high/task_0013,68,high,2.0,25.0,2026-08-11T07:01:32.721,2026-08-11T07:21:22.662,0.04,31.51,0.0,1158.38,1189.94,13,64,18,1732,10876.0,9.421,7,0.1758
mc_v2_20260811_high_000069,mc_v2_20260811_high/task_0013,69,high,2.0,25.0,2026-08-11T07:21:22.666,2026-08-11T07:31:48.265,0.01,26.97,0.0,598.62,625.6,13,48,13,1471,7495.8,9.125,8,0.1458
